Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978
Avg,12.837260273972603,20.77950819672131,9.947945205479453,10.932876712328767,8.857808219178084,19.16147540983606,13.483287671232876,19.19013698630137,6.129041095890412,4.662295081967214,4.400273972602739,14.136164383561644,15.746027397260274,7.986885245901639,18.43917808219178,7.52027397260274,18.623287671232877,8.554371584699455,29.452602739726025,9.678082191780822,7.710958904109589,4.1527322404371585,13.384383561643839,14.086849315068493,9.064931506849316,6.350273224043716,7.070684931506849,14.728219178082192
Std,12.372261646413964,23.561185103342673,8.854082095306223,12.02982884896893,9.511589217511036,21.503900192900495,17.309993000702473,22.773878601515758,3.37443741201792,4.095812759916248,3.255456945643578,17.164148892556682,18.43595405794467,5.4633045728463605,21.306774905149243,5.3000516856106685,24.23737135114152,5.537144320680564,36.50748656669652,7.298403776982651,8.304878276657156,3.515777190917204,16.770219935194596,14.215233665169778,10.345329317809986,5.41347614468416,5.365377676646874,12.555540101470434
CV,0.9637774246502255,1.133866349496196,0.8900413012356847,1.1003351785173936,1.0738084390806122,1.122246577205741,1.2838109979388799,1.186749141904125,0.5505653101723395,0.8784971109525003,0.7398305118983289,1.2142012802649744,1.1708320830911567,0.6840344395394664,1.1555165208652622,0.7047684306342286,1.301455026578397,0.647288262598322,1.2395334595490533,0.7541167384568062,1.0770227646046766,0.8466178379338751,1.252969167982729,1.0091137732242195,1.1412473784267672,0.8524792483238975,0.7588200759361861,0.8524818886559598
SP_Tim,265.0,253.0,284.0,271.0,261.0,277.0,272.0,270.0,270.0,262.0,265.0,271.0,274.0,263.0,285.0,266.0,280.0,265.0,270.0,284.0,270.0,263.0,274.0,309.0,253.0,266.0,271.0,303.0
SP_Mag,58.0,84.0,40.0,43.0,34.0,95.0,71.0,92.0,20.0,18.0,17.0,71.0,62.0,23.0,83.0,22.0,115.0,23.0,130.0,38.0,38.0,16.0,52.0,40.0,47.0,15.0,23.0,49.0
SP_Dur,95.0,141.0,87.0,95.0,116.0,85.0,75.0,127.0,69.0,69.0,41.0,84.0,96.0,105.0,93.0,83.0,65.0,102.0,125.0,89.0,99.0,67.0,90.0,54.0,84.0,68.0,42.0,nan
SP_ROC,0.04210526315789478,0.045454545454545456,0.040816326530612276,0.04083333333333332,0.04999999999999997,0.043478260869565216,0.043478260869565216,0.043961352657004835,0.03508771929824565,0.050509337860780934,0.050632911392405104,0.047058823529411806,0.05714285714285714,0.047058823529411806,0.04938271604938265,0.04545454545454549,0.05555555555555555,0.04878048780487799,0.046785225718194275,0.05,0.04908160192713032,0.044466403162055274,0.04146079484425351,0.04679802955665016,0.04838709677419352,0.06060606060606053,0.04819277108433739,nan
DS_Tim,360.0,394.0,371.0,366.0,377.0,362.0,347.0,397.0,339.0,331.0,306.0,355.0,370.0,368.0,378.0,349.0,345.0,367.0,395.0,373.0,369.0,330.0,364.0,363.0,337.0,334.0,313.0,nan
DS_Mag_90,5.9,7.820000000000005,4.1,4.1,8.7,6.8,5.480000000000001,nan,3.3,3.0,4.9,6.2,8.0,6.040000000000004,5.5,6.75,nan,11.200000000000017,8.3,4.1,2.9,2.6,5.0,5.5,4.5,nan,5.0,nan
DS_Mag_50,4.4,4.95,3.5,3.2,5.5,4.2,4.2,nan,2.4,2.2,2.8,4.4,5.0,4.7,4.1,4.1,nan,3.8,4.5,3.0,2.4,2.2,3.8,3.3,2.5,nan,3.2,nan
DS_Dur_WS,199.0,218.0,181.0,208.0,189.0,198.0,203.0,nan,196.0,210.0,232.0,214.0,183.0,189.0,165.0,226.0,nan,199.0,202.0,208.0,197.0,224.0,160.0,205.0,214.0,nan,209.0,nan
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan
FA_Tim,49.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,66.0,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan
FA_Mag,24.7689192134595,nan,nan,nan,nan,nan,9.86325518508849,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.82411493316071,nan,nan,11.018288718776986,nan,nan,nan,nan,7.902434376544338,nan,nan,nan
Wet_Tim,178.0,193.0,218.0,181.0,208.0,189.0,194.0,184.0,nan,169.0,175.0,172.0,203.0,183.0,189.0,165.0,209.0,nan,199.0,202.0,208.0,197.0,188.0,158.0,202.0,185.0,nan,156.0
FA_Dur,4.0,nan,nan,nan,nan,nan,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,9.0,nan,nan,nan,nan,1.0,nan,nan,nan
Wet_BFL_Mag_10,4.7,7.2299999999999995,8.4,4.8500000000000005,4.7,10.0,5.7,5.550000000000001,nan,2.5,2.1,4.32,5.9,3.6,5.95,3.4,5.5,nan,18.0,6.8,5.41,2.8499999999999996,4.15,5.2,3.6,2.3,nan,11.600000000000001
Wet_BFL_Mag_50,12.0,35.0,18.0,26.5,19.0,25.5,16.0,35.0,nan,6.6,6.2,19.0,39.0,6.300000000000001,38.0,13.0,44.0,nan,75.0,20.0,14.0,7.2,41.0,22.0,18.0,13.0,nan,23.0
Wet_BFL_Dur,87.0,60.0,66.0,90.0,53.0,88.0,78.0,86.0,nan,93.0,90.0,99.0,71.0,80.0,96.0,101.0,71.0,nan,71.0,82.0,62.0,66.0,86.0,151.0,51.0,81.0,nan,147.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004,128.80000000000004
