Year,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Avg,47.728767123287675,40.271232876712325,98.32131147540983,57.50958904109589,81.47671232876712,38.397260273972606,33.494535519125684,30.559452054794523,55.46027397260274,70.19041095890411,39.50819672131148,80.08767123287672,46.12054794520548,93.92876712328767,41.80874316939891,113.96986301369863,59.865753424657534,58.775342465753425,44.549180327868854,59.57260273972603,75.93150684931507,65.10684931506849,30.040983606557376,19.47013698630137,74.34493150684932,63.608219178082194,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,88.90710382513662,106.12328767123287,83.44657534246575,68.08767123287672,54.79234972677595,38.43095890410959,41.40821917808219,46.45205479452055,46.459016393442624,84.36438356164383,97.2958904109589,31.863013698630137,37.690983606557374,nan,57.37698630136986,102.2904109589041,33.60109289617486,34.39068493150685,23.4386301369863,20.46849315068493,nan
Std,50.70873443298584,51.500821856594406,108.72759833049376,58.7950518940869,95.6533560633265,30.176803086952333,36.29198112030696,29.765868101054018,65.95171903567454,84.82602689951439,34.94505739927889,83.88670106235428,43.94737500195853,127.51068875900202,32.104279034112544,147.1845981788758,56.186392881019664,62.25030292234579,45.57317465310067,72.59913064175132,78.89804913940127,79.4572140034904,20.36191567513921,17.113953651049655,89.07934531630556,71.24768634248723,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,85.25946963622529,107.49470139289369,92.06248932288611,76.74471459237121,60.894341410267835,46.313993866299484,45.44688832552245,61.0615770710842,44.440568935810546,108.52357280681922,113.15640822700809,24.093036036128126,41.696917769680944,nan,75.57961975575472,109.91854040374011,26.051533605090558,32.738672550254485,22.117212370798047,17.963894356990945,nan
CV,1.0624354553722422,1.2788488997657637,1.1058395855275645,1.0223521481273745,1.1739962662871708,0.7859103194247307,1.0835194624384001,0.9740314730670703,1.1891704514163517,1.208513039611341,0.8845014528448183,1.0474358883333097,0.9528805914051837,1.3575254170177267,0.7678843371118279,1.29143436946296,0.9385398106069369,1.0591227598310824,1.0229857051845965,1.2186664221964325,1.0390686608652882,1.2204125194106212,0.6778045599909914,0.8789847582012671,1.1981898901621664,1.1201018871950656,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9589725226446975,1.0129228348626875,1.103250660018827,1.1271455346135317,1.1113657602552123,1.2051219950524557,1.0975330315479486,1.3145075571185922,0.9565542360918995,1.2863671637868677,1.1630132346706263,0.7561442952009257,1.106283619577034,nan,1.3172462450149682,1.0745732603215434,0.7753180435406688,0.9519633765787875,0.9436222271325042,0.8776363860663492,nan
SP_Tim,235.0,254.0,300.0,272.0,283.0,259.0,253.0,254.0,268.0,273.0,272.0,295.0,236.0,279.0,266.0,269.0,273.0,273.0,256.0,255.0,260.0,254.0,233.0,255.0,286.0,252.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,278.0,266.0,285.0,270.0,263.0,240.0,252.0,249.0,262.0,277.0,268.0,246.0,262.0,nan,274.0,283.0,251.0,255.0,252.0,257.0,nan
SP_Mag,288.0,294.0,287.0,232.0,280.0,137.0,164.0,131.0,302.0,283.0,123.0,248.0,192.0,639.0,124.0,450.0,244.0,308.0,209.0,284.0,339.0,317.0,122.0,118.0,267.0,290.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,327.0,330.0,348.0,316.0,215.0,208.0,184.0,253.0,148.0,317.0,352.0,107.0,151.0,nan,272.0,437.0,87.0,127.0,78.0,86.0,nan
SP_Dur,114.0,88.0,62.0,68.0,90.0,79.0,80.0,50.0,80.0,65.0,59.0,81.0,108.0,86.0,51.0,93.0,79.0,61.0,70.0,93.0,98.0,83.0,50.0,59.0,46.0,103.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,81.0,98.0,49.0,54.0,64.0,62.0,80.0,73.0,53.0,79.0,94.0,77.0,74.0,nan,76.0,58.0,106.0,61.0,50.0,72.0,nan
SP_ROC,0.050316455696202536,0.05,0.036375661375661374,0.04,0.035892483502333816,0.05,0.05195681511470985,0.04950495049504951,0.04032258064516129,0.0425531914893617,0.05128205128205128,0.0410958904109589,0.046875,0.0425531914893617,0.043478260869565216,0.03754012369842637,0.04225352112676056,0.03597122302158273,0.04295125164690382,0.04411764705882353,0.03571428571428571,0.03826306543697848,0.04210992907801418,0.05555555555555555,0.04909638554216868,0.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.034766214177978885,0.038461538461538464,0.03906163396519233,0.04787369493251846,0.0410958904109589,0.04124149659863945,0.04257246376811594,0.050957481337228175,0.04485116653258246,0.035398230088495575,0.03333333333333333,0.05,0.05263157894736842,nan,0.04,0.03756613756613757,0.055050505050505044,0.058823529411764705,0.058823529411764705,0.04880952380952381,nan
DS_Tim,349.0,342.0,362.0,340.0,373.0,338.0,333.0,304.0,348.0,338.0,331.0,376.0,344.0,365.0,317.0,362.0,352.0,334.0,326.0,348.0,358.0,337.0,283.0,314.0,332.0,355.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,359.0,364.0,334.0,324.0,327.0,302.0,332.0,322.0,315.0,356.0,362.0,323.0,336.0,nan,350.0,341.0,357.0,316.0,302.0,329.0,nan
DS_Mag_90,21.0,37.0,43.0,21.0,27.0,19.0,15.0,19.200000000000017,29.0,35.19999999999999,30.0,29.0,28.0,36.0,23.0,46.0,38.30000000000001,36.400000000000006,23.0,39.099999999999994,25.599999999999994,35.0,22.0,21.599999999999994,48.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.3,30.900000000000006,48.30000000000001,30.0,20.80000000000001,19.0,33.0,20.0,23.0,34.0,29.200000000000017,12.0,nan,nan,41.0,nan,23.400000000000006,13.0,15.0,nan,nan
DS_Mag_50,14.0,18.0,27.0,18.0,20.0,13.0,12.0,13.0,22.0,25.0,18.0,20.0,19.0,25.0,17.0,31.0,22.0,20.0,18.0,27.0,21.0,24.0,14.0,10.0,24.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.0,23.0,26.0,18.0,15.0,14.0,16.0,16.0,16.0,26.0,20.0,11.0,nan,nan,32.0,nan,15.0,11.0,8.2,nan,nan
