Year,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Avg,0.12431693989071038,10.55131506849315,2.418301369863014,1.0152054794520546,0.07505464480874316,0.15041095890410958,0.02287671232876713,0.002904109589041096,0.09751366120218578,0.2623561643835617,9.8087397260274,6.5698630136986305,28.264754098360655,3.0300547945205474,1.8126301369863012,4.24972602739726,2.51,1.9492602739726028,1.0853150684931507,0.5222191780821919,0.40806010928961756,0.014630136986301369,0.00030136986301369865,0.2696986301369863,1.7860928961748632,15.08309589041096,3.177506849315068,5.197561643835617,1.2196174863387979,0.3806301369863014,1.9524109589041097,0.5386027397260273,0.1721857923497268,0.0013424657534246574,2.7397260273972603e-05,0.000821917808219178,0.08934426229508198,nan,3.838246575342466,1.5004109589041095,2.189153005464481,1.5635890410958906,3.4570136986301367,3.9197808219178083,1.8313934426229508,0.6098904109589042,0.12832876712328767,0.09731506849315068,0.12642076502732238
Std,1.449847909147161,25.57618447926059,1.1617034573740561,0.742498391841884,0.17983864130007005,0.2969019872228691,0.06274277673985137,0.013840742302883886,0.36211822719812,3.6700812479150393,18.102394166962917,3.2945319966764877,68.00192249226819,1.379415002971266,1.0253398702394836,4.7579680170180225,2.2070693671148693,1.1665646794908295,1.391010757733061,0.5420445881314674,2.7146819610024933,0.05667680708742397,0.0033379713776477884,1.3451510755396663,2.696117585545213,16.866997670464727,1.9604063258115279,4.783310348496704,0.9010227134684404,0.380843890171292,1.6124959622811628,0.7377017019692879,0.3179083423175343,0.023550714253823934,0.0005227064117353127,0.010409877377132889,0.284352599089854,nan,1.2775162951626409,0.7910312990294923,3.643416488521421,0.584088092333622,2.797404690031878,2.507354433128837,0.7940179165234746,0.4364583352408349,0.2138382473314063,0.13250348940479778,0.1697041076667786
CV,11.662512851601338,2.4239807373047353,0.4803799360374433,0.7313774470983342,2.396102756309634,1.9739385307167072,2.742648324556377,4.765915981653413,3.7135127810174255,13.988927062332802,1.8455372119751923,0.5014612922380809,2.405891176538213,0.4552442435911572,0.5656641414691609,1.1195940600274494,0.8793105048266412,0.5984653230085916,1.2816653874200215,1.0379637724567734,6.6526521441373445,3.8739765144025746,11.075995934922206,4.987608112271213,1.5095057996811247,1.118271593114241,0.616963682150396,0.9202989163523974,0.7387748401125704,1.000561577143321,0.8258998726304315,1.3696582797639254,1.8463099537958985,17.5428789849913,19.078784028338912,12.665350808845016,3.182662118253411,nan,0.33283851625625566,0.5272097583233173,1.664304175828214,0.3735560156678033,0.8091968773917115,0.6396669984986758,0.4335594406116632,0.7156340342433166,1.6663313466260312,1.3615927261472747,1.3423752627197099
SP_Tim,nan,164.0,159.0,149.0,nan,173.0,nan,nan,138.0,nan,198.0,234.0,147.0,168.0,197.0,324.0,135.0,95.0,325.0,187.0,328.0,nan,nan,235.0,290.0,155.0,143.0,193.0,146.0,132.0,220.0,0.0,165.0,nan,nan,nan,152.0,nan,203.0,0.0,300.0,154.0,238.0,291.0,8.0,162.0,225.0,nan,101.0
SP_Mag,nan,30.0,5.0,2.2,nan,0.97,nan,nan,0.64,nan,25.0,12.0,470.0,5.0,5.0,47.0,5.7,4.8,4.2,0.8,52.0,nan,nan,1.4,3.7,39.0,8.2,14.0,2.9,1.1,5.1,1.4,1.3,nan,nan,nan,3.73,nan,4.86,3.1,3.0,2.68,6.4,6.52,3.62,1.2,0.31,nan,1.04
SP_Dur,nan,163.0,155.0,186.0,nan,122.0,nan,nan,142.0,nan,113.0,109.0,24.0,180.0,189.0,32.0,220.0,223.0,nan,90.0,17.0,nan,nan,79.0,89.0,164.0,176.0,125.0,139.0,160.0,78.0,nan,112.0,nan,nan,nan,57.0,nan,123.0,nan,81.0,159.0,76.0,nan,364.0,221.0,164.0,nan,182.0
SP_ROC,nan,0.0625,0.07142857142857134,0.08086312118570183,nan,0.12549019607843143,nan,nan,0.22222222222222213,nan,0.025645240835114276,0.08722109533468558,0.07207792207792207,0.08333333333333341,0.1538461538461538,0.25,0.03703703703703707,0.06451612903225812,nan,0.1875,nan,nan,nan,0.051315789473684204,0.04878048780487799,0.03389830508474579,0.04494949494949499,0.0469208211143695,0.057692307692307744,0.07194616977225671,0.06250000000000006,nan,0.09322493224932252,nan,nan,nan,0.12019230769230765,nan,0.023323615160349875,nan,0.03846153846153849,0.01980198019801982,0.013698630136986254,nan,0.0248456790123457,0.060606060606060656,0.20000000000000004,nan,0.16666666666666663
DS_Tim,nan,327.0,314.0,335.0,nan,295.0,nan,nan,280.0,nan,311.0,343.0,171.0,348.0,386.0,356.0,355.0,318.0,nan,277.0,345.0,nan,nan,314.0,379.0,319.0,319.0,318.0,285.0,292.0,298.0,323.0,277.0,nan,nan,nan,209.0,nan,326.0,282.0,381.0,313.0,314.0,nan,372.0,383.0,389.0,nan,283.0
DS_Mag_90,nan,4.0,1.5,nan,nan,nan,nan,nan,nan,nan,4.6,4.299999999999997,nan,1.3,1.9400000000000006,0.0,1.6,0.8900000000000001,nan,0.20599999999999996,nan,nan,nan,0.22,1.5,5.74,1.3,nan,0.18,0.5580000000000002,nan,0.20300000000000012,nan,nan,nan,nan,nan,nan,nan,1.4639999999999997,1.554,1.17,2.831,nan,0.9,0.0,nan,nan,nan
DS_Mag_50,nan,3.7,0.99,nan,nan,nan,nan,nan,nan,nan,3.7,2.5,nan,1.1,0.89,0.0,1.5,0.58,nan,0.0,nan,nan,nan,0.02,0.87,3.8,0.83,nan,0.11,0.27,nan,0.02,nan,nan,nan,nan,nan,nan,nan,1.04,1.35,0.9,2.675,nan,0.8,0.0,nan,nan,nan
DS_Dur_WS,nan,49.0,98.0,nan,nan,nan,nan,nan,nan,nan,129.0,138.0,nan,97.0,137.0,23.0,69.0,73.0,nan,185.0,nan,nan,nan,231.0,93.0,77.0,135.0,nan,103.0,193.0,nan,168.0,nan,nan,nan,nan,nan,nan,nan,133.0,20.0,153.0,120.0,nan,21.0,43.0,nan,nan,nan
DS_No_Flow,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,48.0,23.0,0.0,0.0,nan,127.0,nan,nan,nan,99.0,0.0,0.0,0.0,nan,8.0,68.0,nan,37.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,25.0,0.0,nan,0.0,43.0,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,nan,nan,nan,48.0,nan,nan,nan,nan,nan,67.0,nan,nan,nan,nan,67.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,72.0,nan,nan,nan,nan,nan,nan
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.337672216498771,nan,nan,nan,2.907196724803962,nan,nan,nan,nan,nan,2.683252785497174,nan,nan,nan,nan,1.131899095039916,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.381155298326491,nan,nan,nan,nan,nan,nan
Wet_Tim,nan,105.0,10.0,46.0,nan,108.0,nan,nan,112.0,nan,140.0,74.0,115.0,nan,79.0,137.0,13.0,58.0,25.0,nan,96.0,nan,nan,139.0,179.0,93.0,30.0,88.0,nan,22.0,119.0,nan,125.0,nan,nan,nan,45.0,nan,nan,nan,49.0,20.0,100.0,68.0,nan,21.0,43.0,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,8.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,nan,0.0,2.6,1.0,nan,0.0,nan,nan,0.0,nan,0.1,4.99,3.0700000000000007,nan,1.3,4.0600000000000005,0.0,1.6,0.0,nan,0.06,nan,nan,0.0,2.0,1.9300000000000013,4.2,1.3,nan,0.19500000000000003,2.2,nan,0.16000000000000003,nan,nan,nan,0.0,nan,nan,nan,0.69,1.276,1.2469999999999999,0.12600000000000008,nan,0.82,0.0,nan,nan
Wet_BFL_Mag_50,nan,0.01,3.3,1.8,nan,0.2,nan,nan,0.0,nan,24.0,9.2,48.0,nan,2.2,6.4,1.25,2.6,1.2,nan,0.33,nan,nan,0.0,3.6,17.0,4.3,8.1,nan,0.545,4.0,nan,0.42,nan,nan,nan,0.07,nan,nan,nan,1.57,1.755,5.375,4.31,nan,1.0,0.135,nan,nan
Wet_BFL_Dur,nan,59.0,149.0,103.0,nan,65.0,nan,nan,26.0,nan,58.0,160.0,32.0,nan,118.0,187.0,122.0,37.0,300.0,nan,232.0,nan,nan,96.0,111.0,62.0,113.0,105.0,nan,110.0,101.0,nan,40.0,nan,nan,nan,107.0,nan,nan,nan,251.0,134.0,138.0,223.0,nan,141.0,182.0,nan,nan
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,nan,426.2600000000003,426.2600000000003,426.2600000000003,nan,426.2600000000003,nan,nan,426.2600000000003,nan,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,nan,nan,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,nan,nan,nan,426.2600000000003,nan,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003,426.2600000000003
Peak_Dur_5,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,12.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,nan,182.49999999999994,182.49999999999994,182.49999999999994,nan,182.49999999999994,nan,nan,182.49999999999994,nan,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,nan,nan,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,nan,nan,nan,182.49999999999994,nan,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994,182.49999999999994
Peak_Dur_10,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
