Year,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,24.726575342465754,37.563835616438354,27.932602739726025,11.497650273224043,5.287041095890411,27.23841095890411,20.985397260273974,35.45431693989071,11.73641095890411,58.55052054794521,58.967123287671235,40.80601092896175,17.759342465753424,36.871972602739724,11.356712328767125,8.40035519125683,25.304958904109586,14.108191780821917,11.232493150684933,8.114316939890712,34.02605479452055,8.555150684931506,48.31293150684932,37.391284153005465,41.956356164383564,35.56219178082192,31.416438356164385,22.567513661202184,10.560630136986301,19.765643835616437,24.45772602739726,17.707677595628418,33.870082191780824,51.67715068493152,13.25227397260274,12.855846994535518,20.469013698630135,24.253013698630134,46.859013698630136,16.312349726775956,16.932301369863012,8.316958904109589,7.582493150684933
Std,42.21510254390327,49.03358710863505,56.9933339535735,14.59497965366194,8.493520689951835,42.317196617093416,36.25309584767644,58.8824317453795,18.818544176609496,82.58601265697688,84.76719198445826,46.07907810795013,25.39034726745913,54.87719809382935,19.37652725256257,10.484883948041286,36.294083721971674,18.33881996820498,19.131554744319256,12.763603969179817,51.351345729892714,13.02259064737408,64.53179533118958,65.82481569640514,108.74651353320056,55.78642929804913,52.00463365471647,36.712738726520065,20.041640798704513,29.25555047085252,42.452071799083356,26.944739833884604,74.66629238751148,84.1993462968265,17.100286211864372,24.32333961374672,38.61705318684258,46.47989964401408,66.97417186988837,30.647584683589677,27.054468623721217,12.383047263047134,11.29762101654657
CV,1.707276562128783,1.305340264218849,2.040387517218974,1.2693880320617352,1.6064790373113997,1.5535853644670898,1.7275391739333288,1.6607972407199056,1.6034326202877514,1.4105085981148493,1.4375331075745605,1.1292228046541513,1.4296896023274006,1.4883173917782682,1.706173995750588,1.2481476924873431,1.4342676413545736,1.2998703344204607,1.703233154711753,1.5729733092421856,1.5091771890687184,1.5221930187987496,1.3357044029100351,1.7604320682608656,2.591896043286873,1.5687005357227108,1.6553319337203725,1.6267959012975448,1.897769407576641,1.4801213010899181,1.735732575936497,1.521641654495482,2.2044910303061083,1.6293341482810912,1.2903661852461599,1.8920059972777798,1.8866103543341213,1.9164587222675495,1.4292697729539765,1.8787964454491253,1.5978022144038946,1.4888912408751236,1.4899612557547837
SP_Tim,235.0,285.0,253.0,230.0,247.0,253.0,237.0,237.0,241.0,265.0,263.0,239.0,239.0,246.0,226.0,238.0,222.0,248.0,249.0,223.0,246.0,226.0,272.0,233.0,227.0,262.0,262.0,240.0,230.0,246.0,244.0,222.0,242.0,252.0,227.0,234.0,233.0,254.0,268.0,217.0,228.0,224.0,240.0
SP_Mag,180.0,281.0,265.0,68.0,38.0,201.0,182.0,196.0,61.0,221.0,349.0,190.0,88.0,203.0,79.0,34.0,152.0,61.0,78.0,44.0,260.0,66.0,268.0,533.0,154.0,218.0,173.0,235.0,109.0,120.0,248.0,119.0,337.0,262.0,70.5,150.0,152.0,217.0,362.0,156.0,55.6,36.0,20.2
SP_Dur,66.0,40.0,60.0,105.0,53.0,70.0,72.0,91.0,49.0,70.0,68.0,74.0,57.0,67.0,60.0,70.0,81.0,56.0,61.0,32.0,82.0,70.0,74.0,70.0,62.0,69.0,45.0,61.0,53.0,62.0,53.0,81.0,65.0,53.0,61.0,61.0,64.0,59.0,64.0,67.0,70.0,63.0,37.0
SP_ROC,0.06696428571428574,0.07692307692307693,0.07092555331991951,0.0869565217391305,0.1176470588235294,0.06723163841807912,0.08514492753623182,0.05555555555555555,0.08166666666666664,0.0652173913043478,0.07596153846153847,0.07142857142857142,0.07522624434389144,0.07142857142857142,0.07407407407407407,0.09090909090909098,0.07609594706368905,0.07936507936507936,0.07692307692307693,0.08333333333333333,0.0701754385964913,0.07692307692307693,0.06666666666666667,0.07857142857142857,0.07352941176470588,0.0625,0.07596153846153847,0.07258064516129036,0.08000000000000004,0.07340263691683568,0.08222811671087535,0.06213017751479284,0.07615995115995115,0.08108108108108115,0.07407407407407403,0.08072916666666671,0.07456004939796233,0.08138493321348032,0.06166197551097964,0.07553032118887817,0.07861725424878936,0.08001142204454598,0.09079176292746924
DS_Tim,301.0,325.0,313.0,335.0,300.0,323.0,309.0,328.0,290.0,335.0,331.0,313.0,296.0,313.0,286.0,308.0,303.0,304.0,310.0,255.0,328.0,296.0,346.0,303.0,289.0,331.0,307.0,301.0,283.0,308.0,297.0,303.0,307.0,305.0,288.0,295.0,297.0,313.0,332.0,284.0,298.0,287.0,277.0
DS_Mag_90,2.8,6.700000000000001,6.190000000000001,2.2,10.200000000000017,14.0,6.260000000000005,8.820000000000002,2.4200000000000017,36.0,11.0,9.4,16.0,8.720000000000004,3.4,4.0,7.1,1.2,2.6000000000000005,4.7,2.8,18.900000000000006,19.0,2.7,5.2,14.0,12.0,2.42,12.85,15.52000000000001,4.329000000000001,13.830000000000002,4.86,7.9799999999999995,3.37,8.282000000000002,6.154999999999999,25.1,8.360000000000001,1.73,1.09,0.8940000000000001,0.9320000000000002
DS_Mag_50,1.9,3.2,3.05,1.4,1.3,4.1,2.3,2.6,0.33,15.5,5.699999999999999,5.5,3.4,2.4,0.95,1.7,4.3,1.0,2.0,2.0,2.2,1.1,2.3499999999999996,1.4,2.7,6.1,3.11,2.0,1.5550000000000002,2.775,1.5950000000000002,2.625,1.48,2.925,1.31,1.7,1.5550000000000002,9.875,3.35,0.54,0.765,0.0,0.0
