Year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,8.98082191780822,12.596054794520546,22.384520547945208,8.66428961748634,25.732904109589047,24.104273972602737,6.921150684931508,12.354508196721312,10.659287671232878,21.131479452054798,34.33260273972602,12.629234972677594,6.727123287671233,3.0422191780821914,2.0407945205479456
Std,8.443677338439928,14.088163137887683,53.27367308996212,8.710213269819471,27.1372881273832,27.782273994554522,5.541716147007746,12.23537874624813,10.282074495496708,21.178081910967762,37.80162823293942,13.580979123400947,5.948913306877598,2.3500076959744303,1.6096645354490184
CV,0.9401898195639333,1.1184583877815635,2.379933623141747,1.0053003367108653,1.0545754187639795,1.1525870485098308,0.8006928904283185,0.9903574105438858,0.9646117838855042,1.0022053571317002,1.101041727582145,1.075360396158784,0.8843175682211954,0.7724649535132673,0.7887440500461701
SP_Tim,213.0,200.0,231.0,173.0,238.0,216.0,207.0,169.0,219.0,253.0,223.0,212.0,186.0,214.0,137.0
SP_Mag,38.0,32.0,60.5,34.6,99.4,110.0,21.0,41.0,46.7,86.0,83.5,77.1,14.2,9.44,4.94
SP_Dur,58.0,112.0,61.0,133.0,96.0,70.0,106.0,153.0,81.0,82.0,109.0,93.0,103.0,70.0,182.0
SP_ROC,0.04225352112676054,0.03988183161004425,0.03347280334728036,0.02586206896551715,0.03195876288659788,0.03314917127071831,0.0351594680475462,0.02975557917109451,0.03825136612021854,0.03462328767123286,0.028888518024032077,0.034654314633727853,0.026810936238902378,0.04853726387580202,0.046367962389634226
DS_Tim,271.0,312.0,292.0,306.0,334.0,286.0,313.0,322.0,300.0,335.0,332.0,305.0,289.0,284.0,319.0
DS_Mag_90,4.2,2.81,7.01,7.197000000000008,6.604000000000001,8.452,3.325,5.949000000000003,11.0,8.66,12.13,3.7220000000000004,2.8880000000000003,1.2240000000000002,1.1549999999999998
DS_Mag_50,2.5,2.46,4.04,2.4699999999999998,4.43,4.2,2.3049999999999997,2.92,3.39,4.51,7.035,2.6,1.94,0.94,0.6
DS_Dur_WS,121.0,81.0,131.0,144.0,107.0,159.0,114.0,144.0,190.0,91.0,198.0,97.0,193.0,107.0,72.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,9.0,nan,nan,nan,17.0,62.0,nan,41.0,32.0,13.0,24.0,4.0,11.0,51.0,nan
FA_Mag,9.96755106087952,nan,nan,nan,5.346616515274101,72.61316991494493,nan,4.5056422903344835,8.296714930190936,74.91034809910043,12.116181782882094,37.639898079323615,5.969265259821704,4.366980214300179,nan
Wet_Tim,131.0,26.0,27.0,57.0,84.0,75.0,79.0,61.0,100.0,124.0,60.0,164.0,36.0,116.0,25.0
FA_Dur,4.0,nan,nan,nan,3.0,8.0,nan,3.0,6.0,3.0,5.0,2.0,10.0,3.0,nan
Wet_BFL_Mag_10,8.91,4.59,10.19,5.4,16.349999999999998,11.7,4.91,3.923,6.944,18.740000000000002,19.959999999999997,14.400000000000002,4.7410000000000005,2.81,1.57
Wet_BFL_Mag_50,15.5,14.0,17.0,9.975,31.7,21.8,11.2,10.9,19.4,38.4,42.6,29.25,10.5,4.734999999999999,2.41
Wet_BFL_Dur,82.0,174.0,204.0,116.0,154.0,141.0,128.0,108.0,119.0,129.0,163.0,48.0,150.0,98.0,112.0
Peak_Dur_2,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,648.8799999999998,648.8799999999998,648.8799999999998,648.8799999999998,648.8799999999998,648.8799999999998,648.8799999999998,648.8799999999998,648.8799999999998,648.8799999999998,648.8799999999998,648.8799999999998,648.8799999999998,648.8799999999998,648.8799999999998
Peak_Dur_5,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,552.6999999999998,552.6999999999998,552.6999999999998,552.6999999999998,552.6999999999998,552.6999999999998,552.6999999999998,552.6999999999998,552.6999999999998,552.6999999999998,552.6999999999998,552.6999999999998,552.6999999999998,552.6999999999998,552.6999999999998
Peak_Dur_10,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_Fre_10,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_10,366.79999999999984,366.79999999999984,366.79999999999984,366.79999999999984,366.79999999999984,366.79999999999984,366.79999999999984,366.79999999999984,366.79999999999984,366.79999999999984,366.79999999999984,366.79999999999984,366.79999999999984,366.79999999999984,366.79999999999984
Peak_Dur_20,nan,1.0,2.0,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan
Peak_Fre_20,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_20,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
Peak_Dur_50,nan,2.0,6.0,nan,20.0,21.0,nan,1.0,1.0,5.0,19.0,nan,nan,nan,nan
Peak_Fre_50,nan,1.0,3.0,nan,4.0,6.0,nan,1.0,1.0,3.0,5.0,nan,nan,nan,nan
Peak_50,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Dur_2,nan,2.0,6.0,nan,22.0,38.0,nan,2.0,1.0,8.0,30.0,2.0,nan,nan,nan
Fre_2,nan,1.0,3.0,nan,5.0,7.0,nan,2.0,1.0,4.0,6.0,2.0,nan,nan,nan
High_2,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4
Dur_5,nan,4.0,26.0,2.0,48.0,57.0,nan,3.0,1.0,34.0,91.0,12.0,1.0,nan,nan
Fre_5,nan,2.0,4.0,1.0,5.0,6.0,nan,2.0,1.0,8.0,7.0,2.0,1.0,nan,nan
High_5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5
Dur_10,6.0,7.0,61.0,7.0,99.0,79.0,nan,16.0,10.0,87.0,147.0,29.0,3.0,nan,nan
Fre_10,1.0,3.0,5.0,4.0,3.0,5.0,nan,5.0,2.0,6.0,3.0,5.0,3.0,nan,nan
High_10,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7
Dur_20,44.0,60.0,109.0,29.0,150.0,123.0,3.0,97.0,70.0,140.0,206.0,61.0,8.0,nan,nan
Fre_20,2.0,7.0,7.0,3.0,4.0,7.0,3.0,6.0,6.0,5.0,4.0,4.0,4.0,nan,nan
High_20,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
