Year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,16.109863013698632,29.683287671232875,43.125205479452056,25.31311475409836,56.25972602739726,19.81287671232877,50.05260273972603,24.90346994535519,53.92493150684931,42.44221917808219,39.6766301369863,26.877841530054642,40.71068493150685,55.71158904109589,33.803397260273975,11.656967213114756,4.271260273972603,45.18021917808219,27.46561643835616,51.75330601092896,15.647041095890412,86.84049315068494,82.18465753424658,58.15349726775956,23.13002739726027,61.914602739726035,14.169205479452055,15.461639344262297,38.94123287671233,17.228602739726025,20.324602739726025,14.294125683060109,56.26216438356164,13.35227397260274,76.37824657534247,54.762459016393436,57.877095890410956,61.35087671232877,46.945205479452056,35.15620218579235,16.940602739726028,36.17679452054794,42.691095890410956,30.849890710382518,53.53008219178082,76.05369863013698,26.40095890410959,25.099071038251367,43.39693150684932,42.78367123287671,79.93701369863014,30.475191256830602,31.757972602739727,18.242876712328766,14.99049315068493
Std,22.408936848189974,48.29065958226133,102.79432008333988,38.13444425886114,170.11760394658654,34.74116777398061,78.06474218671194,38.34359458383828,90.87475446290867,99.73071584257534,47.186131325485256,37.813103938899445,61.5774101643173,72.46440924954751,63.65101553898063,14.583412496297854,6.227973706905104,57.47379003791053,51.58807139879723,112.35209666672488,24.497909969806035,143.09052678513422,110.10599468684077,86.79324805844142,36.056444080431405,175.61738041789084,25.218005150136257,18.713140193238157,70.74292273126837,24.338105732583287,43.704399617636604,25.23521272733875,81.91167710406359,20.989630526132878,119.21293917634314,101.0880193371899,190.8245425437871,89.37879556258116,70.15750460467532,55.818816568587245,33.022852662858625,51.65302026866954,60.03730549751349,46.73614382180368,97.53033645223621,155.63097490324293,47.16649482867016,42.45210418762186,88.10443086152742,75.12468508594078,105.78903157331098,68.08211145648507,81.76876381031906,49.77100898675998,33.724011197715676
CV,1.3910072872211934,1.6268635778192964,2.3836250503738117,1.5065093580665303,3.0237901241065943,1.7534640869370852,1.5596540022633645,1.539688833241885,1.6852085282920786,2.3497997459585664,1.189267615787225,1.406850468130674,1.5125613894219023,1.3007061994963711,1.882976880959353,1.2510468829225734,1.4581114957699841,1.2721007353101155,1.8782783016933742,2.170916320650105,1.5656576741682007,1.6477396844907901,1.339739046073889,1.4924854417407465,1.5588586844779204,2.8364452430736526,1.7797755270545683,1.2102947026883322,1.816658526329661,1.4126569693585216,2.150319992833756,1.7654254122898096,1.455892747844519,1.571989203427152,1.5608231992959785,1.8459364526879383,3.2970649202079745,1.4568462645069267,1.4944551608232561,1.5877373862397814,1.9493316247490664,1.4277942795437917,1.4063191456042887,1.5149533027705233,1.8219724771356942,2.0463301286648106,1.7865447614983483,1.6913814906904008,2.0301995510355826,1.7559195581189844,1.3234048493748505,2.234017528642265,2.574747602221464,2.7282434547794816,2.249693246160804
SP_Tim,233.0,248.0,235.0,235.0,232.0,225.0,264.0,219.0,238.0,116.0,254.0,244.0,232.0,242.0,247.0,217.0,241.0,245.0,236.0,237.0,216.0,241.0,257.0,229.0,217.0,146.0,215.0,228.0,222.0,246.0,240.0,203.0,240.0,226.0,271.0,232.0,96.0,260.0,240.0,240.0,223.0,245.0,239.0,214.0,235.0,231.0,214.0,223.0,220.0,252.0,268.0,213.0,69.0,199.0,136.0
SP_Mag,76.0,132.0,262.0,208.0,250.0,145.0,299.0,122.0,274.0,1210.0,164.0,102.0,297.0,257.0,300.0,60.0,37.0,189.0,254.0,204.0,131.0,332.0,426.0,191.0,155.0,346.0,93.0,45.0,175.0,118.0,167.0,143.0,314.0,94.0,226.0,924.0,2800.0,327.0,408.0,130.0,151.0,122.0,301.0,163.0,554.0,369.0,110.0,187.0,785.0,442.0,438.0,306.0,427.0,79.0,186.0
SP_Dur,60.0,48.0,41.0,55.0,46.0,47.0,43.0,116.0,59.0,162.0,53.0,44.0,53.0,64.0,57.0,115.0,51.0,60.0,47.0,61.0,61.0,55.0,62.0,50.0,58.0,117.0,57.0,66.0,54.0,50.0,27.0,46.0,56.0,54.0,36.0,34.0,168.0,48.0,49.0,35.0,45.0,37.0,45.0,59.0,55.0,47.0,53.0,57.0,49.0,45.0,41.0,52.0,219.0,58.0,138.0
SP_ROC,0.08166666666666665,0.07321428571428569,0.10128205128205128,0.07846153846153847,0.06904761904761905,0.08166666666666661,0.08333333333333333,0.07142857142857142,0.08536585365853651,0.07142857142857142,0.09632253711201079,0.08333333333333333,0.08333333333333333,0.08888888888888896,0.08109589041095888,0.0759615384615385,0.10126582278481021,0.07692307692307693,0.09677419354838712,0.07954545454545454,0.0698051948051948,0.08333333333333333,0.0754985754985755,0.09090909090909098,0.07864357864357864,0.10181190681622088,0.07547169811320745,0.0741758241758241,0.07692307692307693,0.06920498084291184,0.125,0.0701754385964913,0.075,0.06559139784946241,0.09023066485753053,0.10230245944531659,0.08235294117647059,0.08602150537634416,0.08333333333333333,0.07692307692307693,0.07838834269662928,0.07171680117388118,0.08333333333333333,0.07097069597069593,0.09449404761904764,0.1043557168784029,0.07299658994032396,0.06779661016949158,0.09090909090909091,0.07894736842105259,0.08092485549132948,0.08,0.06818181818181834,0.06451612903225812,0.06458333333333335
DS_Tim,293.0,296.0,276.0,290.0,278.0,272.0,307.0,335.0,297.0,278.0,307.0,288.0,285.0,306.0,304.0,332.0,292.0,305.0,283.0,298.0,277.0,296.0,319.0,279.0,275.0,263.0,272.0,294.0,276.0,296.0,267.0,249.0,296.0,280.0,307.0,266.0,264.0,308.0,289.0,275.0,268.0,282.0,284.0,273.0,290.0,278.0,267.0,280.0,269.0,297.0,309.0,265.0,288.0,257.0,274.0
DS_Mag_90,11.0,1.8,3.7400000000000033,3.7,7.09,23.400000000000034,3.8200000000000016,12.0,5.5,23.900000000000006,9.9,9.6,3.4799999999999995,22.0,3.1,2.5,3.2400000000000033,9.580000000000002,11.0,5.740000000000004,3.220000000000006,51.0,7.7,17.0,9.640000000000004,5.619999999999999,1.3,14.0,10.0,2.919999999999999,5.26,27.0,5.5,6.9,3.2200000000000006,4.359999999999999,9.840000000000002,21.099999999999994,4.4,5.3,8.960000000000003,12.0,18.0,34.0,3.8,4.4,10.0,17.0,17.0,21.0,15.0,4.58,2.0,2.25,1.8
DS_Mag_50,2.2,0.7,0.9,0.8,3.95,1.0,1.7,6.4,1.7,2.0,2.4,1.8,1.2,3.6500000000000004,1.5,0.74,0.225,1.6,1.6,1.9,0.6,24.0,3.3,7.8,1.3,2.3,0.53,1.0,3.3499999999999996,1.1,3.0,2.1500000000000004,2.1,0.77,1.3,1.2,2.0,3.25,2.3499999999999996,2.7,0.6,1.0,2.3499999999999996,7.8,1.6,1.7,1.9,1.9,2.1500000000000004,1.8,3.3,0.98,1.3,0.885,0.69
