Year,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,757.1424657534246,334.8876712328767,277.0327868852459,378.8383561643836,320.8027397260274,482.241095890411,222.46174863387978,474.0904109589041,385.6958904109589,509.4958904109589,302.96448087431696,548.4657534246576,460.06575342465754,486.8027397260274,396.6693989071038,373.22739726027396,850.9095890410958,442.1808219178082,207.9863387978142,66.16164383561645,614.4301369863014,263.55068493150685,400.30054644808746,261.613698630137,573.7561643835617,817.4684931506849,428.5464480874317,239.46849315068494,453.6465753424658,277.7753424657534,280.40710382513663,324.6958904109589,237.0849315068493,152.4904109589041,269.41256830601094,561.345205479452,186.2931506849315,682.3342465753425,416.71311475409834,440.9123287671233,783.5945205479452,452.54794520547944,517.7431693989071,229.3972602739726,359.8876712328767,562.9490410958904,435.23770491803276,462.00027397260277,758.5567123287672,237.5205479452055,284.3188524590164,273.2298630136986,507.67369863013704,613.5613698630137,337.7989071038251,275.0654794520548,107.87397260273973,291.4772602739726
Std,990.6694354770619,500.300261608776,373.0731685460033,455.2709729411455,407.18234546483876,664.0543029114693,198.63312258858545,1110.3623079155548,495.9544865437123,642.2525070872232,404.1612191788303,775.2575335639893,846.6994815841352,499.13314389545366,518.8779587322134,475.7481149079114,1444.235925416694,622.3018341471331,238.38215479758517,61.62972648275262,632.0814354255077,367.6675177322866,560.5673329836877,349.0729347642843,809.9396786242452,902.7111749865926,355.99686370564876,286.8670872018036,674.604642020952,440.96275610159904,300.48060020087263,588.1454792631088,372.9879294647015,186.15085366177937,387.200329047788,838.4489308242335,203.26198515861523,886.1728073257555,528.4514155257535,1148.8452847116387,920.8071950093214,526.6914992407701,584.5355445911749,343.97510819968795,438.37715579705315,644.4589523304076,552.692700563283,497.5016192717438,1031.5225647185027,285.12084011554276,373.3856009466776,377.07836685765477,608.1873628655349,556.4408405220299,532.8838824590193,415.21024463118437,168.84204146601107,641.9777046895955
CV,1.308432006242388,1.4939345475661703,1.3466751453521628,1.2017552223344476,1.269260810592146,1.3770172400702558,0.892886636953885,2.342089783401683,1.2858692531446805,1.2605646466926022,1.3340217903183649,1.4135021716911738,1.840387977764997,1.0253293647779504,1.3080866841803687,1.2746870095823741,1.6972848161744511,1.4073469569487695,1.1461433292949066,0.9315023465238604,1.0287279177512088,1.395054305504227,1.4003661447821287,1.334306791242591,1.4116444038460778,1.1042764125469418,0.8307077687714695,1.1979324855119593,1.4870709461692313,1.5874798395972272,1.0715869751582825,1.8113733392766653,1.573224949785246,1.2207380942264408,1.4372021746512895,1.4936422768732898,1.0910867329866694,1.2987371098160252,1.268142030609216,2.6056093462481162,1.1751067304113194,1.1638357986613457,1.129006772353584,1.4994734801491234,1.218094396774674,1.1447909229507562,1.2698640175656892,1.0768426931739141,1.3598489710172508,1.200404944254837,1.313263604285614,1.3800774289402973,1.197988716978278,0.9069033153867937,1.577518077331237,1.5094960133067425,1.5651786746353948,2.2024967027828235
SP_Tim,234.0,229.0,248.0,248.0,223.0,235.0,229.0,213.0,220.0,237.0,236.0,228.0,118.0,244.0,214.0,230.0,242.0,246.0,225.0,241.0,252.0,230.0,214.0,215.0,240.0,244.0,229.0,200.0,161.0,213.0,232.0,224.0,244.0,238.0,216.0,246.0,223.0,238.0,233.0,96.0,256.0,240.0,239.0,230.0,199.0,244.0,219.0,243.0,237.0,192.0,233.0,220.0,252.0,259.0,213.0,190.0,164.0,135.0
SP_Mag,3380.0,1220.0,1230.0,1560.0,1380.0,1840.0,472.0,1990.0,2000.0,3550.0,947.0,3840.0,9200.0,1640.0,2040.0,2330.0,2680.0,2960.0,1430.0,285.0,1670.0,1600.0,1670.0,1360.0,1490.0,5060.0,1530.0,1560.0,4110.0,1470.0,859.0,1170.0,1460.0,759.0,1280.0,7190.0,905.0,2210.0,1850.0,15000.0,2930.0,2550.0,2220.0,1060.0,2130.0,2450.0,1660.0,1850.0,5310.0,886.0,2080.0,1710.0,2610.0,2160.0,1910.0,1370.0,1120.0,4760.0
SP_Dur,56.0,66.0,52.0,52.0,73.0,64.0,85.0,68.0,75.0,66.0,47.0,66.0,164.0,64.0,74.0,55.0,56.0,58.0,112.0,66.0,61.0,63.0,91.0,79.0,70.0,77.0,86.0,86.0,120.0,70.0,75.0,45.0,42.0,48.0,95.0,60.0,74.0,74.0,52.0,167.0,69.0,64.0,67.0,71.0,91.0,49.0,82.0,72.0,66.0,85.0,56.0,75.0,63.0,66.0,72.0,69.0,97.0,23.0
SP_ROC,0.0536789735532862,0.04878048780487805,0.045906080674292596,0.060810810810810814,0.056006170382165606,0.04216867469879518,0.04488805970149254,0.06303099324604304,0.04883720930232558,0.05845262440354465,0.04861111111111111,0.04964539007092199,0.06402802623732856,0.049019607843137254,0.05649717514124294,0.050862068965517246,0.05198816111182602,0.048703352308665404,0.04511533242876527,0.044444444444444446,0.04145189003436426,0.04127659574468085,0.04411764705882353,0.04977477477477478,0.0449438202247191,0.051470588235294115,0.03795189399395074,0.04564393939393939,0.06160063079045929,0.04103974848416797,0.04225352112676056,0.05454545454545454,0.04961832061068702,0.05128205128205128,0.05405405405405406,0.04142011834319527,0.041666666666666664,0.04593267882187938,0.057692307692307696,0.052956137825127175,0.04918032786885246,0.0464536579558307,0.04807692307692308,0.0513581223628692,0.04880952380952381,0.058823529411764705,0.04613503538370728,0.05058139534883721,0.060897435897435896,0.05540208717004297,0.05204460966542751,0.05168722786647315,0.07236363636363635,0.05339912280701754,0.07069022834465707,0.04881101376720901,0.05117801047120419,0.059974548284638524
DS_Tim,290.0,295.0,300.0,300.0,296.0,299.0,314.0,281.0,295.0,303.0,283.0,294.0,282.0,308.0,288.0,285.0,298.0,304.0,337.0,307.0,313.0,293.0,305.0,294.0,310.0,321.0,315.0,286.0,281.0,283.0,307.0,269.0,286.0,286.0,311.0,306.0,297.0,312.0,285.0,263.0,325.0,304.0,306.0,301.0,290.0,293.0,301.0,315.0,303.0,277.0,289.0,295.0,315.0,325.0,285.0,259.0,261.0,158.0
DS_Mag_90,118.00000000000006,50.0,210.60000000000002,173.60000000000002,60.80000000000001,64.7,98.40000000000003,78.0,50.20000000000002,124.0,349.4,76.3,65.7,118.40000000000003,117.0,68.4,131.70000000000002,154.5,49.400000000000006,99.0,131.00000000000009,289.0,70.0,46.20000000000002,317.2000000000001,162.0,67.10000000000001,93.0,90.20000000000002,58.7,171.0,84.50000000000003,65.0,68.4,155.0,70.0,61.099999999999994,70.80000000000001,75.0,186.99999999999994,89.0,168.20000000000002,86.0,177.0,70.83999999999999,333.0,225.1,148.0,95.54,124.6,144.00000000000006,87.0,293.00000000000006,207.60000000000014,66.24000000000001,63.74,73.9,227.40000000000003
DS_Mag_50,56.0,41.0,40.0,48.0,42.0,48.0,33.0,44.5,34.0,53.0,72.0,49.0,35.0,58.0,52.0,43.0,67.0,97.5,35.0,30.0,62.0,52.0,44.0,30.0,126.0,93.0,55.5,46.0,67.0,34.5,81.0,41.0,39.0,37.0,46.0,44.0,28.0,44.0,47.0,58.5,67.0,64.0,58.0,33.0,36.1,74.0,68.9,54.1,53.8,52.7,59.1,43.1,54.9,65.65,39.3,36.4,22.65,54.5
