Year,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,1249.228021978022,762.813698630137,1617.7841530054645,1059.8082191780823,1356.805479452055,736.6383561643836,834.9043715846994,1083.021917808219,773.5534246575343,1222.158904109589,1048.5218579234972,1466.9342465753425,877.5232876712329,1045.7342465753425,663.9863387978143,1189.3753424657534,1002.6164383561644,1409.841095890411,1465.0218579234972,772.0630136986301,1725.7945205479452,1304.3531506849315,843.2431693989071,192.1013698630137,1166.786301369863,632.972602739726,1104.5573770491803,645.6082191780822,1602.3123287671233,1645.627397260274,1417.707650273224,765.8958904109589,1089.9671232876713,579.3295890410959,600.30956284153,1028.876712328767,656.9013698630137,428.61095890410957,310.61639344262295,1186.769589041096,458.2032876712329,1263.4112328767123,1340.9180327868853,1263.9095890410958,1280.6356164383562,1298.8164383561643,824.1748633879781,255.17643835616437,901.0293698630136,1098.5244931506847,854.3083606557377,809.9920547945205,1580.7106849315069,925.0126027397259,836.1480601092896,765.9283835616438,868.6619178082191,1119.7991780821917,867.6262295081966,603.1903287671233,397.2661917808218,592.585397260274
Std,2352.24812041247,1350.5766716901776,3324.968367468615,1824.9152568617992,2331.9528750549025,1448.4599343932518,1750.67825080731,1625.4705281473957,1238.358812507776,1836.5148282754244,2217.542623665574,4068.257256187937,2364.313771131445,1638.1049017389407,1225.6436815973886,1737.2040736092604,2425.8918971619655,2310.327570194062,3785.1394037119903,1192.9228288038285,2445.335996516713,2865.5069715826385,1248.8201156715093,272.931097980239,1682.978168597778,1088.3869171582185,1629.215593128689,1007.6131908615521,2344.9003509478607,2462.6669112898157,1972.4395007022508,1308.7063297983793,2412.7127037216724,823.1085032429139,1210.705651322205,1550.7464463813978,1098.1127053084156,617.1533917276954,460.7235391938647,1395.6597071924994,714.7247799381831,2032.844618137417,2475.3390017549605,2800.5135546731512,1883.3821853956556,2131.088515162101,1465.9023786154542,304.7567451122686,1394.4089084431548,1909.4332068339247,1573.9183506714612,1192.0227173754138,2476.674343720776,1418.7910882160104,1301.2158902823487,1491.24033544843,1036.6342310490345,1493.305617574238,1601.6593419894127,1155.4458530843212,850.8936254057744,1125.4580709400152
CV,1.8829613801713565,1.7705196879861322,2.055260809231937,1.7219297075060276,1.7187083265588377,1.966310771455434,2.0968608027341094,1.5008657732772064,1.600870441567781,1.5026808887944305,2.114922647446966,2.7733058013237875,2.6943031647693925,1.566463857431793,1.8458868955293382,1.4606020585627544,2.419561264265053,1.638714871433743,2.5836743549184975,1.5451107068178742,1.4169334572578842,2.19687971012906,1.4809727027634407,1.4207660162697666,1.4424048059373693,1.7194850337080951,1.474994080869869,1.560719273593411,1.4634477366545082,1.4964911956313998,1.391287900803891,1.7087261417425323,2.213564659128616,1.4207948615317922,2.0168022071669176,1.5072228069691915,1.6716553742876339,1.4398917687631203,1.48325571000157,1.1760157321862161,1.5598421032085827,1.609012620149617,1.8460032166249276,2.2157546544115134,1.4706620378352664,1.6407926880408863,1.7786302928355442,1.1942981376944457,1.5475732035850855,1.7381799119994747,1.8423305016743317,1.4716474196500695,1.566810655061835,1.5338073059910737,1.5562027257615976,1.9469709798636954,1.1933690309166978,1.333547699268477,1.8460245754641302,1.915557657308544,2.1418727367448023,1.8992335554392576
SP_Tim,192.0,214.0,148.0,235.0,188.0,184.0,242.0,226.0,214.0,222.0,168.0,205.0,197.0,227.0,181.0,210.0,204.0,204.0,199.0,186.0,186.0,211.0,197.0,242.0,231.0,223.0,226.0,241.0,199.0,224.0,254.0,183.0,222.0,nan,250.0,185.0,246.0,234.0,204.0,248.0,253.0,228.0,238.0,208.0,244.0,220.0,260.0,273.0,203.0,215.0,208.0,265.0,202.0,207.0,210.0,221.0,251.0,203.0,186.0,193.0,226.0,193.0
SP_Mag,2750.0,2410.0,12600.0,3860.0,4960.0,4220.0,8800.0,3760.0,1040.0,3390.0,2530.0,3140.0,1990.0,1820.0,2160.0,1430.0,525.0,2310.0,2430.0,2740.0,16400.0,2210.0,1770.0,409.0,953.0,4160.0,854.0,539.0,10500.0,1480.0,1670.0,2850.0,2130.0,540.0,1760.0,5260.0,4310.0,863.0,2200.0,3090.0,311.0,1540.0,2280.0,3120.0,1230.0,1300.0,311.0,151.0,976.0,3890.0,1610.0,1560.0,2600.0,2200.0,1170.0,2230.0,2780.0,4140.0,9350.0,2660.0,646.0,905.0
SP_Dur,104.0,51.0,59.0,36.0,40.0,54.0,33.0,45.0,52.0,47.0,72.0,29.0,38.0,38.0,37.0,52.0,60.0,48.0,40.0,44.0,54.0,43.0,57.0,55.0,26.0,52.0,32.0,52.0,43.0,37.0,33.0,102.0,38.0,nan,49.0,110.0,54.0,53.0,48.0,40.0,33.0,20.0,37.0,47.0,44.0,49.0,13.0,15.0,49.0,42.0,51.0,44.0,53.0,51.0,51.0,37.0,58.0,64.0,55.0,37.0,54.0,45.0
SP_ROC,0.03942652329749104,0.03795865279299014,0.06141528001431383,0.044444444444444446,0.05,0.05725920346483382,0.06228992501939153,0.054878048780487805,0.03821656050955414,0.05281877083108022,0.050274725274725277,0.05263157894736842,0.05074074074074074,0.05415944792201724,0.04990514491582733,0.03773584905660377,0.04819277108433735,0.05377861938371493,0.05436893203883495,0.05217391304347826,0.050927649953451254,0.05306878306878307,0.04998078501930232,0.037704335465529495,0.04257976152110861,0.05223880597014925,0.039230769230769236,0.036,0.05752641913208463,0.04972131491414701,0.05019675592667243,0.05330226623394635,0.05483005366726297,nan,0.04723102833366356,0.0576271186440678,0.05185185185185185,0.04487179487179487,0.0472972972972973,0.06787968546140555,0.04210992907801418,0.05050298976533621,0.05121359223300971,0.07417582417582418,0.04690651292602929,0.03638814016172507,0.04421104054714216,0.050031269543464665,0.04519918283963228,0.060783926868567296,0.03875968992248062,0.04729729729729733,0.059039999008967295,0.04883227176220807,0.0395368571492374,0.048109965635738834,0.04448891625615764,0.0430409568684306,0.06556558771748645,0.04963768115942029,0.0394339475374796,0.036057900667417875
DS_Tim,296.0,265.0,207.0,271.0,228.0,238.0,275.0,271.0,266.0,269.0,240.0,234.0,235.0,265.0,218.0,262.0,264.0,252.0,239.0,230.0,240.0,254.0,254.0,297.0,257.0,275.0,258.0,293.0,242.0,261.0,287.0,285.0,260.0,206.0,299.0,295.0,300.0,287.0,252.0,288.0,286.0,248.0,275.0,255.0,288.0,269.0,273.0,288.0,252.0,257.0,259.0,309.0,255.0,258.0,261.0,258.0,309.0,267.0,241.0,230.0,280.0,238.0
DS_Mag_90,97.60000000000005,100.9,480.0,295.0,268.0,133.0,122.80000000000001,140.0,103.80000000000001,128.4,248.0000000000001,303.6,137.60000000000002,133.0,245.50000000000026,148.2,104.6,200.39999999999998,154.0,160.2000000000001,146.5,130.0,129.1,271.5,205.0,89.5,138.0,211.0,167.60000000000005,184.50000000000003,91.0,219.1999999999999,179.80000000000013,148.20000000000002,64.5,194.39999999999986,132.0,68.39999999999999,128.1000000000004,131.8,43.0,267.60000000000014,124.00000000000004,206.0,103.0,109.0,92.00000000000001,28.599999999999994,84.84,121.80000000000007,100.19999999999999,423.8,117.19999999999996,124.5,166.19999999999996,157.20000000000002,70.80000000000001,201.70000000000002,257.80000000000007,148.60000000000002,202.20000000000005,153.2000000000001
DS_Mag_50,54.0,44.0,120.0,85.0,73.5,44.0,42.0,58.0,49.0,48.0,71.0,47.5,36.0,56.0,67.0,61.0,27.0,75.0,43.5,51.0,36.0,41.5,44.0,34.0,58.5,29.5,37.0,36.0,42.0,69.0,41.0,23.0,62.5,26.0,23.5,40.5,46.0,33.0,17.5,40.5,15.0,42.0,38.0,67.0,40.0,28.0,28.0,9.55,16.05,25.6,30.4,38.0,21.1,39.849999999999994,31.4,26.8,37.55,67.55000000000001,72.2,49.3,22.7,23.1
DS_Dur_WS,110.0,142.0,221.0,132.0,216.0,223.0,129.0,141.0,102.0,109.0,177.0,212.0,163.0,156.0,184.0,170.0,133.0,150.0,156.0,153.0,186.0,122.0,250.0,98.0,202.0,106.0,161.0,111.0,167.0,132.0,85.0,133.0,152.0,207.0,96.0,160.0,161.0,123.0,174.0,134.0,113.0,174.0,135.0,151.0,111.0,141.0,109.0,118.0,182.0,164.0,165.0,109.0,145.0,146.0,175.0,179.0,76.0,184.0,169.0,253.0,127.0,169.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,9.0,18.0,9.0,25.0,10.0,19.0,9.0,7.0,10.0,nan,nan,40.0,15.0,nan,2.0,11.0,8.0,nan,0.0,11.0,nan,28.0,nan,45.0,0.0,50.0,nan,14.0,6.0,29.0,nan,nan,22.0,0.0,nan,nan,23.0,30.0,25.0,31.0,nan,nan,nan,24.0,1.0,7.0,27.0,nan,nan,40.0,nan,19.0,34.0,nan,18.0,4.0,14.0,nan,5.0,15.0,50.0,23.0
