Year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
Avg,1.1556164383561645,0.2819672131147541,0.00027397260273972606,11.038082191780822,0.9087671232876712,0.2762295081967213,1.5964383561643838,9.308767123287671,11.146301369863012,0.7571038251366119,29.815890410958904,1.8161643835616437,2.695150684931507,2.2414207650273226,12.274904109589041,2.6900821917808218,4.308164383561644,1.0916666666666668,0.2706027397260274,25.293890410958905,4.201780821917809,12.625355191256832,1.4154520547945204
Std,5.631477332705058,0.9435732914310734,0.005227064117353128,77.64354308391253,6.312299788270619,2.097294117188301,8.374639696991101,52.285432423242845,53.104349782030006,3.3892938679976647,158.66390417237585,9.440271186918682,10.802481084456188,19.24310676815769,53.56773473060895,15.753422319856883,20.359161208744897,10.552519172378906,0.9343374583200071,123.25798263599333,13.19017340154859,67.99092944775002,5.60930959305287
CV,4.873137094446054,3.3463936498427604,19.078784028338916,7.034151561376077,6.9460036862188,7.592578109702455,5.245827165611381,5.61679454763035,4.764302347468527,4.476656642681868,5.321454499110264,5.197916704216804,4.008117670322658,8.58522731135808,4.36400433374973,5.8561118942719705,4.725715965348931,9.666429776224952,3.452801177349424,4.8730337893213225,3.1391864451245293,5.385268645339525,3.9629103465939486
SP_Tim,142.0,214.0,nan,136.0,136.0,187.0,194.0,93.0,207.0,163.0,151.0,156.0,143.0,91.0,154.0,162.0,162.0,136.0,240.0,158.0,182.0,161.0,176.0
SP_Mag,92.0,1.3,nan,1150.0,66.0,38.0,103.0,729.0,62.0,63.0,1570.0,49.0,14.0,348.0,184.0,37.0,273.0,82.0,0.42,1730.0,170.0,121.0,7.0
SP_Dur,107.0,53.0,nan,37.0,148.0,25.0,26.0,112.0,41.0,56.0,24.0,28.0,84.0,23.0,68.0,30.0,89.0,46.0,21.0,90.0,45.0,28.0,67.0
SP_ROC,0.16666666666666663,0.41666666666666663,nan,0.13392857142857142,0.18518518518518517,0.5,0.10170940170940167,0.06976744186046507,0.05701516793066083,0.11111111111111108,0.0919661733615222,0.12701612903225812,0.07692307692307698,0.12232142857142853,0.07142857142857134,0.11829836829836834,0.0555555555555556,0.10416666666666664,0.25000000000000006,0.06666666666666667,0.0578517924023542,0.06458333333333333,0.09523809523809532
DS_Tim,249.0,267.0,nan,173.0,284.0,212.0,220.0,205.0,248.0,219.0,175.0,184.0,227.0,114.0,222.0,192.0,251.0,182.0,261.0,248.0,227.0,189.0,243.0
DS_Mag_90,0.0,nan,nan,2.0,0.0,0.0,0.4,0.4,2.6400000000000032,0.2,4.840000000000003,0.73,0.23,1.0,2.220000000000002,0.7940000000000004,0.09599999999999995,nan,0.0,2.1,2.1599999999999997,3.1300000000000012,0.19800000000000068
DS_Mag_50,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.35,0.0,0.0,nan,0.0,0.23,0.03,0.13,0.02
DS_Dur_WS,194.0,nan,nan,311.0,114.0,224.0,183.0,214.0,154.0,248.0,313.0,231.0,212.0,353.0,229.0,229.0,235.0,nan,193.0,205.0,265.0,288.0,234.0
DS_No_Flow,178.0,nan,nan,195.0,110.0,221.0,107.0,141.0,2.0,185.0,0.0,140.0,139.0,187.0,8.0,133.0,181.0,nan,181.0,0.0,118.0,0.0,80.0
FA_Tim,nan,nan,nan,62.0,nan,nan,nan,nan,37.0,nan,nan,36.0,nan,nan,44.0,48.0,nan,nan,0.0,nan,52.0,nan,nan
FA_Mag,nan,nan,nan,24.956583994488344,nan,nan,nan,nan,13.988731967681158,nan,nan,3.267216730798434,nan,nan,6.484165416709494,7.195351745900318,nan,nan,2.4454299389236045,nan,1.9031717289615218,nan,nan
Wet_Tim,92.0,77.0,nan,120.0,118.0,32.0,70.0,37.0,53.0,36.0,101.0,122.0,49.0,73.0,101.0,85.0,55.0,120.0,nan,88.0,87.0,126.0,111.0
FA_Dur,nan,nan,nan,10.0,nan,nan,nan,nan,12.0,nan,nan,2.0,nan,nan,14.0,7.0,nan,nan,4.0,nan,3.0,nan,nan
Wet_BFL_Mag_10,0.5,0.0,nan,0.0,0.0,0.0,0.1,0.0,2.0,0.4,0.4,0.65,0.5100000000000012,0.0,1.3280000000000003,0.72,0.7,0.0,nan,4.48,1.4,2.8200000000000003,0.562
Wet_BFL_Mag_50,0.7,0.3,nan,0.0,0.15000000000000002,0.1,0.4,4.9,7.5,0.9,38.0,1.4,4.1,1.95,17.0,3.4,1.3,0.0,nan,15.5,5.4,38.0,2.0
Wet_BFL_Dur,50.0,137.0,nan,16.0,18.0,155.0,124.0,56.0,154.0,127.0,50.0,34.0,94.0,18.0,53.0,77.0,107.0,16.0,nan,70.0,95.0,35.0,65.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,1825.1999999999998,1825.1999999999998,nan,1825.1999999999998,1825.1999999999998,1825.1999999999998,1825.1999999999998,1825.1999999999998,1825.1999999999998,1825.1999999999998,1825.1999999999998,1825.1999999999998,1825.1999999999998,1825.1999999999998,1825.1999999999998,1825.1999999999998,1825.1999999999998,1825.1999999999998,1825.1999999999998,1825.1999999999998,1825.1999999999998,1825.1999999999998,1825.1999999999998
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_5,1671.999999999999,1671.999999999999,nan,1671.999999999999,1671.999999999999,1671.999999999999,1671.999999999999,1671.999999999999,1671.999999999999,1671.999999999999,1671.999999999999,1671.999999999999,1671.999999999999,1671.999999999999,1671.999999999999,1671.999999999999,1671.999999999999,1671.999999999999,1671.999999999999,1671.999999999999,1671.999999999999,1671.999999999999,1671.999999999999
Peak_Dur_10,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_10,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_10,1122.0,1122.0,nan,1122.0,1122.0,1122.0,1122.0,1122.0,1122.0,1122.0,1122.0,1122.0,1122.0,1122.0,1122.0,1122.0,1122.0,1122.0,1122.0,1122.0,1122.0,1122.0,1122.0
Peak_Dur_20,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,1.0,nan
Peak_Fre_20,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,1.0,nan
Peak_20,821.4000000000001,821.4000000000001,nan,821.4000000000001,821.4000000000001,821.4000000000001,821.4000000000001,821.4000000000001,821.4000000000001,821.4000000000001,821.4000000000001,821.4000000000001,821.4000000000001,821.4000000000001,821.4000000000001,821.4000000000001,821.4000000000001,821.4000000000001,821.4000000000001,821.4000000000001,821.4000000000001,821.4000000000001,821.4000000000001
Peak_Dur_50,nan,nan,nan,6.0,nan,nan,nan,6.0,2.0,nan,13.0,nan,nan,1.0,6.0,1.0,3.0,1.0,nan,9.0,1.0,6.0,nan
Peak_Fre_50,nan,nan,nan,2.0,nan,nan,nan,3.0,2.0,nan,4.0,nan,nan,1.0,4.0,1.0,2.0,1.0,nan,4.0,1.0,1.0,nan
Peak_50,163.0,163.0,nan,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0
Dur_2,1.0,nan,nan,13.0,2.0,nan,3.0,12.0,14.0,1.0,29.0,4.0,2.0,4.0,16.0,3.0,7.0,3.0,nan,30.0,6.0,18.0,2.0
Fre_2,1.0,nan,nan,2.0,1.0,nan,2.0,3.0,6.0,1.0,4.0,2.0,2.0,2.0,5.0,1.0,3.0,2.0,nan,8.0,3.0,3.0,2.0
High_2,40.0,40.0,nan,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
Dur_5,5.0,nan,nan,24.0,2.0,1.0,7.0,24.0,53.0,1.0,64.0,5.0,12.0,9.0,59.0,10.0,15.0,3.0,nan,89.0,17.0,41.0,6.0
Fre_5,4.0,nan,nan,3.0,1.0,1.0,3.0,4.0,9.0,1.0,2.0,2.0,3.0,1.0,4.0,5.0,4.0,2.0,nan,6.0,4.0,3.0,3.0
High_5,14.0,14.0,nan,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
Dur_10,11.0,2.0,nan,43.0,4.0,4.0,15.0,45.0,114.0,4.0,95.0,16.0,36.0,14.0,100.0,31.0,35.0,4.0,3.0,135.0,58.0,63.0,16.0
Fre_10,4.0,1.0,nan,2.0,2.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,4.0,1.0,4.0,5.0,6.0,2.0,2.0,5.0,8.0,3.0,5.0
High_10,6.1,6.1,nan,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1
Dur_20,35.0,8.0,nan,83.0,18.0,6.0,39.0,135.0,210.0,20.0,135.0,34.0,91.0,33.0,158.0,74.0,101.0,8.0,10.0,181.0,134.0,143.0,58.0
Fre_20,3.0,3.0,nan,6.0,5.0,3.0,4.0,1.0,2.0,5.0,1.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,9.0,2.0,7.0
High_20,1.9,1.9,nan,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
