Year,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Avg,1.613688524590164,15.348465753424657,12.295698630136984,9.793863013698632,0.2871311475409836,0.16717808219178082,18.638109589041097,5.26268493150685,15.567431693989072,4.208191780821918,22.30753424657534,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.2903013698630135,13.270383561643836,13.511671232876713,1.2238082191780821,6.141530054644809,4.757643835616437,11.344821917808218
Std,4.8205809120076575,38.31678595426899,32.65629630900457,22.239440766913862,0.3829076552092016,0.40758961843238384,49.740001354870415,12.720523226161225,47.05227502690048,16.569512009627584,52.17146666182663,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.3030193273788,25.877231444846274,30.88808212251095,3.901610909515134,21.154337031789986,17.982768431915222,25.190617122168405
CV,2.9873056903791038,2.4964570771980568,2.655912225187708,2.2707526882709774,1.333563629332646,2.438056550767291,2.6687256621839333,2.4171166223547784,3.0224815468481165,3.9374422252189585,2.3387374904438847,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.196441154505615,1.9499987566026913,2.2860297286803286,3.1880901340370817,3.444473420070796,3.7797634823551762,2.220450643004465
SP_Tim,132.0,154.0,184.0,176.0,197.0,171.0,159.0,183.0,145.0,176.0,196.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,152.0,177.0,189.0,153.0,151.0,158.0,198.0
SP_Mag,15.0,90.0,88.0,114.0,0.88,2.0,339.0,38.0,443.0,47.0,395.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,140.0,106.0,234.0,41.0,76.0,163.0,58.0
SP_Dur,93.0,68.0,65.0,79.0,70.0,50.0,101.0,67.0,112.0,50.0,50.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64.0,63.0,90.0,81.0,66.0,20.0,60.0
SP_ROC,0.07142857142857134,0.0779352226720648,0.07499999999999996,0.052177858439201405,0.1318840579710145,0.15624999999999997,0.06666666666666667,0.06299603174603173,0.07142857142857142,0.06976744186046507,0.06024096385542179,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.06256109481915934,0.0662978573937478,0.06123086535457668,0.06948275862068959,0.046511627906976785,0.06487676056338028,0.04227941176470596
DS_Tim,225.0,222.0,249.0,255.0,267.0,221.0,260.0,250.0,257.0,226.0,246.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,216.0,240.0,279.0,234.0,217.0,178.0,258.0
DS_Mag_90,2.2,2.0,2.1,1.1,0.0,0.0,1.3,0.65,1.4,1.1300000000000012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.8,2.7400000000000007,1.3,0.12,1.3000000000000003,2.7280000000000015,1.7339999999999995
DS_Mag_50,0.0,0.14,0.41,0.33,0.0,0.0,0.16,0.03,0.27,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.355,0.59,0.5,0.0,0.14,0.03,0.31
DS_Dur_WS,235.0,181.0,231.0,227.0,179.0,233.0,200.0,194.0,215.0,178.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,230.0,197.0,209.0,205.0,273.0,193.0,113.0
DS_No_Flow,141.0,83.0,46.0,21.0,179.0,216.0,48.0,94.0,45.0,109.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,93.0,5.0,0.0,178.0,134.0,92.0,11.0
FA_Tim,nan,45.0,nan,51.0,9.0,nan,nan,nan,24.0,64.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39.0,18.0,nan,69.0,nan,32.0,nan
