Year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Avg,0.6371584699453552,0.011506849315068492,1.465205479452055,2.7257534246575346,0.30819672131147546,2.506575342465753,0.44356164383561647,4.044109589041096,0.8423224043715846,4.944931506849315,2.322876712328767,2.1874520547945204,0.022540983606557378,7.070986301369863,6.328767123287672,1.8114520547945208,0.008060109289617486,0.0017534246575342468,3.822630136986301,1.712054794520548,3.4843169398907103,0.5370410958904109,7.694904109589042,12.956438356164385,3.8294262295081967,1.0041643835616438,4.287945205479452,0.41865753424657537,0.06185792349726775,0.07353424657534247,0.012356164383561644,0.3358904109589041,0.8590437158469945,4.1167123287671235,0.32432876712328773,4.999287671232877,5.151502732240437,4.572328767123288,11.115068493150686,3.0405205479452055,4.3822950819672135,0.535972602739726,1.2238904109589042,1.2005479452054795,1.4817486338797812,3.3571232876712327,6.344082191780821,0.8717534246575342,1.0878142076502733,0.9455068493150686,2.308767123287671,3.3117808219178073,0.4814754098360656,1.4892876712328769,0.05715068493150685,1.767068493150685,2.070628415300546
Std,4.1194575763710874,0.06349784232935907,7.332963315411817,10.180768590331748,2.2355030300507983,9.036896093872432,1.642982061502564,13.25412521315807,3.6497316788702983,14.21611945618666,18.23884890920327,6.320053218609589,0.10786726417685641,20.64284110509557,20.305783462887092,6.2924438553203474,0.05468045968192208,0.011381047477995086,11.020000879480422,6.538904302438568,14.273355051428494,2.443604122582087,27.630906148366652,28.04555220125996,8.786187119394679,2.3843711845224065,17.917833632423015,3.2835246857864893,0.5646221634549431,0.3733702148274856,0.09867858018854837,2.828601491717974,3.989740108666346,16.096590488535185,2.1480306115953134,14.16801406359714,13.243082107201477,16.991090406650795,32.76119494213245,9.242567573216231,16.12334775473228,2.0772534419909117,4.974193367695221,3.9989567442299006,7.371808669688744,8.642054784749305,14.770628409437524,4.147107154079791,4.559185723052361,4.7091157391248775,7.613147378092911,12.445136183943207,3.7737140187482368,8.683167406247358,0.2845319959971219,9.364143908136771,7.879301783764201
CV,6.465357945762513,5.518264869099062,5.004733751169246,3.7350291843110743,7.253493874100993,3.605276067617705,3.704067031800098,3.277390219363658,4.3329390978187075,2.874887030587917,7.851836824743992,2.8892305112503447,4.785384083482357,2.919372238226007,3.2084895947851897,3.4737015747480666,6.784084150367283,6.490753639794072,2.8828321037013565,3.8193312056170226,4.096457152912213,4.550125011439964,3.590805779364328,2.1646035299443622,2.2943873553932037,2.37448292685441,4.178652658510256,7.842984819789729,9.127725787301642,5.077501058570501,7.9861822103814095,8.4212034622925,4.644397060436636,3.910059582267631,6.623003659674685,2.8340065615994363,2.5707221359546746,3.7160692662397623,2.9474577653138634,3.0397977673469074,3.6792017545962477,3.8756709417097723,4.064247356753124,3.330942974997521,4.975073707600828,2.5742440906136994,2.328253002234721,4.757202021556691,4.191143755053911,4.980519964013156,3.2974947110524653,3.757838109810781,7.837812568731441,5.830416496404065,4.978627926124137,5.299253506263638,3.805270769753511
SP_Tim,136.0,nan,nan,205.0,nan,195.0,nan,206.0,187.0,154.0,116.0,108.0,nan,174.0,186.0,193.0,nan,nan,191.0,196.0,161.0,175.0,199.0,258.0,172.0,180.0,166.0,nan,nan,nan,nan,nan,nan,152.0,nan,177.0,160.0,121.0,189.0,196.0,160.0,194.0,161.0,218.0,152.0,182.0,225.0,153.0,150.0,nan,205.0,178.0,nan,88.0,nan,135.0,169.0
SP_Mag,51.0,nan,nan,31.0,nan,11.0,nan,38.0,4.8,62.0,335.0,13.0,nan,19.0,256.0,12.0,nan,nan,28.0,2.4,27.0,34.0,34.0,9.8,15.0,12.0,46.0,nan,nan,nan,nan,nan,nan,101.0,nan,80.0,55.0,133.0,27.0,12.0,77.0,3.2,3.6,17.7,50.6,43.6,6.61,44.3,16.2,nan,10.1,150.0,nan,43.0,nan,19.1,71.0
SP_Dur,29.0,nan,nan,52.0,nan,25.0,nan,44.0,17.0,74.0,62.0,112.0,nan,39.0,50.0,32.0,nan,nan,35.0,34.0,27.0,43.0,50.0,24.0,53.0,48.0,23.0,nan,nan,nan,nan,nan,nan,69.0,nan,41.0,33.0,62.0,41.0,58.0,34.0,25.0,44.0,33.0,30.0,26.0,19.0,67.0,25.0,nan,21.0,102.0,nan,75.0,nan,79.0,46.0
SP_ROC,0.16666666666666663,nan,nan,0.13392857142857145,nan,0.23076923076923078,nan,0.08452380952380945,0.20282608695652174,0.07692307692307698,0.15999999999999998,0.08552631578947363,nan,0.06250000000000006,0.08012820512820511,0.09375000000000008,nan,nan,0.11764705882352938,0.07362637362637361,0.07773584905660376,0.15624999999999997,0.06486676016830295,0.06666666666666672,0.06250000000000006,0.1016949152542372,0.09047860646034159,nan,nan,nan,nan,nan,nan,0.10319148936170211,nan,0.03973684210526317,0.0785361842105263,0.06155303030303025,0.037386443046820414,0.0555555555555556,0.08235294117647061,0.375,0.13818181818181824,0.16489898989898988,0.17500000000000002,0.12918660287081332,0.04205898858888822,0.5228813559322034,0.1776669929043308,nan,0.23249516441005807,0.14754098360655732,nan,0.20345433255269324,nan,0.23809523809523805,0.19999999999999987
DS_Tim,165.0,nan,nan,257.0,nan,220.0,nan,250.0,204.0,228.0,178.0,220.0,nan,213.0,236.0,225.0,nan,nan,226.0,230.0,188.0,218.0,249.0,282.0,225.0,228.0,189.0,nan,nan,nan,nan,nan,nan,221.0,nan,218.0,193.0,183.0,230.0,254.0,194.0,219.0,205.0,251.0,182.0,208.0,244.0,220.0,175.0,nan,226.0,280.0,nan,163.0,nan,214.0,215.0
DS_Mag_90,nan,nan,nan,nan,nan,nan,nan,0.2,0.02,0.2,0.17,nan,nan,0.5,0.6690000000000004,nan,nan,nan,0.05400000000000034,0.01,0.96,0.0,2.7700000000000014,0.704,0.5560000000000003,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.1,1.4,0.9540000000000003,0.9,0.03800000000000011,0.9480000000000007,0.0,0.0,0.0,0.0,0.849,1.2910000000000006,0.0,nan,nan,0.132000000000001,nan,nan,nan,nan,0.0,0.0
DS_Mag_50,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.01,0.14,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan,0.0,0.0
