Year,1958,1959,1960,1961,1962,1963,1964,1965
Avg,889.5232876712329,357.46301369863016,330.25409836065575,427.2219178082192,334.9205479452055,654.6301369863014,380.40437158469945,701.945205479452
Std,1050.0978180816662,430.8327671957505,500.7178490884579,453.5287791223534,316.5026637378024,845.698114907155,422.1625374998603,1567.25745007187
CV,1.180517511610985,1.2052513146408397,1.5161593802286333,1.0615765723095307,0.9450081987492258,1.2918716495401001,1.1097730968264206,2.2327347460139437
SP_Tim,234.0,251.0,249.0,261.0,255.0,236.0,254.0,243.0
SP_Mag,1950.0,554.0,1410.0,948.0,694.0,1890.0,926.0,876.0
SP_Dur,82.0,54.0,67.0,44.0,85.0,71.0,69.0,45.0
SP_ROC,0.04967602591792657,0.05405405405405406,0.05517241379310345,0.05102258852258852,0.052814938684503904,0.049290411907234336,0.041237113402061855,0.0747003719520595
DS_Tim,316.0,305.0,316.0,305.0,340.0,307.0,323.0,288.0
DS_Mag_90,127.0,58.0,45.0,70.20000000000002,53.1,102.6,63.400000000000006,96.0
DS_Mag_50,81.0,43.0,38.0,44.0,38.0,61.0,33.0,47.0
DS_Dur_WS,133.0,171.0,88.0,110.0,30.0,78.0,94.0,129.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,9.0,40.0,nan,7.0,26.0,nan,10.0,nan
FA_Mag,1109.9970747833534,133.00158460504224,nan,82.99372895274271,163.96644084031877,nan,404.97143408296023,nan
Wet_Tim,73.0,83.0,110.0,38.0,49.0,4.0,19.0,51.0
FA_Dur,4.0,7.0,nan,4.0,8.0,nan,3.0,nan
Wet_BFL_Mag_10,600.0,282.79999999999995,177.20000000000002,134.0,163.5,170.10000000000002,191.8,345.5
Wet_BFL_Mag_50,1050.0,547.5,556.0,610.0,430.0,614.0,437.0,758.5
Wet_BFL_Dur,161.0,168.0,139.0,223.0,206.0,232.0,235.0,192.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_2,21619.99999999999,21619.99999999999,21619.99999999999,21619.99999999999,21619.99999999999,21619.99999999999,21619.99999999999,21619.99999999999
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_5,18049.999999999993,18049.999999999993,18049.999999999993,18049.999999999993,18049.999999999993,18049.999999999993,18049.999999999993,18049.999999999993
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_10,12099.999999999996,12099.999999999996,12099.999999999996,12099.999999999996,12099.999999999996,12099.999999999996,12099.999999999996,12099.999999999996
Peak_Dur_20,1.0,nan,nan,nan,nan,nan,nan,3.0
Peak_Fre_20,1.0,nan,nan,nan,nan,nan,nan,1.0
Peak_20,6752.0,6752.0,6752.0,6752.0,6752.0,6752.0,6752.0,6752.0
Peak_Dur_50,6.0,nan,1.0,nan,nan,2.0,nan,3.0
Peak_Fre_50,4.0,nan,1.0,nan,nan,2.0,nan,1.0
Peak_50,5370.0,5370.0,5370.0,5370.0,5370.0,5370.0,5370.0,5370.0
Dur_2,21.0,1.0,3.0,1.0,nan,15.0,4.0,14.0
Fre_2,6.0,1.0,1.0,1.0,nan,6.0,3.0,6.0
High_2,2409.2000000000007,2409.2000000000007,2409.2000000000007,2409.2000000000007,2409.2000000000007,2409.2000000000007,2409.2000000000007,2409.2000000000007
Dur_5,56.0,7.0,7.0,5.0,2.0,36.0,6.0,28.0
Fre_5,9.0,4.0,3.0,3.0,1.0,9.0,3.0,8.0
High_5,1516.500000000001,1516.500000000001,1516.500000000001,1516.500000000001,1516.500000000001,1516.500000000001,1516.500000000001,1516.500000000001
Dur_10,87.0,15.0,20.0,28.0,8.0,67.0,8.0,61.0
Fre_10,6.0,5.0,5.0,9.0,4.0,12.0,4.0,7.0
High_10,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0
Dur_20,158.0,36.0,43.0,75.0,46.0,108.0,25.0,95.0
Fre_20,10.0,6.0,8.0,14.0,7.0,9.0,8.0,6.0
High_20,777.7999999999997,777.7999999999997,777.7999999999997,777.7999999999997,777.7999999999997,777.7999999999997,777.7999999999997,777.7999999999997
