Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
FA_Mag,nan,518.0344768194186,641.9283005686912,275.9769458273006,610.9448881135796,nan,432.0019730330094,nan,298.00416991891166,239.99938554545216,298.99509378589306,390.0058671502978,272.99670174619064,646.958173473439,369.96578516577284,693.9355420262883,2179.9443610933913,693.9998885318581,477.99804796918863,810.0022717832485,822.8056917649018,613.9427332536942,nan,1499.76994672729,769.9193096442227,695.0138045104068,nan,nan,553.9839788393217,1099.929382428149,573.9744789582111,1799.974438526941
FA_Tim,nan,62.0,67.0,64.0,46.0,nan,5.0,nan,0.0,1.0,43.0,63.0,0.0,36.0,40.0,45.0,59.0,0.0,45.0,16.0,56.0,42.0,nan,42.0,64.0,10.0,nan,nan,0.0,19.0,64.0,44.0
FA_Dur,nan,2.0,3.0,7.0,2.0,nan,6.0,nan,2.0,4.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,11.0,6.0,3.0,2.0,2.0,nan,3.0,3.0,5.0,nan,nan,8.0,3.0,2.0,2.0
Wet_BFL_Mag_10,293.0,819.8000000000001,567.0,860.0,716.2,443.0,562.5,1076.0,284.40000000000003,346.0,234.0,864.0000000000002,100.4,357.4,664.0,468.0,1680.0,598.0,1583.0,780.6,502.8,417.20000000000005,1001.6,1260.0,794.6,414.2,nan,1374.0000000000002,1285.0,736.4000000000002,465.0,1310.0
Wet_BFL_Mag_50,950.0,2970.0,1990.0,2570.0,1390.0,1600.0,1705.0,3640.0,1390.0,1500.0,1090.0,3695.0,1530.0,1305.0,1090.0,2100.0,7460.0,1560.0,4665.0,1330.0,1480.0,1020.0,4290.0,2565.0,2475.0,924.5,nan,2660.0,2500.0,2290.0,2000.0,4430.0
Wet_Tim,18.0,154.0,158.0,164.0,168.0,56.0,175.0,156.0,120.0,154.0,153.0,166.0,102.0,158.0,64.0,147.0,205.0,168.0,164.0,164.0,157.0,137.0,178.0,165.0,194.0,182.0,nan,143.0,175.0,80.0,157.0,155.0
Wet_BFL_Dur,244.0,99.0,126.0,70.0,87.0,201.0,80.0,109.0,133.0,96.0,101.0,102.0,165.0,104.0,219.0,86.0,72.0,77.0,84.0,83.0,105.0,117.0,77.0,88.0,54.0,48.0,nan,113.0,68.0,197.0,95.0,110.0
Peak_2,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0,8140.0
Peak_5,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0,15360.0
Peak_10,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0,18890.0
