Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983
FA_Mag,nan,62.95297521177902,27.981103653305624,7.996967229996673,34.933275496251866,nan,42.97445935361226,40.98945264458155,7.3903407357760305,nan,27.991641152151445,18.994813497096196,19.998637852016607,137.96090638336494,nan,91.88450191177884,579.9889768594444,25.94640991040189,423.96166683568595,301.98096075195537,50.99504619112308,103.84860188238834,45.00261893209105,1619.8679935954235,75.97046220649025,176.96373560817918,25.997914948183897,59.97766911298982,51.98094424460727,286.8676545468691,48.92632257222272,1179.8736958200845,1479.8192968714877
FA_Tim,nan,42.0,67.0,18.0,45.0,nan,26.0,44.0,46.0,nan,48.0,55.0,13.0,36.0,nan,44.0,59.0,49.0,33.0,15.0,36.0,42.0,46.0,42.0,64.0,10.0,1.0,52.0,61.0,19.0,64.0,44.0,25.0
FA_Dur,nan,2.0,3.0,9.0,15.0,nan,5.0,2.0,3.0,nan,7.0,7.0,5.0,3.0,nan,7.0,3.0,7.0,2.0,3.0,2.0,4.0,6.0,3.0,2.0,3.0,6.0,6.0,3.0,2.0,5.0,3.0,6.0
Wet_BFL_Mag_10,43.0,60.0,62.0,42.0,68.6,52.80000000000001,91.0,92.60000000000002,48.8,73.0,47.4,51.3,3.02,55.5,43.900000000000006,36.1,61.5,51.2,72.6,46.3,65.5,53.5,59.60000000000001,130.0,68.0,nan,24.6,101.2,99.4,61.1,69.19999999999999,75.1,114.0
Wet_BFL_Mag_50,120.0,482.0,199.0,99.0,190.0,131.0,225.0,540.0,173.0,238.0,169.0,387.5,106.0,170.0,96.5,265.0,655.0,151.0,385.0,115.0,201.5,162.0,406.0,364.0,358.0,nan,133.0,437.0,358.0,114.0,212.0,586.5,1040.0
Wet_Tim,13.0,163.0,148.0,104.0,166.0,50.0,170.0,180.0,123.0,148.0,137.0,162.0,100.0,156.0,30.0,144.0,202.0,122.0,162.0,62.0,156.0,128.0,172.0,182.0,193.0,nan,161.0,158.0,176.0,75.0,158.0,173.0,207.0
Wet_BFL_Dur,249.0,103.0,119.0,131.0,87.0,208.0,81.0,103.0,129.0,101.0,115.0,104.0,155.0,106.0,250.0,92.0,76.0,123.0,87.0,204.0,106.0,116.0,83.0,71.0,59.0,nan,87.0,110.0,75.0,162.0,87.0,102.0,76.0
Peak_2,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0,1160.0
Peak_5,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0
Peak_10,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005,3744.0000000000005
