Year,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941
FA_Mag,1179.8698270481373,679.9842006692056,nan,791.9919318065694,1419.9974123104123,494.9754894815377,459.9855982672063,1059.999516432889,1039.982495538012,1799.9863804136353,nan,10899.902890477544,2159.8608736902193,nan,nan,1689.860302018386,960.0119832501798,639.9955974670982,nan,3459.9732665594893,1659.9744160687671,nan,793.9580122774463,809.9841709378046,363.99272984991717,nan,nan,973.9947162150609,nan,nan,37898.96598161368,nan,1119.9756543744315,nan
FA_Tim,67.0,16.0,nan,11.0,0.0,41.0,30.0,0.0,64.0,2.0,nan,1.0,72.0,nan,nan,40.0,3.0,29.0,nan,55.0,26.0,nan,72.0,8.0,41.0,nan,nan,49.0,nan,nan,71.0,nan,2.0,nan
FA_Dur,5.0,3.0,nan,4.0,4.0,5.0,8.0,4.0,5.0,6.0,nan,4.0,4.0,nan,nan,3.0,2.0,3.0,nan,2.0,2.0,nan,4.0,4.0,2.0,nan,nan,2.0,nan,nan,2.0,nan,2.0,nan
Wet_BFL_Mag_10,880.0,1650.0,948.5,1430.0,1160.0,615.0,1062.0,1940.0,1351.0000000000002,1940.0,568.8000000000001,nan,1300.0,1400.0,2252.0,1620.0,395.9,528.0,1254.0,1328.0,885.0,564.5,631.4,582.8,1476.0,1104.0,628.4000000000001,1518.0,858.0,1630.0,2194.0,838.0000000000001,1502.0,2160.0
Wet_BFL_Mag_50,1930.0,3675.0,2540.0,7320.0,3380.0,1640.0,4300.0,4610.0,5635.0,5090.0,3000.0,nan,3260.0,3500.0,10050.0,3700.0,1420.0,2160.0,3820.0,3540.0,2700.0,1620.0,1660.0,1140.0,3140.0,2000.0,1220.0,5130.0,3160.0,4320.0,6820.0,1200.0,3710.0,4490.0
Wet_Tim,139.0,84.0,33.0,91.0,203.0,170.0,76.0,157.0,84.0,168.0,129.0,nan,164.0,136.0,189.0,160.0,166.0,111.0,152.0,117.0,154.0,142.0,122.0,154.0,111.0,135.0,38.0,150.0,113.0,107.0,111.0,14.0,104.0,109.0
Wet_BFL_Dur,77.0,186.0,214.0,203.0,49.0,69.0,188.0,98.0,180.0,96.0,128.0,nan,81.0,133.0,74.0,97.0,60.0,131.0,85.0,143.0,91.0,120.0,137.0,68.0,159.0,125.0,185.0,120.0,117.0,161.0,162.0,193.0,155.0,171.0
Peak_2,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0
Peak_5,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004
Peak_10,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0
Peak_Dur_2,nan,44.0,4.0,51.0,6.0,nan,25.0,8.0,24.0,10.0,nan,1.0,2.0,3.0,34.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,8.0,54.0,nan,nan,20.0
Peak_Dur_5,nan,11.0,2.0,19.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,17.0,nan,nan,nan
Peak_Dur_10,nan,1.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_2,nan,9.0,3.0,10.0,1.0,nan,7.0,2.0,5.0,3.0,nan,1.0,1.0,2.0,8.0,nan,nan,nan,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,4.0,8.0,nan,nan,6.0
Peak_Fre_5,nan,4.0,2.0,6.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,7.0,nan,nan,nan
Peak_Fre_10,nan,1.0,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
SP_Mag,7020.0,14600.0,10300.0,13300.0,15300.0,6610.0,13200.0,13800.0,13200.0,11700.0,9400.0,7800.0,9150.0,7240.0,12800.0,9150.0,3800.0,8900.0,6900.0,11200.0,4650.0,6650.0,4140.0,2510.0,10400.0,7240.0,2200.0,7010.0,7760.0,8760.0,14200.0,3600.0,7330.0,8560.0
SP_Tim,216.0,270.0,247.0,294.0,252.0,239.0,264.0,255.0,264.0,264.0,257.0,236.0,245.0,269.0,263.0,257.0,226.0,242.0,237.0,260.0,245.0,262.0,259.0,222.0,270.0,260.0,223.0,270.0,230.0,268.0,273.0,207.0,259.0,280.0
SP_Dur,120.0,49.0,74.0,53.0,78.0,140.0,83.0,75.0,62.0,74.0,68.0,77.0,78.0,61.0,61.0,58.0,49.0,97.0,66.0,75.0,57.0,99.0,103.0,130.0,47.0,43.0,130.0,41.0,100.0,42.0,53.0,148.0,35.0,35.0
SP_ROC,0.08411214953271028,0.08304714222663578,0.060240963855421686,0.04633480924907196,0.11339955796274258,0.11354166666666667,0.05263157894736842,0.046511627906976744,0.05808080808080808,0.05221932114882506,0.07894021739130436,0.06168321186227695,0.07198710983571541,0.0728476821192053,0.07263922518159806,0.07642987249544628,0.1618346166722464,0.07720588235294118,0.09332754221184647,0.07703281027104136,0.07144773916543673,0.047058823529411764,0.04982108450316543,0.1005317154184078,0.0728476821192053,0.06872097599370328,0.057522935779816514,0.08333333333333333,0.06974903474903475,0.08256880733944955,0.07659665404811332,0.05045871559633028,0.07905194436559751,0.07539682539682539
DS_Mag_50,360.0,483.0,420.0,495.0,350.0,297.5,577.0,488.0,768.0,364.0,nan,400.0,700.0,608.0,891.5,530.0,307.0,654.0,620.0,940.0,730.0,467.0,543.0,202.0,976.5,1050.0,720.0,1130.0,1080.0,1160.0,1330.0,700.0,1090.0,1170.0
DS_Mag_90,680.0,1075.0000000000005,620.0,1070.0,495.0,482.0,1480.0,813.9000000000001,1641.000000000001,550.0,nan,569.6,1100.0,2264.0,1477.0000000000002,943.2000000000002,523.9000000000001,855.6000000000001,1193.0,1287.9999999999998,970.0,612.8,768.0000000000002,1196.0,1340.0,1380.0,1528.0,1580.0,1450.0,1580.0,1670.0,1116.0,1660.0,1873.0
DS_Tim,336.0,319.0,321.0,347.0,330.0,379.0,347.0,330.0,326.0,338.0,325.0,313.0,323.0,330.0,324.0,315.0,275.0,339.0,303.0,335.0,302.0,361.0,362.0,352.0,317.0,303.0,353.0,311.0,330.0,310.0,326.0,355.0,294.0,315.0
DS_Dur_WS,114.0,80.0,136.0,222.0,206.0,76.0,176.0,120.0,208.0,157.0,nan,217.0,179.0,225.0,202.0,217.0,202.0,179.0,180.0,185.0,206.0,127.0,158.0,125.0,184.0,101.0,163.0,168.0,143.0,167.0,54.0,115.0,181.0,160.0
