Year,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
FA_Mag,11399.974628173426,15899.706823768554,834.9982978276508,4999.921915190353,4979.959364063975,3499.938164437936,1110.000812579982,674.9954015546119,2459.8103694246015,9999.721642276396,879.9886746166309,1009.9719967604096,964.9851460631636,877.9959854203398,417.023881083419,829.9988917493747,859.9961319427372,784.9874864853928,544.9949786431514,3889.92888089927,889.9913588953237,449.9949296770807,999.9935010055962,859.9925068960979,11399.845861532309,919.9860016084414,nan,1629.8765777354713,503.9948395294414,nan,1499.9807308811403,449.9652375001794,611.9958060067307,nan,408.0109458000473,929.001694504929,458.9968543043955
FA_Tim,44.0,10.0,60.0,34.0,67.0,14.0,19.0,11.0,40.0,36.0,32.0,19.0,39.0,6.0,36.0,2.0,1.0,6.0,25.0,37.0,6.0,5.0,43.0,10.0,40.0,44.0,nan,46.0,23.0,nan,30.0,34.0,14.0,nan,2.0,31.0,6.0
FA_Dur,4.0,7.0,2.0,10.0,9.0,5.0,7.0,3.0,5.0,5.0,7.0,4.0,5.0,2.0,4.0,2.0,6.0,5.0,2.0,5.0,4.0,2.0,6.0,3.0,5.0,3.0,nan,4.0,3.0,nan,5.0,2.0,5.0,nan,8.0,7.0,2.0
Wet_BFL_Mag_10,1901.0,1380.0,600.0,560.0,1670.0,565.0,810.0,1788.0000000000002,940.0,1560.0,855.0000000000001,865.0,1154.0000000000002,1520.0,438.0,601.0,482.0,3050.0,940.0,1350.0,480.0,960.0,375.0,881.0,1480.0,482.0,149.60000000000002,220.0,1304.0,752.6,404.0,911.0,1140.0,654.7,814.3000000000001,766.0,330.0
Wet_BFL_Mag_50,10800.0,5135.0,7675.0,5675.0,3100.0,4200.0,4800.0,7900.0,2180.0,4700.0,5190.0,5450.0,7960.0,4800.0,3025.0,3925.0,2250.0,5600.0,6150.0,2500.0,825.0,3520.0,3130.0,5750.0,2960.0,1185.0,3070.0,805.0,3450.0,2420.0,1430.0,2140.0,4790.0,3940.0,6540.0,2030.0,3890.0
Wet_Tim,116.0,70.0,84.0,54.0,74.0,77.0,22.0,88.0,141.0,152.0,65.0,88.0,74.0,111.0,109.0,93.0,133.0,26.0,115.0,52.0,97.0,58.0,102.0,32.0,147.0,64.0,49.0,79.0,65.0,143.0,52.0,72.0,78.0,105.0,32.0,142.0,75.0
Wet_BFL_Dur,122.0,142.0,166.0,120.0,161.0,34.0,182.0,169.0,101.0,85.0,164.0,141.0,148.0,138.0,98.0,128.0,71.0,227.0,133.0,180.0,105.0,173.0,94.0,198.0,36.0,198.0,159.0,96.0,187.0,113.0,131.0,128.0,176.0,124.0,218.0,47.0,111.0
Peak_2,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0
Peak_5,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0
Peak_10,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999
Peak_Dur_2,10.0,nan,8.0,10.0,nan,9.0,2.0,2.0,nan,nan,4.0,4.0,1.0,1.0,nan,2.0,nan,nan,nan,1.0,nan,2.0,nan,2.0,5.0,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,2.0,nan,7.0
Peak_Dur_5,3.0,nan,1.0,5.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,3.0
Peak_Dur_10,nan,nan,nan,3.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_Fre_2,5.0,nan,5.0,2.0,nan,4.0,2.0,1.0,nan,nan,2.0,1.0,1.0,1.0,nan,1.0,nan,nan,nan,1.0,nan,1.0,nan,2.0,1.0,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,1.0,nan,3.0
Peak_Fre_5,3.0,nan,1.0,2.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0
Peak_Fre_10,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan
SP_Mag,14800.0,8800.0,25600.0,60000.0,8000.0,71000.0,9890.0,13700.0,7420.0,8620.0,11600.0,18600.0,15300.0,9420.0,6340.0,10200.0,6570.0,7780.0,17400.0,10700.0,1580.0,6820.0,8980.0,14100.0,27000.0,4700.0,5360.0,2740.0,6800.0,4500.0,12200.0,16400.0,12300.0,10300.0,13200.0,3920.0,43300.0
SP_Tim,238.0,212.0,250.0,174.0,235.0,111.0,204.0,257.0,242.0,237.0,229.0,229.0,222.0,249.0,207.0,221.0,204.0,253.0,248.0,232.0,202.0,231.0,196.0,230.0,183.0,262.0,208.0,175.0,252.0,256.0,183.0,200.0,254.0,229.0,250.0,189.0,186.0
SP_Dur,58.0,90.0,63.0,139.0,75.0,179.0,84.0,54.0,59.0,49.0,83.0,63.0,88.0,55.0,81.0,55.0,96.0,59.0,62.0,77.0,56.0,47.0,76.0,70.0,99.0,31.0,78.0,105.0,53.0,43.0,60.0,103.0,42.0,72.0,64.0,85.0,84.0
