Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
FA_Mag,nan,nan,6.7730987972672025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.537505914599269,8.944520495293208,1.2983409617482407,nan,nan,nan,nan,3.984890809887632,nan,nan,nan,nan,nan,nan,1.3212419227821592,nan,nan,nan,4.506510378686954,nan,nan,nan,nan,nan,nan,6.974958853230322,nan,nan,25.701911873328026,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,46.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,61.0,64.0,57.0,nan,nan,nan,nan,9.0,nan,nan,nan,nan,nan,nan,44.0,nan,nan,nan,68.0,nan,nan,nan,nan,nan,nan,26.0,nan,nan,61.0,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,28.0,10.0,nan,nan,nan,nan,8.0,nan,nan,nan,nan,nan,nan,9.0,nan,nan,nan,22.0,nan,nan,nan,nan,nan,nan,9.0,nan,nan,20.0,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,nan,0.09999999999999964,0.5,nan,nan,nan,nan,1.5,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.4,0.0,nan,nan,0.2,nan,nan,nan,nan,0.25600000000000017,1.2,2.18,3.3,1.7,2.94,5.7,1.6,0.51,nan,nan,nan,nan,nan,nan,1.1219999999999999,0.0,4.51,0.359,0.24800000000000003,1.3,0.0,nan,nan,nan,nan,nan,7.897,0.0,nan,0.0,nan,0.0,0.0,nan,nan,0.03,0.0,0.0
Wet_BFL_Mag_50,nan,4.4,3.2,nan,nan,nan,nan,24.0,nan,nan,nan,nan,nan,nan,nan,3.35,0.0,0.0,11.0,0.02,nan,nan,2.7,nan,nan,nan,nan,20.0,19.5,42.5,5.6,6.4,14.0,6.8,3.5,2.4,nan,nan,nan,nan,nan,nan,59.0,0.25,14.0,1.4,1.5,27.0,0.0,nan,nan,nan,nan,nan,22.5,0.0,nan,2.72,nan,9.17,3.99,nan,nan,0.065,0.11,0.0
Wet_Tim,nan,80.0,64.0,nan,nan,nan,nan,153.0,nan,nan,nan,nan,nan,nan,nan,40.0,54.0,66.0,106.0,139.0,nan,nan,119.0,nan,nan,nan,nan,84.0,69.0,116.0,113.0,87.0,56.0,37.0,41.0,49.0,nan,nan,nan,nan,nan,nan,89.0,108.0,87.0,9.0,84.0,118.0,32.0,nan,nan,nan,nan,nan,83.0,9.0,nan,89.0,nan,100.0,70.0,nan,nan,129.0,55.0,85.0
Wet_BFL_Dur,nan,92.0,31.0,nan,nan,nan,nan,36.0,nan,nan,nan,nan,nan,nan,nan,54.0,17.0,18.0,47.0,18.0,nan,nan,57.0,nan,nan,nan,nan,75.0,116.0,32.0,46.0,99.0,103.0,55.0,62.0,121.0,nan,nan,nan,nan,nan,nan,58.0,211.0,78.0,160.0,37.0,32.0,256.0,nan,nan,nan,nan,nan,68.0,12.0,nan,41.0,nan,19.0,82.0,nan,nan,26.0,101.0,18.0
Peak_2,nan,43.5,43.5,nan,nan,nan,nan,43.5,nan,nan,nan,nan,nan,nan,nan,43.5,43.5,43.5,43.5,43.5,nan,nan,43.5,nan,nan,nan,nan,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,nan,nan,nan,nan,nan,43.5,43.5,43.5,43.5,43.5,43.5,43.5,nan,nan,nan,nan,nan,43.5,43.5,nan,43.5,nan,43.5,43.5,nan,nan,43.5,43.5,43.5
Peak_5,nan,350.0,350.0,nan,nan,nan,nan,350.0,nan,nan,nan,nan,nan,nan,nan,350.0,350.0,350.0,350.0,350.0,nan,nan,350.0,nan,nan,nan,nan,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,nan,nan,nan,nan,nan,350.0,350.0,350.0,350.0,350.0,350.0,350.0,nan,nan,nan,nan,nan,350.0,350.0,nan,350.0,nan,350.0,350.0,nan,nan,350.0,350.0,350.0
Peak_10,nan,598.0,598.0,nan,nan,nan,nan,598.0,nan,nan,nan,nan,nan,nan,nan,598.0,598.0,598.0,598.0,598.0,nan,nan,598.0,nan,nan,nan,nan,598.0,598.0,598.0,598.0,598.0,598.0,598.0,598.0,598.0,598.0,nan,nan,nan,nan,nan,598.0,598.0,598.0,598.0,598.0,598.0,598.0,nan,nan,nan,nan,nan,598.0,598.0,nan,598.0,nan,598.0,598.0,nan,nan,598.0,598.0,598.0
