Year,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.574312372630402,nan,2.454924150595792,nan,nan,nan,nan,nan,nan,9.958100646318952,4.122188820748429,nan,2.679673757147949,nan,nan,nan,nan,nan,1.5968024555555511,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.7196619426564128,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.0,nan,21.0,nan,nan,nan,nan,nan,nan,4.0,53.0,nan,48.0,nan,nan,nan,nan,nan,23.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0,nan,11.0,nan,nan,nan,nan,nan,nan,5.0,6.0,nan,15.0,nan,nan,nan,nan,nan,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,nan,nan,nan,0.0,0.0,0.0,0.0,0.21,0.0,nan,0.0,nan,nan,0.0,0.01,1.06,0.5160000000000001,1.2,nan,0.53,1.61,nan,1.4,0.14200000000000002,0.28,0.28,0.02,nan,0.0,0.22000000000000003,0.53,0.79,2.5300000000000002,nan,0.0,0.42300000000000004,nan,nan,0.0,nan,0.0,nan,0.479,nan,nan,0.09,0.03,0.0,0.0,0.0,nan,nan,nan,nan
Wet_BFL_Mag_50,nan,nan,nan,0.0,0.0,0.4,1.3,0.24,0.04,nan,0.48,nan,nan,0.3,0.01,3.4,5.4,28.0,nan,1.0,6.699999999999999,nan,5.3,0.78,0.4,0.6,0.16,nan,0.0,3.3499999999999996,21.0,0.87,5.75,nan,0.02,4.7,nan,nan,0.0,nan,0.08,nan,10.2,nan,nan,0.09,0.09,5.97,0.0,0.15,nan,nan,nan,nan
Wet_Tim,nan,nan,nan,40.0,54.0,64.0,105.0,137.0,41.0,nan,106.0,nan,nan,126.0,306.0,92.0,48.0,114.0,nan,104.0,56.0,nan,63.0,43.0,85.0,28.0,69.0,nan,138.0,118.0,84.0,31.0,91.0,nan,72.0,114.0,nan,125.0,96.0,nan,131.0,nan,79.0,7.0,nan,105.0,107.0,102.0,69.0,83.0,118.0,nan,nan,nan
Wet_BFL_Dur,nan,nan,nan,17.0,18.0,100.0,47.0,19.0,257.0,nan,61.0,nan,nan,219.0,18.0,67.0,250.0,33.0,nan,76.0,102.0,nan,29.0,99.0,76.0,101.0,88.0,nan,17.0,70.0,61.0,143.0,74.0,nan,226.0,94.0,nan,nan,65.0,nan,211.0,nan,70.0,nan,nan,18.0,43.0,31.0,18.0,120.0,nan,nan,nan,nan
Peak_2,nan,nan,nan,24.5,24.5,24.5,24.5,24.5,24.5,nan,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,nan,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,nan,24.5,nan,24.5,24.5,nan,24.5,24.5,24.5,24.5,24.5,24.5,nan,nan,24.5
Peak_5,nan,nan,nan,321.6,321.6,321.6,321.6,321.6,321.6,nan,321.6,321.6,321.6,321.6,321.6,321.6,321.6,321.6,321.6,321.6,321.6,321.6,321.6,321.6,321.6,321.6,321.6,nan,321.6,321.6,321.6,321.6,321.6,321.6,321.6,321.6,321.6,321.6,321.6,nan,321.6,nan,321.6,321.6,nan,321.6,321.6,321.6,321.6,321.6,321.6,nan,nan,321.6
Peak_10,nan,nan,nan,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,nan,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,nan,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,nan,407.70000000000005,nan,407.70000000000005,407.70000000000005,nan,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,407.70000000000005,nan,nan,407.70000000000005
