Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
FA_Mag,2.738233909111389,4.137490149051052,nan,155.98557562227688,22.991309258019644,1.8485970378908074,3.003406137990764,9.361392258544072,15.134697208809724,nan,nan,181.99520289445925,nan,nan,28.018918072668665,nan,773.9767448665181,nan,nan,nan,nan,6.4779512611085535,225.99426033653208,70.99650957095685,8.700644596417579,5.402104763326559,43.9991737238835,nan,79.99497043862134,nan,56.98660277919564
FA_Tim,43.0,24.0,nan,44.0,42.0,7.0,10.0,20.0,43.0,nan,nan,50.0,nan,nan,39.0,nan,37.0,nan,nan,nan,nan,24.0,44.0,48.0,7.0,55.0,0.0,nan,52.0,nan,64.0
FA_Dur,1.0,2.0,nan,4.0,5.0,1.0,8.0,2.0,7.0,nan,nan,2.0,nan,nan,4.0,nan,7.0,nan,nan,nan,nan,3.0,4.0,2.0,3.0,7.0,6.0,nan,4.0,nan,8.0
Wet_BFL_Mag_10,0.52,26.200000000000003,26.0,14.5,7.03,7.48,3.72,69.4,9.2,1.05,1.4,25.6,2.1,0.6600000000000001,3.2,0.2,44.300000000000004,30.0,16.400000000000002,26.0,1.7600000000000002,3.7,29.90000000000001,18.0,15.4,2.8,2.0,80.4,110.10000000000001,66.0,18.300000000000004
Wet_BFL_Mag_50,3.1,185.0,40.0,44.0,25.0,15.0,27.0,375.0,19.5,43.0,17.0,37.0,22.0,6.7,16.0,174.0,122.0,39.0,1150.0,56.0,11.5,5.0,107.5,263.0,27.0,44.5,13.5,460.0,221.5,112.0,55.0
Wet_Tim,95.0,85.0,41.0,98.0,93.0,79.0,91.0,113.0,91.0,92.0,26.0,119.0,118.0,32.0,71.0,37.0,45.0,39.0,102.0,127.0,45.0,72.0,103.0,86.0,58.0,119.0,86.0,83.0,92.0,116.0,112.0
Wet_BFL_Dur,63.0,95.0,54.0,86.0,130.0,43.0,64.0,75.0,52.0,36.0,100.0,19.0,19.0,157.0,133.0,57.0,162.0,129.0,49.0,29.0,20.0,19.0,34.0,28.0,105.0,18.0,144.0,75.0,92.0,31.0,62.0
Peak_2,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0,2940.0
Peak_5,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0,10400.0
Peak_10,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0,18500.0
