Year,1968,1969,1970,1971,1972,1973
FA_Mag,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,nan,0.312,0.196,nan,nan,0.13
Wet_BFL_Mag_50,nan,10.0,0.64,nan,nan,2.0
Wet_Tim,nan,102.0,81.0,nan,nan,97.0
Wet_BFL_Dur,nan,53.0,80.0,nan,nan,85.0
Peak_2,7.375,7.375,7.375,7.375,7.375,7.375
Peak_5,31.0,31.0,31.0,31.0,31.0,31.0
Peak_10,53.0,53.0,53.0,53.0,53.0,53.0
Peak_Dur_2,nan,66.0,2.0,nan,nan,3.0
Peak_Dur_5,nan,5.0,1.0,nan,nan,nan
Peak_Dur_10,nan,1.0,nan,nan,nan,nan
Peak_Fre_2,nan,4.0,1.0,nan,nan,2.0
Peak_Fre_5,nan,3.0,1.0,nan,nan,nan
Peak_Fre_10,nan,1.0,nan,nan,nan,nan
SP_Mag,nan,22.0,2.1,nan,nan,6.2
SP_Tim,nan,155.0,161.0,nan,nan,182.0
SP_Dur,nan,150.0,166.0,nan,nan,100.0
SP_ROC,nan,0.0638370118845501,0.125,nan,nan,0.07894736842105259
DS_Mag_50,nan,0.065,nan,nan,nan,0.0
DS_Mag_90,nan,0.2,nan,nan,nan,0.02
DS_Tim,nan,305.0,327.0,nan,nan,282.0
DS_Dur_WS,nan,142.0,nan,nan,nan,181.0
