Year,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
FA_Mag,575.9800031694875,854.9956328486807,454.99238699340225,625.9649880650708,1069.962369632792,425.9973539811422,391.98502363232143,919.9896424768951,293.8622936285592,161.99604071970944,466.9793896699847,1159.9836284774165,395.96906258106503,433.99621954694123,870.9917441963765,525.997164581622,418.987230504615,234.99997798273324,nan
FA_Tim,11.0,15.0,23.0,42.0,10.0,7.0,27.0,10.0,44.0,35.0,50.0,19.0,38.0,10.0,22.0,1.0,10.0,23.0,nan
FA_Dur,6.0,4.0,8.0,2.0,5.0,3.0,8.0,2.0,6.0,1.0,4.0,2.0,3.0,2.0,3.0,6.0,2.0,2.0,nan
Wet_BFL_Mag_10,915.9,708.5,705.2,502.8,890.8,978.1000000000001,906.8,284.0,147.3,1056.0,789.5999999999999,505.0,491.0,831.4,805.0,974.0,392.0,630.2,nan
Wet_BFL_Mag_50,2295.0,2310.0,1680.0,1520.0,1700.0,2095.0,1730.0,446.0,258.5,2360.0,1780.0,1400.0,1210.0,2170.0,2490.0,1790.0,664.0,1350.0,nan
Wet_Tim,93.0,73.0,31.0,103.0,71.0,18.0,117.0,20.0,127.0,69.0,130.0,78.0,109.0,23.0,44.0,26.0,28.0,87.0,nan
Wet_BFL_Dur,140.0,44.0,227.0,89.0,159.0,224.0,135.0,206.0,104.0,184.0,104.0,71.0,106.0,190.0,202.0,211.0,189.0,59.0,nan
Peak_2,8740.0,8740.0,8740.0,8740.0,8740.0,8740.0,8740.0,8740.0,8740.0,8740.0,8740.0,8740.0,8740.0,8740.0,8740.0,8740.0,8740.0,8740.0,nan
Peak_5,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,nan
Peak_10,30339.99999999999,30339.99999999999,30339.99999999999,30339.99999999999,30339.99999999999,30339.99999999999,30339.99999999999,30339.99999999999,30339.99999999999,30339.99999999999,30339.99999999999,30339.99999999999,30339.99999999999,30339.99999999999,30339.99999999999,30339.99999999999,30339.99999999999,30339.99999999999,nan
Peak_Dur_2,4.0,11.0,1.0,nan,1.0,9.0,nan,nan,nan,nan,nan,7.0,nan,10.0,3.0,4.0,nan,9.0,nan
Peak_Dur_5,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,3.0,nan,nan,nan,3.0,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,2.0,nan
Peak_Fre_2,2.0,5.0,1.0,nan,1.0,3.0,nan,nan,nan,nan,nan,2.0,nan,4.0,2.0,2.0,nan,2.0,nan
Peak_Fre_5,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,2.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan
SP_Mag,5500.0,24000.0,3390.0,4180.0,4340.0,4080.0,5010.0,1210.0,507.0,3450.0,3960.0,4730.0,2190.0,4290.0,7180.0,2560.0,2230.0,10000.0,nan
SP_Tim,233.0,117.0,258.0,192.0,230.0,242.0,252.0,226.0,231.0,253.0,234.0,149.0,215.0,213.0,246.0,237.0,217.0,146.0,nan
SP_Dur,72.0,162.0,63.0,121.0,74.0,62.0,61.0,112.0,86.0,63.0,73.0,151.0,87.0,90.0,87.0,53.0,72.0,127.0,nan
SP_ROC,0.04060728004389976,0.04870038207449512,0.04435483870967742,0.03015075376884422,0.033846153846153845,0.0446927374301676,0.035398230088495575,0.03330130100532229,0.03015151515151515,0.036036036036036036,0.031746031746031744,0.043052837573385516,0.025925925925925925,0.042007001166861145,0.04044943820224719,0.03886047788275404,0.03464644260148407,0.046536796536796536,nan
DS_Mag_50,222.5,170.5,246.5,209.0,187.5,231.0,285.0,118.0,88.5,202.0,200.0,223.0,135.0,285.0,308.0,223.0,161.0,nan,nan
DS_Mag_90,316.8,257.79999999999995,421.20000000000005,631.9000000000001,239.80000000000007,356.80000000000007,370.79999999999995,147.2,148.0,376.59999999999997,476.40000000000003,332.6,174.8,541.4000000000003,401.8,316.8,401.2000000000003,nan,nan
DS_Tim,305.0,279.0,321.0,313.0,304.0,304.0,313.0,338.0,317.0,316.0,307.0,300.0,302.0,303.0,333.0,290.0,289.0,273.0,nan
DS_Dur_WS,134.0,118.0,148.0,124.0,80.0,179.0,73.0,155.0,118.0,180.0,137.0,175.0,87.0,107.0,59.0,104.0,164.0,nan,nan
