Year,1952,1953,1954,1955,1956,1957,1958,1959,1960
FA_Mag,868.9368283031918,513.9681638835476,615.9766567841384,515.9627446385716,nan,522.0062844780053,375.9983139734097,424.9850350702136,174.99480230208357
FA_Tim,24.0,44.0,44.0,46.0,nan,27.0,13.0,45.0,10.0
FA_Dur,2.0,3.0,6.0,2.0,nan,2.0,3.0,3.0,5.0
Wet_BFL_Mag_10,1004.0,549.0,758.0,522.0,1220.0,1030.0,1158.0,200.0,361.0
Wet_BFL_Mag_50,2940.0,1470.0,1805.0,1230.0,2210.0,1720.0,3110.0,885.0,1330.0
Wet_Tim,77.0,76.0,130.0,134.0,59.0,127.0,113.0,72.0,109.0
Wet_BFL_Dur,167.0,189.0,94.0,121.0,181.0,121.0,125.0,156.0,119.0
Peak_2,7540.0,7540.0,7540.0,7540.0,7540.0,7540.0,7540.0,7540.0,7540.0
Peak_5,9754.000000000002,9754.000000000002,9754.000000000002,9754.000000000002,9754.000000000002,9754.000000000002,9754.000000000002,9754.000000000002,9754.000000000002
Peak_10,21920.000000000007,21920.000000000007,21920.000000000007,21920.000000000007,21920.000000000007,21920.000000000007,21920.000000000007,21920.000000000007,21920.000000000007
Peak_Dur_2,1.0,nan,1.0,nan,9.0,1.0,4.0,nan,nan
Peak_Dur_5,nan,nan,nan,nan,6.0,nan,2.0,nan,nan
Peak_Dur_10,nan,nan,nan,nan,3.0,nan,nan,nan,nan
Peak_Fre_2,1.0,nan,1.0,nan,3.0,1.0,3.0,nan,nan
Peak_Fre_5,nan,nan,nan,nan,3.0,nan,2.0,nan,nan
Peak_Fre_10,nan,nan,nan,nan,1.0,nan,nan,nan,nan
SP_Mag,7540.0,4520.0,3460.0,2550.0,6110.0,3800.0,7810.0,1610.0,2090.0
SP_Tim,244.0,265.0,224.0,255.0,240.0,248.0,238.0,228.0,228.0
SP_Dur,57.0,47.0,67.0,42.0,52.0,52.0,78.0,65.0,66.0
SP_ROC,0.05625,0.059667857589335654,0.06702412868632708,0.05148936170212766,0.06306306306306306,0.0639269406392694,0.06408173734610123,0.05985074626865672,0.059610337169392284
DS_Mag_50,246.0,251.0,184.0,155.0,284.0,231.0,254.0,110.0,128.0
DS_Mag_90,483.0,410.0,539.0,185.2,461.0,560.0000000000009,307.0,173.0,158.0
DS_Tim,301.0,312.0,291.0,297.0,292.0,300.0,316.0,293.0,294.0
DS_Dur_WS,141.0,184.0,209.0,128.0,201.0,179.0,122.0,182.0,181.0
