Year,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,nan,303.98710890159424,197.99145167409625,nan,nan,8.984556307330031,9.797791774505228,nan,nan,nan,7.676589089364409,48.982390566746986,83.99315791718232,nan,302.9792133719438,nan,665.9858469708063,261.99384948569724,nan,66.99591611227955,5.309054946205563,nan,303.9908963624464,nan,70.89634764328633,619.9909403516856,nan,76.40022189395438,37.79771858082386,2.821166402570651,319.95019324572564,96.49468390094253,nan,nan,117.9893172374382
FA_Tim,nan,28.0,29.0,nan,nan,21.0,5.0,nan,nan,nan,30.0,48.0,32.0,nan,55.0,nan,49.0,47.0,nan,41.0,29.0,nan,40.0,nan,25.0,37.0,nan,19.0,34.0,13.0,23.0,54.0,nan,nan,25.0
FA_Dur,nan,8.0,2.0,nan,nan,7.0,7.0,nan,nan,nan,3.0,16.0,5.0,nan,2.0,nan,3.0,7.0,nan,2.0,5.0,nan,2.0,nan,2.0,2.0,nan,2.0,7.0,5.0,8.0,3.0,nan,nan,5.0
Wet_BFL_Mag_10,29.400000000000002,200.70000000000002,125.60000000000001,163.0,12.8,99.5,37.0,0.56,51.0,10.0,4.82,31.0,272.3,29.400000000000002,133.0,93.4,178.90000000000003,179.0,46.7,239.80000000000015,20.6,204.0,4.364,207.0,30.28,59.940000000000005,29.0,41.0,20.779999999999998,72.55,97.28,39.010000000000005,38.07000000000001,7.475,50.790000000000006
Wet_BFL_Mag_50,184.0,412.5,647.5,679.0,481.0,578.5,235.0,362.0,245.5,53.0,37.0,92.0,485.5,120.0,448.0,462.0,1050.0,916.0,345.0,680.0,77.0,661.0,947.0,531.0,231.0,428.5,172.0,370.0,100.7,335.5,481.0,124.0,506.5,161.5,169.5
Wet_Tim,55.0,37.0,43.0,33.0,27.0,97.0,76.0,53.0,38.0,18.0,118.0,75.0,60.0,64.0,83.0,61.0,58.0,90.0,44.0,96.0,70.0,47.0,65.0,56.0,54.0,53.0,40.0,60.0,77.0,69.0,49.0,105.0,45.0,117.0,47.0
Wet_BFL_Dur,125.0,162.0,124.0,56.0,35.0,46.0,91.0,57.0,134.0,228.0,49.0,129.0,112.0,89.0,91.0,85.0,38.0,31.0,110.0,57.0,89.0,54.0,27.0,96.0,179.0,42.0,121.0,91.0,80.0,144.0,137.0,80.0,40.0,66.0,88.0
Peak_2,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0
Peak_5,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0,6320.0
Peak_10,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0,8058.0
