Year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
FA_Mag,73.00363370162411,49.99254314343396,51.96632239553067,nan,nan,nan,284.99901273987064,nan,164.8555803336986,96.9985788293531
FA_Tim,8.0,7.0,10.0,nan,nan,nan,42.0,nan,2.0,11.0
FA_Dur,4.0,5.0,5.0,nan,nan,nan,2.0,nan,1.0,7.0
Wet_BFL_Mag_10,279.6,134.79999999999998,188.6,138.4,237.0,260.0,336.0,193.0,183.0,404.7
Wet_BFL_Mag_50,462.0,642.5,400.0,442.0,563.0,744.0,557.5,507.0,580.0,855.0
Wet_Tim,109.0,48.0,49.0,4.0,31.0,51.0,82.0,39.0,78.0,55.0
Wet_BFL_Dur,135.0,140.0,144.0,217.0,96.0,37.0,106.0,193.0,71.0,170.0
Peak_2,5380.0,5380.0,5380.0,5380.0,5380.0,5380.0,5380.0,5380.0,5380.0,5380.0
Peak_5,6192.0,6192.0,6192.0,6192.0,6192.0,6192.0,6192.0,6192.0,6192.0,6192.0
Peak_10,10475.999999999985,10475.999999999985,10475.999999999985,10475.999999999985,10475.999999999985,10475.999999999985,10475.999999999985,10475.999999999985,10475.999999999985,10475.999999999985
Peak_Dur_2,1.0,nan,nan,1.0,nan,7.0,nan,nan,2.0,1.0
Peak_Dur_5,nan,nan,nan,nan,nan,5.0,nan,nan,1.0,nan
Peak_Dur_10,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan
Peak_Fre_2,1.0,nan,nan,1.0,nan,2.0,nan,nan,1.0,1.0
Peak_Fre_5,nan,nan,nan,nan,nan,1.0,nan,nan,1.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
SP_Mag,1540.0,1820.0,1270.0,1630.0,2360.0,8000.0,1460.0,1150.0,6640.0,1450.0
SP_Tim,244.0,188.0,193.0,221.0,127.0,88.0,188.0,232.0,149.0,225.0
SP_Dur,57.0,111.0,103.0,73.0,169.0,171.0,106.0,71.0,111.0,69.0
SP_ROC,0.048133848133848134,0.04281345565749235,0.041666666666666664,0.04451521585279547,0.05099546475825913,0.03704021263825774,0.04315666240953597,0.0437799043062201,0.041824540950160305,0.04424522845575477
DS_Mag_50,32.0,33.5,37.5,44.0,31.0,60.0,32.0,46.0,43.0,36.0
DS_Mag_90,46.0,52.5,57.400000000000006,92.19999999999999,57.0,170.60000000000005,47.0,111.0,103.0,165.60000000000014
DS_Tim,301.0,299.0,296.0,294.0,296.0,259.0,294.0,303.0,260.0,294.0
DS_Dur_WS,113.0,116.0,74.0,103.0,121.0,189.0,111.0,141.0,161.0,127.0
