Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994
FA_Mag,410.46972751509736,38.999830595486074,nan,64.99712318237103,nan,nan,46.078370684362,3739.9302790660963,33.99058567428473,16.06230930759562,29.986964415397587,21.99877968530774,nan,271.9934028437833,325.9914537445577,nan,nan,29.999559122102667,124.99651910917495,149.9779462878245,644.9913811193022,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,195.9517440067866,102.99457228482812,nan
FA_Tim,34.0,2.0,nan,18.0,nan,nan,26.0,8.0,41.0,9.0,6.0,11.0,nan,14.0,28.0,nan,nan,2.0,11.0,15.0,35.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.0,29.0,nan
FA_Dur,4.0,6.0,nan,2.0,nan,nan,10.0,6.0,4.0,8.0,3.0,3.0,nan,5.0,10.0,nan,nan,1.0,4.0,3.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0,2.0,nan
Wet_BFL_Mag_10,92.0,233.0,84.0,183.0,54.0,101.20000000000002,91.60000000000001,276.0,18.400000000000006,93.20000000000002,83.19999999999999,7.6,30.0,85.0,118.60000000000001,72.0,92.40000000000002,52.0,184.0,223.2,75.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.800000000000004,102.0,nan
Wet_BFL_Mag_50,422.0,736.0,226.0,503.0,154.0,1040.0,273.0,1610.0,264.0,249.0,289.0,164.0,137.0,153.0,310.0,312.0,499.0,298.0,790.0,1020.0,480.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,146.0,343.5,nan
Wet_Tim,49.0,47.0,56.0,91.0,34.0,59.0,97.0,98.0,83.0,96.0,49.0,48.0,5.0,30.0,69.0,35.0,39.0,55.0,65.0,67.0,49.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,75.0,59.0,nan
Wet_BFL_Dur,171.0,126.0,157.0,121.0,172.0,89.0,137.0,89.0,59.0,117.0,122.0,111.0,194.0,86.0,132.0,162.0,170.0,116.0,125.0,77.0,131.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,125.0,192.0,nan
Peak_2,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0,12400.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12400.0,12400.0,nan
Peak_5,17180.0,17180.0,17180.0,17180.0,17180.0,17180.0,17180.0,17180.0,17180.0,17180.0,17180.0,17180.0,17180.0,17180.0,17180.0,17180.0,17180.0,17180.0,17180.0,17180.0,17180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17180.0,17180.0,nan
Peak_10,18860.0,18860.0,18860.0,18860.0,18860.0,18860.0,18860.0,18860.0,18860.0,18860.0,18860.0,18860.0,18860.0,18860.0,18860.0,18860.0,18860.0,18860.0,18860.0,18860.0,18860.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18860.0,18860.0,nan
Peak_Dur_2,1.0,1.0,nan,2.0,nan,2.0,nan,1.0,nan,1.0,nan,1.0,1.0,nan,1.0,nan,1.0,nan,2.0,3.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Dur_5,nan,nan,nan,2.0,nan,2.0,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,1.0,1.0,nan,1.0,nan,2.0,nan,1.0,nan,1.0,nan,1.0,1.0,nan,1.0,nan,1.0,nan,1.0,3.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,555.0,2280.0,1430.0,931.0,6930.0,12300.0,2590.0,7470.0,11300.0,295.0,4610.0,4700.0,4510.0,4520.0,2740.0,550.0,1230.0,2720.0,846.0,1450.0,7280.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,332.0,554.0,nan
