Year,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,9.742945293879442,5.72852391630194,5.3034803951496965,nan,17.968501285645225,5.109067711351755,nan,5.024339941640292,nan,3.931651592592662,2.2396301157090592,3.229178374140253,nan,2.8342366567778647,2.871823834524576,31.972005078645005,nan,nan,9.618386995464611,14.992760895484553,nan,nan,27.93450229332366,7.529158331138562,6.9234957921569205,9.23555587710541,nan,5.499808638238304,nan,103.94961713133326,9.305671843722624,nan,8.183273383223625,9.183813506177314,nan,14.524045552760734,7.10239808096549,13.991552205452688,50.19137019285046,9.204817399755786,40.05069274512272,5.128391332456658,12.794844861032185,81.91921023999106,7.87722702385928,3.0622156532701363,5.681865898708103,12.794399450130625
FA_Tim,44.0,11.0,15.0,nan,43.0,11.0,nan,27.0,nan,44.0,0.0,50.0,nan,11.0,6.0,28.0,nan,nan,21.0,29.0,nan,nan,22.0,30.0,25.0,31.0,nan,35.0,nan,49.0,7.0,nan,27.0,29.0,nan,38.0,39.0,18.0,37.0,44.0,18.0,3.0,13.0,23.0,4.0,23.0,50.0,24.0
FA_Dur,3.0,4.0,6.0,nan,6.0,7.0,nan,6.0,nan,5.0,7.0,9.0,nan,4.0,4.0,5.0,nan,nan,6.0,2.0,nan,nan,9.0,8.0,3.0,6.0,nan,7.0,nan,8.0,6.0,nan,10.0,3.0,nan,3.0,4.0,4.0,2.0,2.0,4.0,10.0,5.0,7.0,4.0,3.0,4.0,3.0
Wet_BFL_Mag_10,10.600000000000001,15.600000000000001,20.4,7.120000000000001,13.700000000000001,19.8,20.7,15.0,5.140000000000001,1.46,12.0,5.07,13.0,3.12,14.0,18.900000000000002,9.29,7.02,13.7,11.0,2.2,9.01,3.3600000000000003,2.7800000000000002,4.85,16.0,3.74,17.0,12.2,19.3,12.0,8.46,6.760000000000001,6.48,15.6,15.59,19.26,11.4,15.64,7.066999999999999,19.85,5.0920000000000005,14.66,11.440000000000001,12.3,5.01,3.017000000000004,8.776
Wet_BFL_Mag_50,38.0,53.0,46.0,46.0,26.0,47.0,68.5,42.0,12.0,2.3,41.0,24.0,36.0,23.0,60.0,79.5,31.5,18.0,68.5,33.5,59.0,23.0,18.0,22.0,13.0,39.0,10.5,56.0,40.0,65.0,39.0,42.0,72.0,14.0,33.6,48.3,51.4,33.5,71.0,19.6,43.599999999999994,17.0,37.5,38.65,33.75,12.8,20.9,22.1
Wet_Tim,55.0,62.0,67.0,31.0,52.0,66.0,16.0,84.0,21.0,87.0,47.0,95.0,13.0,57.0,38.0,43.0,26.0,29.0,97.0,76.0,50.0,37.0,89.0,120.0,79.0,61.0,54.0,86.0,65.0,58.0,60.0,44.0,95.0,96.0,38.0,65.0,56.0,60.0,52.0,66.0,74.0,74.0,88.0,48.0,104.0,43.0,122.0,47.0
Wet_BFL_Dur,117.0,147.0,95.0,165.0,148.0,119.0,168.0,127.0,178.0,157.0,164.0,128.0,181.0,123.0,161.0,170.0,194.0,157.0,68.0,92.0,61.0,142.0,157.0,59.0,126.0,187.0,158.0,131.0,173.0,64.0,186.0,154.0,59.0,63.0,141.0,150.0,97.0,204.0,149.0,142.0,78.0,147.0,164.0,132.0,96.0,151.0,64.0,88.0
Peak_2,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0
Peak_5,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2,625.2
Peak_10,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005,821.1000000000005
