Year,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,38.99219036277068,145.99625422245535,77.99965543864354,26.990888891893174,26.10324851975217,nan,42.98720385750355,1299.9937297866568,90.99963003773402,nan,17.000022742551643,nan,20.016249429956204,18.00011356813359,51.002701561189184,69.99269230693099,59.00075587345508,24.979013144443726,nan,39.97477092049863,nan,27.000376487072305,nan,227.99370468546826,170.99567541376203,16.987494504919173,52.999544048891906,23.988574450097875,nan,62.99240161667775,571.9816744598804,nan,nan,nan,55.982211542827045,19.995949833751666,122.95149459957666,247.98183506602697,nan,38.994227854188615,nan,198.99215878637168,56.99953480625109,36.997191023121054,31.001901894593345,18.2184062909113,nan,38.88721483646245,35.998103062505436,33.51214278609959,36.796830907963226,nan,1159.8014766840486,22.79455804954557,24.981722480574685,525.9325962611264,97.59815870643023,63.69212273684921,58.28690496083151,nan
FA_Tim,9.0,25.0,9.0,18.0,8.0,nan,10.0,8.0,14.0,nan,14.0,nan,21.0,11.0,7.0,20.0,0.0,11.0,nan,27.0,nan,41.0,nan,61.0,19.0,13.0,6.0,6.0,nan,10.0,22.0,nan,nan,nan,22.0,18.0,25.0,31.0,nan,27.0,nan,24.0,1.0,12.0,27.0,20.0,nan,38.0,39.0,19.0,14.0,nan,18.0,3.0,13.0,23.0,5.0,15.0,50.0,nan
FA_Dur,3.0,2.0,2.0,4.0,4.0,nan,7.0,3.0,6.0,nan,3.0,nan,4.0,2.0,2.0,3.0,3.0,7.0,nan,13.0,nan,5.0,nan,4.0,3.0,4.0,2.0,3.0,nan,7.0,4.0,nan,nan,nan,3.0,9.0,4.0,5.0,nan,4.0,nan,4.0,5.0,6.0,10.0,3.0,nan,4.0,5.0,5.0,2.0,nan,5.0,4.0,7.0,3.0,3.0,7.0,2.0,nan
Wet_BFL_Mag_10,70.4,44.0,46.0,44.0,60.0,40.8,36.400000000000006,nan,37.0,28.8,74.6,41.3,15.600000000000001,30.0,79.0,74.3,57.800000000000004,90.5,88.0,48.400000000000006,36.0,8.1,57.800000000000004,33.0,58.699999999999996,24.0,73.0,76.8,59.7,34.0,39.6,25.0,21.0,41.0,24.0,22.0,23.0,70.4,27.5,78.5,73.9,44.0,54.2,60.5,35.2,12.0,52.85,77.71000000000001,47.3,30.380000000000003,70.02000000000001,43.169999999999995,48.97,38.04,68.99,47.43000000000001,36.440000000000005,49.48,30.48,34.1
Wet_BFL_Mag_50,391.0,119.0,221.0,137.5,130.0,124.0,93.0,nan,111.0,132.0,171.0,129.0,99.0,123.0,153.0,212.5,182.0,195.0,297.5,170.0,119.0,25.0,156.0,82.0,163.0,66.0,326.5,297.0,184.0,75.0,133.0,104.0,50.0,120.0,79.5,70.0,47.0,193.0,54.0,200.0,186.0,151.0,180.5,223.0,90.0,36.0,158.5,230.0,164.5,87.15,263.0,145.0,128.0,114.5,154.5,178.5,156.0,86.2,83.15,80.1
Wet_Tim,45.0,61.0,37.0,78.0,95.0,37.0,38.0,nan,18.0,35.0,80.0,33.0,36.0,33.0,66.0,30.0,35.0,60.0,16.0,52.0,14.0,85.0,20.0,93.0,19.0,48.0,23.0,44.0,26.0,19.0,44.0,22.0,40.0,37.0,88.0,87.0,42.0,44.0,56.0,32.0,58.0,43.0,43.0,33.0,47.0,36.0,39.0,67.0,54.0,53.0,22.0,29.0,38.0,70.0,70.0,28.0,84.0,44.0,117.0,16.0
Wet_BFL_Dur,103.0,173.0,151.0,106.0,147.0,189.0,175.0,nan,201.0,169.0,117.0,194.0,144.0,209.0,95.0,174.0,145.0,126.0,170.0,158.0,183.0,157.0,210.0,129.0,188.0,192.0,176.0,179.0,228.0,188.0,177.0,146.0,209.0,201.0,154.0,146.0,161.0,203.0,196.0,196.0,180.0,165.0,192.0,186.0,213.0,237.0,176.0,144.0,154.0,212.0,179.0,178.0,172.0,150.0,180.0,174.0,115.0,149.0,108.0,177.0
Peak_2,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0,2325.0
Peak_5,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0,4050.0
Peak_10,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001,4655.000000000001
