Year,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
FA_Mag,11.98074541487409,53.98984626806448,252.9570500057116,nan,nan,78.99750051490867,16.043763692901678,nan,nan,24.994770427319956,10.975361946398836,nan
FA_Tim,13.0,6.0,28.0,nan,nan,22.0,0.0,nan,nan,23.0,30.0,nan
FA_Dur,4.0,2.0,5.0,nan,nan,5.0,4.0,nan,nan,8.0,6.0,nan
Wet_BFL_Mag_10,17.0,34.5,31.200000000000003,22.0,11.0,15.0,25.9,7.24,24.2,5.78,13.0,nan
Wet_BFL_Mag_50,59.0,121.0,126.0,80.0,40.0,51.5,58.0,24.0,97.0,44.0,39.0,nan
Wet_Tim,48.0,23.0,42.0,27.0,14.0,36.0,38.0,46.0,36.0,87.0,94.0,nan
Wet_BFL_Dur,133.0,176.0,182.0,227.0,172.0,186.0,130.0,203.0,173.0,159.0,140.0,nan
Peak_2,946.5,946.5,946.5,946.5,946.5,946.5,946.5,946.5,946.5,946.5,946.5,nan
Peak_5,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,1614.0,nan
Peak_10,1692.0,1692.0,1692.0,1692.0,1692.0,1692.0,1692.0,1692.0,1692.0,1692.0,1692.0,nan
Peak_Dur_2,nan,nan,2.0,1.0,nan,5.0,nan,1.0,2.0,2.0,nan,nan
Peak_Dur_5,nan,nan,1.0,nan,nan,1.0,nan,nan,1.0,nan,nan,nan
Peak_Dur_10,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_2,nan,nan,2.0,1.0,nan,2.0,nan,1.0,2.0,1.0,nan,nan
Peak_Fre_5,nan,nan,1.0,nan,nan,1.0,nan,nan,1.0,nan,nan,nan
Peak_Fre_10,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan
SP_Mag,352.0,912.0,102.0,103.0,245.0,208.0,404.0,234.0,43.0,467.0,56.0,nan
SP_Tim,181.0,199.0,224.0,254.0,186.0,222.0,168.0,249.0,209.0,246.0,234.0,nan
SP_Dur,97.0,37.0,23.0,24.0,94.0,21.0,37.0,38.0,68.0,26.0,46.0,nan
SP_ROC,0.08333333333333333,0.08333333333333333,0.07692307692307693,0.07692307692307693,0.07142857142857134,0.09173669467787116,0.09090909090909091,0.09433962264150944,0.07692307692307693,0.09090909090909091,0.07142857142857142,nan
DS_Mag_50,1.3,1.75,3.1500000000000004,1.35,0.99,3.3,0.75,0.56,2.3,2.9,nan,nan
DS_Mag_90,5.2,7.5,9.0,4.390000000000001,3.0800000000000014,14.0,6.880000000000001,3.5800000000000027,10.5,8.930000000000001,nan,nan
DS_Tim,278.0,236.0,247.0,278.0,280.0,243.0,205.0,287.0,277.0,272.0,280.0,nan
DS_Dur_WS,111.0,172.0,146.0,102.0,122.0,161.0,207.0,115.0,176.0,188.0,nan,nan
