Year,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
FA_Mag,nan,3.0040602268212178,nan,nan,1.1883039344810458,1.8872702419250929,2.463833860193544,3.1395314631674758,1.7439811307929043,2.9973805724669504,nan,nan,3.2686772313855514,9.753012063871497,2.064605240153392,2.6517900402149284,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,12.0,nan,nan,35.0,41.0,5.0,27.0,10.0,0.0,nan,nan,19.0,64.0,27.0,25.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,4.0,nan,nan,2.0,2.0,2.0,3.0,6.0,9.0,nan,nan,3.0,2.0,5.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,1.4,1.81,1.6,1.5,nan,1.2,1.9,1.3,1.2,nan,1.4,1.8200000000000003,1.5,1.2,1.58,2.2,2.1900000000000004,0.964,1.2,1.2,0.647,0.54,nan,0.626,0.8
Wet_BFL_Mag_50,1.8,20.0,2.4,2.2,nan,3.2,3.0,1.6,1.2,nan,7.0,2.5,4.0,3.0,3.0,10.0,3.3,1.4,10.0,1.5,1.1,1.1,nan,1.2,0.89
Wet_Tim,23.0,100.0,35.0,45.0,nan,88.0,47.0,53.0,51.0,nan,93.0,90.0,90.0,102.0,127.0,44.0,36.0,27.0,125.0,77.0,8.0,10.0,nan,142.0,83.0
Wet_BFL_Dur,164.0,52.0,262.0,154.0,nan,169.0,140.0,199.0,163.0,nan,133.0,93.0,71.0,73.0,69.0,162.0,180.0,199.0,45.0,98.0,238.0,248.0,nan,37.0,58.0
Peak_2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
Peak_5,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001,105.00000000000001
Peak_10,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015,173.80000000000015
Peak_Dur_2,nan,60.0,nan,nan,nan,1.0,1.0,nan,nan,nan,35.0,3.0,24.0,7.0,11.0,59.0,1.0,nan,24.0,2.0,nan,nan,nan,nan,8.0
Peak_Dur_5,nan,8.0,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,1.0,2.0,nan,nan,6.0,nan,nan,nan,nan,nan,nan
Peak_Dur_10,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,5.0,nan,nan,nan,1.0,1.0,nan,nan,nan,6.0,1.0,3.0,4.0,3.0,10.0,1.0,nan,4.0,2.0,nan,nan,nan,nan,1.0
Peak_Fre_5,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,1.0,2.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
SP_Mag,3.3,140.0,2.0,2.4,1.5,3.3,10.0,1.7,1.5,0.65,6.1,15.0,35.0,61.0,89.0,50.0,2.2,0.97,215.0,5.0,0.63,0.88,0.35,6.8,60.0
SP_Tim,187.0,152.0,297.0,199.0,222.0,257.0,187.0,252.0,214.0,259.0,226.0,183.0,161.0,175.0,196.0,206.0,216.0,226.0,170.0,175.0,246.0,258.0,259.0,179.0,141.0
SP_Dur,100.0,173.0,61.0,106.0,111.0,80.0,144.0,77.0,118.0,58.0,78.0,102.0,30.0,98.0,56.0,90.0,21.0,103.0,24.0,105.0,113.0,73.0,58.0,125.0,166.0
SP_ROC,0.06006493506493505,0.05263157894736839,0.142156862745098,0.05882352941176463,0.09090909090909087,0.09090909090909098,0.0555555555555556,0.08308895405669606,0.328125,0.05714285714285704,0.08854166666666674,0.05882352941176463,0.04545454545454549,0.06666666666666672,0.03448275862068969,0.036038961038960995,0.0555555555555556,0.06000000000000005,0.0635026737967915,0.0425724637681159,0.04494949494949499,0.029857397504456352,0.0606617647058824,0.02198067632850243,0.07142857142857134
DS_Mag_50,0.86,1.4,1.3,nan,0.61,1.2,1.3,0.89,nan,0.36,1.2,0.84,1.5,0.9,1.1,1.9,0.99,0.96,1.2,0.54,0.42,nan,0.38,0.36,0.415
