Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966
FA_Mag,nan,4.448339391827679,9.596819899584027,3.8325900977692227,5.525428404841207,nan,1.5992739267557146,1.222177385563567,nan,nan,nan,2.916044287333766,nan,7.660110057318749,1.256250201510151,4.543424980208723
FA_Tim,nan,24.0,45.0,44.0,62.0,nan,0.0,44.0,nan,nan,nan,50.0,nan,10.0,12.0,43.0
FA_Dur,nan,6.0,9.0,14.0,9.0,nan,1.0,6.0,nan,nan,nan,16.0,nan,2.0,9.0,3.0
Wet_BFL_Mag_10,9.91,11.400000000000002,4.0,1.7,0.8,0.15999999999999998,1.4,28.200000000000003,1.2,1.0,0.1,0.3,3.4,1.05,9.0,0.6
Wet_BFL_Mag_50,43.5,62.0,11.0,4.9,6.3,49.0,2.6500000000000004,84.0,2.8,2.8,0.5,28.0,14.0,1.9,16.5,6.3
Wet_Tim,42.0,76.0,53.0,99.0,85.0,61.0,78.0,111.0,90.0,111.0,25.0,123.0,7.0,20.0,75.0,78.0
Wet_BFL_Dur,118.0,98.0,187.0,113.0,68.0,87.0,158.0,77.0,57.0,25.0,183.0,37.0,198.0,96.0,120.0,147.0
Peak_2,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5
Peak_5,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0
Peak_10,2035.0,2035.0,2035.0,2035.0,2035.0,2035.0,2035.0,2035.0,2035.0,2035.0,2035.0,2035.0,2035.0,2035.0,2035.0,2035.0
Peak_Dur_2,5.0,10.0,1.0,nan,nan,10.0,nan,14.0,nan,nan,nan,1.0,3.0,nan,2.0,nan
Peak_Dur_5,nan,1.0,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_2,4.0,3.0,1.0,nan,nan,4.0,nan,6.0,nan,nan,nan,1.0,2.0,nan,1.0,nan
Peak_Fre_5,nan,1.0,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
SP_Mag,171.0,235.0,6.1,13.0,48.0,125.0,45.0,1200.0,86.0,157.0,10.0,119.0,98.0,189.0,64.0,6.0
SP_Tim,160.0,174.0,240.0,212.0,153.0,148.0,236.0,188.0,147.0,136.0,208.0,160.0,205.0,116.0,195.0,225.0
SP_Dur,36.0,34.0,60.0,105.0,90.0,79.0,122.0,38.0,89.0,108.0,54.0,50.0,140.0,31.0,140.0,110.0
SP_ROC,0.0625,0.0625,0.16666666666666663,0.19047619047619052,0.11111111111111108,0.08333333333333333,0.27884615384615385,0.08,0.1372549019607842,0.14983974358974358,0.25000000000000006,0.07547169811320745,0.08220720720720724,0.09090909090909091,0.08333333333333333,0.16666666666666663
DS_Mag_50,1.3,1.3,0.1,0.0,0.0,0.7,0.1,1.0,0.0,0.0,0.0,0.0,1.5,0.3,0.3,0.6
DS_Mag_90,11.0,7.9,1.1599999999999995,0.4,0.5,2.8400000000000003,2.9200000000000004,6.71,0.4,0.1,0.3,1.8000000000000003,2.3,3.0,3.62,3.62
DS_Tim,196.0,208.0,300.0,317.0,243.0,227.0,358.0,226.0,236.0,244.0,262.0,210.0,345.0,147.0,335.0,335.0
DS_Dur_WS,246.0,211.0,165.0,134.0,184.0,217.0,119.0,230.0,241.0,147.0,227.0,163.0,41.0,294.0,109.0,109.0
