Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,nan,16.99902772926785,9.675163288477124,nan,nan,nan,nan,nan,nan,nan,nan,59.95217642038704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.000314296087315,nan,nan,nan,nan,nan,nan,nan,2.2640448186194435,nan,55.988861380586535,8.055109701886511,nan,nan,nan,1.716834921917338,nan,nan,nan,nan,6.257854568701022,nan,nan,3.1493259272680723,8.888904695051252,40.979412279834946,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.508376808223716,nan,nan,nan,nan,nan
FA_Tim,nan,65.0,45.0,nan,nan,nan,nan,nan,nan,nan,nan,62.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.0,nan,nan,nan,nan,nan,nan,nan,65.0,nan,60.0,0.0,nan,nan,nan,28.0,nan,nan,nan,nan,67.0,nan,nan,73.0,28.0,66.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,73.0,nan,nan,nan,nan,nan
FA_Dur,nan,2.0,15.0,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.0,nan,nan,nan,nan,nan,nan,nan,8.0,nan,4.0,6.0,nan,nan,nan,9.0,nan,nan,nan,nan,22.0,nan,nan,4.0,14.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.0,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,nan,1.1,0.3,0.0,nan,0.0,0.0,4.779999999999999,0.6,nan,nan,0.0,0.31000000000000016,0.0,nan,1.0,1.0,0.15,22.0,1.0,0.2,0.00900000000000002,1.3,0.37,0.1840000000000001,nan,nan,2.920000000000001,0.625,1.62,0.48,1.7,3.3,2.0100000000000002,0.27900000000000014,0.752,0.2,0.0,nan,nan,nan,0.0,15.0,0.18800000000000006,4.619999999999999,0.22,1.2,6.85,1.2,1.15,1.153,0.17,0.07,nan,4.0,0.68,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan
Wet_BFL_Mag_50,nan,8.3,2.9,0.1,nan,2.8,0.3,111.0,4.15,nan,nan,12.5,1.3,0.2,nan,3.8,6.2,0.44,54.0,2.5,3.2,0.27,15.0,4.5,2.0,nan,nan,39.0,5.15,23.0,1.3,10.0,59.5,3.6,0.69,12.0,0.55,0.29,nan,nan,nan,1.02,46.0,0.95,9.7,3.1,20.5,43.5,2.45,2.8,6.1,0.39,0.18,nan,14.4,3.5,nan,1.96,nan,3.78,nan,0.37,nan,nan,nan
Wet_Tim,nan,82.0,51.0,34.0,nan,71.0,93.0,159.0,124.0,nan,nan,120.0,112.0,37.0,75.0,36.0,53.0,25.0,102.0,96.0,50.0,74.0,101.0,50.0,56.0,nan,nan,83.0,46.0,128.0,109.0,161.0,77.0,34.0,31.0,117.0,123.0,85.0,nan,nan,nan,122.0,92.0,9.0,105.0,104.0,65.0,107.0,43.0,109.0,129.0,54.0,66.0,nan,80.0,82.0,nan,106.0,nan,97.0,73.0,18.0,nan,nan,nan
Wet_BFL_Dur,nan,114.0,52.0,151.0,nan,51.0,110.0,33.0,20.0,nan,nan,40.0,112.0,80.0,nan,120.0,156.0,163.0,89.0,62.0,60.0,64.0,99.0,159.0,165.0,nan,nan,127.0,136.0,63.0,64.0,35.0,136.0,172.0,152.0,53.0,37.0,70.0,nan,nan,nan,54.0,88.0,225.0,72.0,171.0,112.0,116.0,154.0,126.0,30.0,120.0,153.0,nan,141.0,159.0,nan,45.0,nan,101.0,nan,182.0,nan,nan,nan
Peak_2,nan,125.0,125.0,125.0,nan,125.0,125.0,125.0,125.0,nan,nan,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,nan,nan,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,nan,nan,nan,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,nan,125.0,125.0,125.0,125.0,nan,125.0,125.0,125.0,nan,nan,nan
Peak_5,nan,373.40000000000003,373.40000000000003,373.40000000000003,nan,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,nan,nan,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,nan,nan,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,nan,nan,nan,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,nan,373.40000000000003,373.40000000000003,373.40000000000003,373.40000000000003,nan,373.40000000000003,373.40000000000003,373.40000000000003,nan,nan,nan
Peak_10,nan,764.2000000000003,764.2000000000003,764.2000000000003,nan,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,nan,nan,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,nan,nan,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,nan,nan,nan,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,nan,764.2000000000003,764.2000000000003,764.2000000000003,764.2000000000003,nan,764.2000000000003,764.2000000000003,764.2000000000003,nan,nan,nan
Peak_Dur_2,nan,5.0,nan,nan,nan,3.0,nan,18.0,2.0,nan,nan,4.0,2.0,nan,nan,1.0,2.0,nan,20.0,1.0,2.0,nan,3.0,1.0,nan,nan,nan,27.0,1.0,6.0,nan,1.0,30.0,nan,nan,8.0,nan,nan,nan,nan,nan,2.0,13.0,nan,14.0,nan,11.0,12.0,nan,1.0,1.0,nan,nan,nan,2.0,1.0,nan,2.0,nan,2.0,7.0,nan,nan,nan,nan
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,8.0,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,7.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,3.0,nan,4.0,nan,1.0,2.0,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,5.0,nan,nan,nan,2.0,nan,6.0,2.0,nan,nan,2.0,2.0,nan,nan,1.0,2.0,nan,5.0,1.0,2.0,nan,3.0,1.0,nan,nan,nan,3.0,1.0,1.0,nan,1.0,6.0,nan,nan,3.0,nan,nan,nan,nan,nan,1.0,5.0,nan,5.0,nan,2.0,5.0,nan,1.0,1.0,nan,nan,nan,2.0,1.0,nan,1.0,nan,2.0,4.0,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,4.0,nan,nan,3.0,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,1.0,2.0,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,nan,25.0,105.0,8.8,nan,110.0,16.0,500.0,146.0,nan,nan,59.0,2.0,34.0,0.5,4.6,39.0,1.1,88.0,95.0,7.0,0.34,8.2,6.1,3.7,nan,nan,60.0,46.0,22.0,63.0,356.0,100.0,2.0,0.53,392.0,50.0,4.7,nan,nan,nan,41.0,97.0,2.9,264.0,2.5,21.0,78.0,15.0,2.6,622.0,0.42,32.5,nan,15.4,4.7,nan,43.0,nan,9.71,9.85,2.21,nan,nan,nan
SP_Tim,nan,196.0,103.0,185.0,nan,122.0,203.0,192.0,144.0,nan,nan,160.0,224.0,117.0,nan,156.0,209.0,188.0,191.0,158.0,110.0,138.0,200.0,209.0,221.0,nan,nan,210.0,182.0,191.0,173.0,196.0,213.0,206.0,183.0,170.0,160.0,155.0,nan,nan,nan,176.0,180.0,234.0,177.0,275.0,177.0,223.0,197.0,235.0,159.0,174.0,219.0,nan,221.0,241.0,nan,151.0,nan,198.0,nan,200.0,nan,nan,nan
SP_Dur,nan,46.0,175.0,19.0,nan,112.0,21.0,44.0,126.0,nan,nan,34.0,10.0,83.0,nan,15.0,66.0,68.0,42.0,30.0,159.0,87.0,27.0,40.0,11.0,nan,nan,27.0,65.0,29.0,18.0,19.0,61.0,34.0,37.0,35.0,13.0,42.0,nan,nan,nan,124.0,99.0,25.0,33.0,26.0,46.0,59.0,89.0,15.0,65.0,67.0,13.0,nan,27.0,24.0,nan,19.0,nan,39.0,nan,75.0,nan,nan,nan
SP_ROC,nan,0.08333333333333333,0.19090909090909092,0.225,nan,0.11764705882352938,0.3333333333333333,0.07692307692307693,0.15686274509803919,nan,nan,0.08695652173913032,0.27272727272727276,0.41666666666666663,nan,0.35416666666666663,0.07549857549857553,0.2941176470588236,0.10714285714285714,0.11086309523809519,0.14634146341463414,0.3333333333333333,0.1333333333333333,0.15000000000000002,0.3154761904761904,nan,nan,0.06666666666666667,0.07846153846153847,0.08768956289027655,0.2727272727272727,0.07051282051282048,0.043478260869565216,0.06250000000000006,0.07692307692307698,0.09090909090909091,0.08333333333333323,0.13068181818181815,nan,nan,nan,0.15047169811320757,0.07692307692307693,0.2580645161290322,0.05,0.09090909090909087,0.07692307692307689,0.0625,0.08247422680412367,0.20000000000000004,0.10990338164251218,0.1052631578947368,0.25000000000000006,nan,0.10675920221777298,0.10199925953350612,nan,0.11626245462269252,nan,0.10702094166755105,nan,0.07417582417582423,nan,nan,nan
DS_Mag_50,nan,0.0,0.0,nan,nan,0.0,0.0,0.5,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.66,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.18,0.11,0.17,0.0,0.0,2.8,0.0,0.0,0.165,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.875,0.08,0.4,1.5,0.09,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan,0.0,0.065,nan,nan,nan,nan
DS_Mag_90,nan,0.5,0.0,nan,nan,0.1,2.0,3.4000000000000004,nan,nan,nan,1.0,0.1,0.0,0.0,0.23000000000000115,0.2,0.0,3.4200000000000017,1.0600000000000023,0.0,0.01,0.55,0.03,nan,nan,nan,2.5599999999999996,0.9760000000000002,2.2,0.85,2.360000000000002,5.75,0.2620000000000002,0.09,0.792000000000001,0.5060000000000002,nan,nan,nan,nan,0.0,0.775,0.0,9.8,0.8120000000000002,1.8,3.540000000000001,0.3320000000000002,0.692,0.05,0.0,nan,nan,0.1319999999999999,nan,nan,nan,nan,0.07,4.493000000000003,nan,nan,nan,nan
DS_Tim,nan,242.0,278.0,204.0,nan,234.0,224.0,236.0,270.0,nan,nan,194.0,234.0,200.0,216.0,171.0,275.0,256.0,233.0,188.0,269.0,225.0,227.0,249.0,232.0,nan,nan,237.0,247.0,220.0,191.0,215.0,274.0,240.0,220.0,205.0,173.0,197.0,nan,nan,nan,300.0,279.0,259.0,210.0,301.0,223.0,282.0,286.0,250.0,224.0,241.0,232.0,nan,248.0,265.0,nan,170.0,nan,237.0,220.0,275.0,nan,nan,nan
DS_Dur_WS,nan,175.0,122.0,nan,nan,225.0,301.0,254.0,nan,nan,nan,284.0,169.0,241.0,186.0,248.0,116.0,212.0,229.0,228.0,171.0,242.0,189.0,173.0,nan,nan,nan,175.0,247.0,255.0,336.0,228.0,126.0,157.0,263.0,284.0,278.0,nan,nan,nan,nan,158.0,96.0,212.0,260.0,130.0,250.0,127.0,189.0,245.0,196.0,191.0,nan,nan,200.0,nan,nan,nan,nan,202.0,164.0,nan,nan,nan,nan
