Year,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.025829180901033,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,63.0,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan
Wet_BFL_Mag_10,nan,1.7,0.6920000000000002,0.12,0.02,0.59,0.884,nan,0.0,0.26,nan,0.0,nan
Wet_BFL_Mag_50,nan,5.95,2.5,8.75,0.03,3.9,3.75,nan,0.26,0.5800000000000001,nan,0.1,nan
Wet_Tim,nan,96.0,90.0,110.0,134.0,154.0,116.0,nan,54.0,125.0,nan,33.0,nan
Wet_BFL_Dur,nan,62.0,93.0,56.0,26.0,33.0,62.0,nan,37.0,46.0,nan,175.0,nan
Peak_2,nan,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,nan
Peak_5,nan,187.60000000000014,187.60000000000014,187.60000000000014,187.60000000000014,187.60000000000014,187.60000000000014,187.60000000000014,187.60000000000014,187.60000000000014,187.60000000000014,187.60000000000014,nan
Peak_10,nan,234.8,234.8,234.8,234.8,234.8,234.8,234.8,234.8,234.8,234.8,234.8,nan
Peak_Dur_2,nan,29.0,16.0,21.0,2.0,6.0,18.0,nan,nan,9.0,nan,nan,nan
Peak_Dur_5,nan,1.0,nan,1.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,5.0,5.0,4.0,1.0,2.0,3.0,nan,nan,4.0,nan,nan,nan
Peak_Fre_5,nan,1.0,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan
SP_Mag,nan,226.0,67.0,21.0,15.0,22.0,67.0,nan,3.3,58.0,nan,1.8,nan
SP_Tim,nan,158.0,183.0,166.0,160.0,187.0,178.0,nan,91.0,171.0,nan,208.0,nan
SP_Dur,nan,24.0,17.0,20.0,62.0,25.0,12.0,nan,179.0,11.0,nan,155.0,nan
SP_ROC,nan,0.22871994801819362,0.40625000000000006,0.09374999999999997,0.09090909090909087,0.07142857142857137,0.14285714285714282,nan,0.07692307692307698,0.17615384615384613,nan,0.1583333333333333,nan
DS_Mag_50,nan,0.0,0.0,0.0,0.0,0.025,nan,nan,0.0,nan,nan,nan,nan
DS_Mag_90,nan,0.23400000000000032,0.18,0.28,0.27,0.14,nan,nan,0.7,nan,nan,nan,nan
DS_Tim,nan,182.0,200.0,186.0,222.0,212.0,190.0,nan,270.0,182.0,nan,363.0,nan
DS_Dur_WS,nan,274.0,276.0,314.0,298.0,270.0,nan,nan,221.0,nan,nan,nan,nan
