Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
FA_Mag,nan,5.417711481900133,nan,nan,3.1692186519080154,nan,1.0073717256192027,2.062154877978136,7.4979925718254865,nan,nan,5.040553219378991,nan,1.366387954045055,1.8175136055581942,nan,30.980549726557562,nan,nan,12.98903738459542,nan,1.4806169249430632,2.8985846377261293,16.993623434840647,4.930852258339899,nan,7.18129995236458,nan,3.8715093650102017
FA_Tim,nan,50.0,nan,nan,41.0,nan,66.0,33.0,23.0,nan,nan,50.0,nan,46.0,40.0,nan,37.0,nan,nan,36.0,nan,43.0,41.0,48.0,27.0,nan,21.0,nan,41.0
FA_Dur,nan,20.0,nan,nan,2.0,nan,20.0,2.0,7.0,nan,nan,16.0,nan,4.0,4.0,nan,7.0,nan,nan,6.0,nan,5.0,6.0,7.0,3.0,nan,5.0,nan,4.0
Wet_BFL_Mag_10,0.2,2.5,0.9,0.6799999999999999,0.5,0.36,0.8,3.5,1.0,0.6,0.4,0.41000000000000003,0.69,0.5,0.54,0.3200000000000001,3.25,1.7,2.6800000000000006,2.4,1.9500000000000002,0.0,2.49,3.06,1.3,0.9400000000000001,0.5,4.05,3.75
Wet_BFL_Mag_50,0.5,6.7,1.45,2.7,1.0,0.4,1.3,11.0,1.15,1.5,0.6,1.9,0.8,0.7,5.3,9.8,11.5,2.6,70.0,4.4,4.2,4.2,19.0,5.6,2.4,1.6,0.7,19.0,8.05
Wet_Tim,30.0,80.0,32.0,98.0,55.0,104.0,91.0,113.0,84.0,66.0,26.0,105.0,116.0,100.0,171.0,38.0,52.0,33.0,102.0,127.0,43.0,72.0,104.0,86.0,81.0,111.0,83.0,82.0,88.0
Wet_BFL_Dur,197.0,91.0,180.0,87.0,183.0,17.0,144.0,76.0,58.0,148.0,96.0,32.0,20.0,88.0,23.0,55.0,156.0,186.0,49.0,29.0,124.0,59.0,70.0,77.0,119.0,45.0,141.0,76.0,96.0
Peak_2,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0
Peak_5,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001,363.2000000000001
Peak_10,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997,488.59999999999997
Peak_Dur_2,nan,7.0,nan,1.0,nan,1.0,nan,8.0,2.0,nan,nan,4.0,1.0,nan,nan,6.0,9.0,nan,26.0,3.0,1.0,nan,1.0,2.0,nan,nan,nan,11.0,nan
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,1.0,nan,9.0,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,3.0,nan,1.0,nan,1.0,nan,4.0,2.0,nan,nan,3.0,1.0,nan,nan,3.0,5.0,nan,3.0,1.0,1.0,nan,1.0,1.0,nan,nan,nan,3.0,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,1.0,nan,3.0,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,0.5,107.0,2.3,12.0,1.1,155.0,3.0,101.0,80.0,5.1,10.0,472.0,71.0,8.1,48.0,523.0,46.0,1.9,930.0,92.0,10.0,7.5,55.0,17.0,9.3,37.0,45.0,349.0,21.0
SP_Tim,227.0,171.0,212.0,185.0,238.0,121.0,235.0,189.0,142.0,214.0,122.0,137.0,136.0,188.0,194.0,93.0,208.0,219.0,151.0,156.0,167.0,131.0,174.0,163.0,200.0,156.0,224.0,158.0,184.0
SP_Dur,61.0,63.0,89.0,87.0,55.0,149.0,59.0,65.0,166.0,67.0,161.0,49.0,166.0,98.0,36.0,174.0,51.0,71.0,21.0,44.0,125.0,249.0,56.0,100.0,84.0,110.0,118.0,122.0,73.0
SP_ROC,0.5,0.05555555555555555,0.1547619047619047,0.07968253968253972,0.26785714285714285,0.11324786324786329,0.16666666666666663,0.061195976154992504,0.1250000000000001,0.13392857142857145,0.25000000000000006,0.06414473684210525,0.1155555555555555,0.1538461538461538,0.06896551724137923,0.050000000000000044,0.05555555555555555,0.07142857142857134,0.06060606060606061,0.024562989752863244,0.05882352941176463,0.06904761904761902,0.02439024390243894,0.0571428571428572,0.06666666666666672,0.1333333333333333,0.16666666666666663,0.08099250936329594,0.07692307692307696
DS_Mag_50,0.0,0.9,0.0,0.0,0.0,0.0,0.2,1.0,0.4,0.1,0.0,0.8,0.4,0.2,0.2,0.8,2.5,0.93,2.6,1.5,0.68,0.8,1.6,1.2,0.7,0.4,0.17,1.9,1.0
