Year,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
FA_Mag,nan,nan,7.978891660354695,1.888185020310485,nan,nan,1.0731370830769251,nan,nan,2.279866077857713,5.026826433749236
FA_Tim,nan,nan,44.0,47.0,nan,nan,0.0,nan,nan,37.0,64.0
FA_Dur,nan,nan,2.0,3.0,nan,nan,7.0,nan,nan,3.0,2.0
Wet_BFL_Mag_10,0.1,0.0,0.04,0.09,0.15,0.25,nan,0.07100000000000002,1.1,0.785,0.7660000000000001
Wet_BFL_Mag_50,0.35,0.0,4.55,1.2,0.83,0.26,nan,5.7,1.8,1.4,1.5
Wet_Tim,49.0,49.0,98.0,81.0,55.0,117.0,nan,78.0,86.0,95.0,109.0
Wet_BFL_Dur,158.0,42.0,76.0,106.0,121.0,40.0,nan,122.0,96.0,66.0,67.0
Peak_2,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
Peak_5,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
Peak_10,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0
Peak_Dur_2,nan,nan,3.0,1.0,4.0,nan,nan,8.0,nan,2.0,1.0
Peak_Dur_5,nan,nan,nan,nan,1.0,nan,nan,3.0,nan,1.0,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan
Peak_Fre_2,nan,nan,3.0,1.0,3.0,nan,nan,5.0,nan,1.0,1.0
Peak_Fre_5,nan,nan,nan,nan,1.0,nan,nan,3.0,nan,1.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan
SP_Mag,1.2,27.0,21.0,13.0,26.0,4.1,3.0,33.0,19.0,38.0,9.1
SP_Tim,207.0,91.0,174.0,187.0,176.0,157.0,223.0,200.0,182.0,161.0,176.0
SP_Dur,155.0,222.0,37.0,125.0,160.0,nan,139.0,53.0,118.0,118.0,46.0
SP_ROC,0.2,0.3904761904761905,0.1055555555555556,0.09523809523809532,0.08012820512820515,nan,0.22222222222222213,0.040000000000000036,0.08000000000000007,0.050000000000000044,0.07368421052631574
DS_Mag_50,0.0,0.0,0.06,0.13,0.26,nan,0.0,0.91,0.44,0.54,0.42
DS_Mag_90,0.02800000000000004,0.02,1.1,0.18,0.41,nan,0.01,1.6,0.56,0.69,0.6300000000000001
DS_Tim,362.0,313.0,211.0,312.0,336.0,nan,362.0,253.0,300.0,279.0,222.0
DS_Dur_WS,53.0,151.0,236.0,109.0,147.0,nan,82.0,199.0,161.0,196.0,253.0
