Year,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,1.246532665347905,nan,nan,3.100820648719227,nan,1.5419019437452208,nan,nan,nan,5.217425203658633,1.5724231062488712,3.4735537600573156,31.00939593743842,9.97360514120276,nan,nan,8.531897411874233,nan,nan,nan,2.046001549368697,nan,nan,25.985397964353396,1.7098420135798644,nan,31.943805428251764,nan,7.211755928902005,2.6764612478980867,nan,nan,nan,1.665247782968958,nan,1.3933421476716366,nan,2.0808064335741467,nan,nan,26.473059116300135,nan,nan,nan,nan,nan
FA_Tim,16.0,nan,nan,44.0,nan,51.0,nan,nan,nan,51.0,47.0,64.0,44.0,25.0,nan,nan,55.0,nan,nan,nan,56.0,nan,nan,71.0,72.0,nan,72.0,nan,68.0,38.0,nan,nan,nan,39.0,nan,25.0,nan,70.0,nan,nan,73.0,nan,nan,nan,nan,nan
FA_Dur,5.0,nan,nan,8.0,nan,8.0,nan,nan,nan,21.0,6.0,21.0,3.0,10.0,nan,nan,10.0,nan,nan,nan,8.0,nan,nan,3.0,23.0,nan,2.0,nan,9.0,10.0,nan,nan,nan,13.0,nan,1.0,nan,8.0,nan,nan,4.0,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,1.7900000000000003,2.8,0.427,4.33,1.8,1.1600000000000001,0.33,nan,1.57,1.3,0.796,0.358,6.71,5.8,6.0,1.4,4.0,0.276,0.0,0.999,0.07600000000000008,0.0,0.36,5.0,0.52,3.1,5.76,8.15,7.5,6.829999999999999,2.6,1.7,1.5270000000000001,0.8960000000000001,0.3170000000000001,4.15,3.201,0.58,0.69,0.3100000000000002,1.461,2.29,1.188,0.0,0.01,0.03
Wet_BFL_Mag_50,9.600000000000001,5.800000000000001,1.75,23.5,7.6,22.0,1.2,nan,12.0,13.0,20.0,2.6,13.0,33.0,17.0,2.2,24.0,0.835,0.22,4.1,1.7,18.0,1.53,16.0,1.0,11.5,25.0,45.5,31.5,14.0,24.0,4.15,3.5149999999999997,2.49,2.48,13.1,24.7,2.15,6.75,7.22,6.6,18.4,2.72,1.94,0.05,0.04
Wet_Tim,76.0,47.0,62.0,96.0,37.0,113.0,111.0,nan,73.0,88.0,88.0,106.0,74.0,44.0,37.0,32.0,119.0,109.0,72.0,120.0,96.0,146.0,123.0,85.0,108.0,90.0,103.0,61.0,97.0,103.0,104.0,107.0,58.0,67.0,64.0,82.0,80.0,123.0,92.0,109.0,96.0,62.0,103.0,55.0,130.0,103.0
Wet_BFL_Dur,80.0,134.0,70.0,84.0,173.0,77.0,91.0,nan,138.0,95.0,73.0,70.0,122.0,171.0,53.0,150.0,51.0,60.0,134.0,60.0,72.0,33.0,18.0,95.0,126.0,126.0,57.0,60.0,92.0,92.0,60.0,100.0,120.0,153.0,88.0,95.0,122.0,30.0,58.0,49.0,102.0,117.0,97.0,33.0,81.0,67.0
Peak_2,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0
Peak_5,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0
Peak_10,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5,746.5
Peak_Dur_2,1.0,nan,nan,1.0,nan,2.0,nan,nan,2.0,1.0,7.0,nan,6.0,10.0,3.0,nan,6.0,nan,nan,nan,nan,1.0,nan,3.0,nan,2.0,1.0,11.0,5.0,2.0,5.0,nan,nan,nan,nan,4.0,5.0,nan,nan,1.0,1.0,6.0,nan,1.0,nan,nan
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,3.0,1.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,3.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_Fre_2,1.0,nan,nan,1.0,nan,2.0,nan,nan,2.0,1.0,2.0,nan,3.0,8.0,1.0,nan,3.0,nan,nan,nan,nan,1.0,nan,2.0,nan,1.0,1.0,6.0,4.0,2.0,4.0,nan,nan,nan,nan,2.0,3.0,nan,nan,1.0,1.0,4.0,nan,1.0,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,3.0,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
SP_Mag,118.0,20.0,94.0,78.0,19.0,31.0,2.0,nan,175.0,48.0,114.0,42.0,620.0,148.0,472.0,157.0,168.0,25.0,12.0,30.0,8.2,267.0,161.0,185.0,2.4,75.0,353.0,522.0,89.0,52.0,83.0,23.0,64.1,17.9,138.0,536.0,135.0,177.0,255.0,276.0,57.1,309.0,73.1,210.0,0.76,0.04
SP_Tim,156.0,181.0,132.0,180.0,210.0,190.0,202.0,nan,211.0,183.0,161.0,176.0,196.0,215.0,90.0,182.0,170.0,169.0,206.0,180.0,168.0,179.0,141.0,180.0,234.0,216.0,160.0,121.0,189.0,195.0,164.0,207.0,178.0,220.0,152.0,177.0,202.0,153.0,150.0,158.0,198.0,179.0,200.0,88.0,211.0,170.0
SP_Dur,107.0,87.0,93.0,37.0,47.0,59.0,33.0,nan,36.0,53.0,116.0,65.0,36.0,48.0,170.0,57.0,12.0,54.0,51.0,21.0,99.0,20.0,58.0,34.0,26.0,32.0,34.0,21.0,45.0,38.0,80.0,34.0,47.0,30.0,65.0,85.0,69.0,80.0,27.0,75.0,59.0,108.0,46.0,141.0,22.0,95.0
SP_ROC,0.06976744186046507,0.07692307692307698,0.08333333333333323,0.0714285714285715,0.043478260869565064,0.06559139784946239,0.07492997198879559,nan,0.06458333333333338,0.07142857142857134,0.06486676016830295,0.07086680053547514,0.05266805266805266,0.05538579067990835,0.06315789473684207,0.06666666666666672,0.11764705882352941,0.08578431372549018,0.16397849462365588,0.11055555555555553,0.1538461538461538,0.14285714285714288,0.11904761904761904,0.07692307692307693,0.16129032258064513,0.11428571428571428,0.11805555555555555,0.11032388663967611,0.09307359307359307,0.05183609493954322,0.07692307692307698,0.08333333333333323,0.07528048808354093,0.12711864406779655,0.07217261904761904,0.09616495639494893,0.06535947712418301,0.10309278350515462,0.10482309452561173,0.09393939393939388,0.10680078962760772,0.07578947368421059,0.07648305084745766,0.07432432432432425,0.20000000000000004,0.25000000000000006
