p10,p25,p50,p75,p90,metric,comid,result_type
NA,NA,NA,NA,NA,DS_Dur_WS,22598685,observed
262,288,314,338,415,DS_Tim,22598685,observed
NA,NA,NA,NA,NA,DS_Mag_50,22598685,observed
NA,NA,NA,NA,NA,DS_Mag_90,22598685,observed
2,3,3,4,5.399999999999999,FA_Dur,22598685,observed
959.3485391915378,1030.025670680366,1280.0514777841959,1459.920799591856,1940.0190853753413,FA_Mag,22598685,observed
2.8000000000000003,9,11,17,45.199999999999974,FA_Tim,22598685,observed
0.02349336057201226,0.02625,0.030719908361330157,0.03636363636363636,0.04496511124903609,SP_ROC,22598685,observed
27,42,75,108,167,SP_Dur,22598685,observed
906,956,1020,1100,1160,SP_Mag,22598685,observed
217,224,241,252,268,SP_Tim,22598685,observed
NA,NA,NA,NA,NA,Wet_BFL_Dur,22598685,observed
NA,NA,NA,NA,NA,Wet_BFL_Mag_10,22598685,observed
NA,NA,NA,NA,NA,Wet_BFL_Mag_50,22598685,observed
NA,NA,NA,NA,NA,Wet_Tim,22598685,observed
109.4,111.5,145,178,268.59999999999997,Peak_Tim_10,22598685,observed
35.40000000000002,150.5,183,218.5,310.2,Peak_Tim_2,22598685,observed
88.2,111.5,178,295,334.99999999999994,Peak_Tim_5,22598685,observed
1,1,1,2,2,Peak_Dur_10,22598685,observed
1,1,3,7.5,16.400000000000002,Peak_Dur_2,22598685,observed
1,1,2,2,2,Peak_Dur_5,22598685,observed
1960,1960,1960,1960,1960,Peak_10,22598685,observed
1260,1260,1260,1260,1260,Peak_2,22598685,observed
1720,1720,1720,1720,1720,Peak_5,22598685,observed
1,1,1,1,1.5999999999999996,Peak_Fre_10,22598685,observed
1,1,2,3.5,6,Peak_Fre_2,22598685,observed
1,1,1,1,2,Peak_Fre_5,22598685,observed
