comid,metric,p10,p25,p50,p75,p90,source,result_type
17609017,Peak_Dur_2,1,1,3,7,14,inferred,predicted
17609017,Peak_Dur_5,1,1,2,3,5,inferred,predicted
17609017,Peak_Fre_2,1,1,2,3,5,inferred,predicted
17609017,Peak_Fre_5,1,1,1,2,3,inferred,predicted
17609017,Peak_10,852.007885684555,1456.6134894504098,1580,1721.17917667383,2076.3945187079103,model,predicted
17609017,Peak_2,128.681040779805,282.416657709961,324.00000000000097,340.805062512213,429.46003153281,model,predicted
17609017,Peak_5,593.5653,1286.848,1430.922,1465.32,1574.781,model,predicted
17609017,DS_Dur_WS,151.4375,178.825,216.8,252.495833333334,273.48,model,predicted
17609017,DS_Mag_50,0.0690370860669798,0.204295595076573,0.460567976506819,0.632836869520861,1.10203803040496,model,predicted
17609017,DS_Mag_90,0.419364627004802,0.921459461219674,1.54184619392865,1.94503085272062,3.15177382487037,model,predicted
17609017,DS_Tim,193.58,214.2,235.75,251.5625,282,model,predicted
17609017,FA_Dur,2,3,5,7,13.4,obs,predicted
17609017,FA_Mag,2.63138289989135,5.24486935687189,8.9240618856724,19.9454654221862,39.3868875042351,model,predicted
17609017,FA_Tim,13.47,30.6041666666667,42.9,48.025,62.9,model,predicted
17609017,Peak_Dur_10,1,1,1,2,3.4,obs,predicted
17609017,Peak_Fre_10,1,1,1,2,2,obs,predicted
17609017,SP_Dur,22.6825,33.825,44,66.75,104.148333333334,model,predicted
17609017,SP_Mag,21.253187498844,43.6609643634898,87.4749795669843,141.446645380034,312.171147361069,model,predicted
17609017,SP_ROC,0.048079693221675,0.0595744680851064,0.0759493670886077,0.106203007518797,0.177875188536953,obs,predicted
17609017,SP_Tim,157.583333333333,169.5,176,192.166666666667,212.41,model,predicted
17609017,Wet_BFL_Dur,47.5366666666666,69.71875,89.1666666666667,107.25625,143.3075,model,predicted
17609017,Wet_BFL_Mag_10,0.570304648819012,1.05051732696518,1.51750980253261,2.04891264610574,2.57881210998405,model,predicted
17609017,Wet_BFL_Mag_50,2.11705777939269,2.79615658209952,4.23097651529724,5.88467349335304,10.0941902312396,model,predicted
17609017,Wet_Tim,57.18,81.4791666666667,89.1666666666667,94.25,104.175,model,predicted
