Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1983,NA,218,NA,NA,4,2.3160961913826807,40,0.10555555555555553,40,77,178,73,1.06,6.8,105,151,151,151,1,7,1,497.3999999999998,61.65,224.40000000000006,1,5,1
1984,164,267,0.01,0.02700000000000017,9,5.498347159836764,0,0.3333333333333333,178,13,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497.3999999999998,61.65,224.40000000000006,NA,NA,NA
1985,116,371,0.01,0.03,NA,NA,NA,0.40119363395225466,210,3.7,161,96,0.01,0.04,65,NA,NA,NA,NA,NA,NA,497.3999999999998,61.65,224.40000000000006,NA,NA,NA
1986,NA,313,NA,NA,2,9.482803781894848,59,0.5,143,160,170,54,0.01,0.155,116,NA,166,NA,NA,1,NA,497.3999999999998,61.65,224.40000000000006,NA,1,NA
1987,113,325,0.07,0.2859999999999999,2,1.5135032991516275,48,0.2727272727272727,166,33,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497.3999999999998,61.65,224.40000000000006,NA,NA,NA
1988,52,363,0.05,0.10899999999999999,2,1.2930721597171821,28,0.6521739130434783,154,10,209,137,0.03,0.17,72,NA,NA,NA,NA,NA,NA,497.3999999999998,61.65,224.40000000000006,NA,NA,NA
1989,72,380,0.005,0.07,NA,NA,NA,0.4,292,4.9,88,39,0.010000000000000002,0.03,49,NA,NA,NA,NA,NA,NA,497.3999999999998,61.65,224.40000000000006,NA,NA,NA
1990,193,315,0.02,0.27,NA,NA,NA,0.8035714285714286,67,0.69,248,176,0.01,0.065,72,NA,NA,NA,NA,NA,NA,497.3999999999998,61.65,224.40000000000006,NA,NA,NA
1991,247,194,0.03,0.07,NA,NA,NA,0.5636363636363637,21,43,173,31,0,0.05,142,NA,168,NA,NA,1,NA,497.3999999999998,61.65,224.40000000000006,NA,1,NA
1992,NA,196,NA,NA,NA,NA,NA,0.13245614035087716,55,75,141,66,0.08,0.275,75,NA,137,NA,NA,1,NA,497.3999999999998,61.65,224.40000000000006,NA,1,NA
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,287,188,0.08,1.2,NA,NA,NA,0.26363636363636367,11,493,177,72,0.704,7.1,105,160,148,160,1,14,5,497.3999999999998,61.65,224.40000000000006,1,6,3
1996,244,183,0.01,0.10999999999999999,NA,NA,NA,0.17190431519699811,37,246,146,37,0.27,1.2,109,NA,134.5,142,NA,2,1,497.3999999999998,61.65,224.40000000000006,NA,2,1
1997,326,135,0.07500000000000001,0.51,1,1.6185245407594937,28,0.2727272727272727,17,20,118,57,0.006000000000000005,0.72,61,NA,NA,NA,NA,NA,NA,497.3999999999998,61.65,224.40000000000006,NA,NA,NA
1998,277,240,0.26,0.5380000000000001,3,2.9600513241724427,45,0.051315789473684204,20,32,220,125,0.9920000000000002,4.2,95,NA,138,124,NA,12,2,497.3999999999998,61.65,224.40000000000006,NA,7,1
1999,172,320,0.06,0.18900000000000006,4,20.961724897843492,58,0.3333333333333333,124,36,196,45,0.214,1.3,151,NA,175,NA,NA,1,NA,497.3999999999998,61.65,224.40000000000006,NA,1,NA
2000,278,216,0.07,0.22300000000000011,2,11.9427048768462,38,0.1752380952380952,13,100,203,77,0.186,0.91,126,NA,156,NA,NA,6,NA,497.3999999999998,61.65,224.40000000000006,NA,5,NA
2001,172,224,0.02,0.13,NA,NA,NA,0.3208647906657516,65,679,159,31,0.16,2.7,128,155,154,155,1,3,1,497.3999999999998,61.65,224.40000000000006,1,1,1
2002,24,377,0,0,NA,NA,NA,0.7801689460981496,234,7.61,143,113,0,0.14,30,NA,NA,NA,NA,NA,NA,497.3999999999998,61.65,224.40000000000006,NA,NA,NA
2003,177,300,0.03,0.12,NA,NA,NA,0.6875,57,0.28,243,219,0.01,0.11,24,NA,NA,NA,NA,NA,NA,497.3999999999998,61.65,224.40000000000006,NA,NA,NA
2004,89,356,0.09,0.9720000000000013,4,6.043697790294736,39,0.4000000000000001,205,38.5,151,40,0.03900000000000001,0.13,111,NA,NA,NA,NA,NA,NA,497.3999999999998,61.65,224.40000000000006,NA,NA,NA
2005,217,230,0.21,0.5980000000000004,7,4.432040783180601,19,0.3141447368421053,54,60.9,176,97,0.35,0.9,79,NA,122,NA,NA,2,NA,497.3999999999998,61.65,224.40000000000006,NA,2,NA
2006,151,246,0.37,0.53,3,1.9604910311055017,17,0.14999999999999997,57,186,189,108,0.397,0.59,81,NA,138.5,NA,NA,3,NA,497.3999999999998,61.65,224.40000000000006,NA,2,NA
2007,107,345,0.6,1.0380000000000003,2,1.169408801053147,13,0.07793522267206485,171,0.95,174,143,0.492,0.71,31,NA,NA,NA,NA,NA,NA,497.3999999999998,61.65,224.40000000000006,NA,NA,NA
2008,52,359,0.11499999999999999,0.239,5,2.087395169661797,12,0.07894736842105252,230,96.2,129,43,0.596,1.21,86,NA,118,NA,NA,3,NA,497.3999999999998,61.65,224.40000000000006,NA,3,NA
2009,269,158,0.28,0.5420000000000003,NA,NA,NA,0.1461538461538461,16,27.9,142,97,0.36,0.48,45,NA,NA,NA,NA,NA,NA,497.3999999999998,61.65,224.40000000000006,NA,NA,NA
2010,214,213,0.31,0.5270000000000001,2,21.74976235694075,13,0.10000000000000009,16,18.4,197,136,0.36,0.675,61,NA,112,NA,NA,1,NA,497.3999999999998,61.65,224.40000000000006,NA,1,NA
2011,206,190,0.33,0.505,2,1.8460529064155875,5,0.1582278481012658,16,777,174,113,0.4580000000000001,1.14,61,124.5,126,124.5,2,6,3,497.3999999999998,61.65,224.40000000000006,2,4,2
2012,186,224,0.1,0.18,4,3.5361137712965953,4,0.11965811965811962,25,44.5,199,169,0.2,0.35,30,NA,NA,NA,NA,NA,NA,497.3999999999998,61.65,224.40000000000006,NA,NA,NA
