comid,p10,p25,p50,p75,p90,source,result_type,metric
8037183,89.80000000000003,104.5,130,177.25,199.7,observed,predicted,DS_Dur_WS
8037183,132.9,153.75,227.5,273.75,316.95,observed,predicted,DS_Mag_50
8037183,190.58000000000004,303,389.25000000000017,550.3,742.0200000000002,observed,predicted,DS_Mag_90
8037183,286,289,300,312,319,observed,predicted,DS_Tim
8037183,2,3,4,6,8,inferred,predicted,FA_Dur
8037183,332.45,434.24,607.52,877.33,1340.88,model,predicted,FA_Mag
8037183,6,10.5,25,42,44,observed,predicted,FA_Tim
8037183,38280,38280,38280,38280,38280,observed,predicted,Peak_10
8037183,13500,13500,13500,13500,13500,model,predicted,Peak_2
8037183,24860,24860,24860,24860,24860,model,predicted,Peak_5
8037183,1,1,1,2,4,inferred,predicted,Peak_Dur_10
8037183,1,1,4,10,29,inferred,predicted,Peak_Dur_2
8037183,1,1,2,3,6,inferred,predicted,Peak_Dur_5
8037183,1,1,1,1,2,inferred,predicted,Peak_Fre_10
8037183,1,1,2,3,5,inferred,predicted,Peak_Fre_2
8037183,1,1,1,2,3,inferred,predicted,Peak_Fre_5
8037183,61.4,78,88,106.5,161.60000000000005,observed,predicted,SP_Dur
8037183,1986,3500,4590,7380,15800.000000000005,observed,predicted,SP_Mag
8037183,0.03,0.04,0.06,0.08,0.11,inferred,predicted,SP_ROC
8037183,129,188.5,217,230.5,239.6,observed,predicted,SP_Tim
8037183,54.90000000000001,88.25,119.5,166,203.7,observed,predicted,Wet_BFL_Dur
8037183,310.04,372.15,485.2000000000001,825.4000000000002,1227.6,observed,predicted,Wet_BFL_Mag_10
8037183,1011.86,1455.5,1798.06,2094.55,2698.6,model,predicted,Wet_BFL_Mag_50
8037183,24.6,48.25,73,105.25,122.8,observed,predicted,Wet_Tim
