p10,p25,p50,p75,p90,metric,comid,result_type
164.8,189,207,223,235.20000000000002,DS_Dur_WS,21609533,observed
300,310,323,335,341,DS_Tim,21609533,observed
13.2,22,40.5,67,90.28,DS_Mag_50,21609533,observed
44.88000000000001,79.40000000000003,120,181,249.4,DS_Mag_90,21609533,observed
2,2,3,5,7,FA_Dur,21609533,observed
48.214690185025326,73.02488778981983,146.9895817198042,303.96317881303645,550.1334306399751,FA_Mag,21609533,observed
1,15,33,52,64.80000000000001,FA_Tim,21609533,observed
0.06477272727272727,0.07228915662650602,0.08178438661710037,0.08807339449541285,0.09464994733003809,SP_ROC,21609533,observed
45,55,69,78,89.60000000000001,SP_Dur,21609533,observed
1014,1330,1990,2440,3236,SP_Mag,21609533,observed
232,245,255,265,272.6,SP_Tim,21609533,observed
65.4,79,91,109,120.60000000000001,Wet_BFL_Dur,21609533,observed
67.42,91,132.20000000000005,201.5,266.5600000000001,Wet_BFL_Mag_10,21609533,observed
299.6,402.5,600.5,994,1396.0000000000005,Wet_BFL_Mag_50,21609533,observed
129.6,148,164,175,183.60000000000002,Wet_Tim,21609533,observed
71,83,188,233.5,243,Peak_Tim_10,21609533,observed
221.2,231.25,237.25,249.75,253.7,Peak_Tim_2,21609533,observed
84,165.125,240,247.875,264.9,Peak_Tim_5,21609533,observed
1,1,1,2,2,Peak_Dur_10,21609533,observed
2,3.25,9.5,20.5,32.10000000000001,Peak_Dur_2,21609533,observed
1,1.25,2,3.75,6.900000000000002,Peak_Dur_5,21609533,observed
4276,4276,4276,4276,4276,Peak_10,21609533,observed
2330,2330,2330,2330,2330,Peak_2,21609533,observed
3610,3610,3610,3610,3610,Peak_5,21609533,observed
1,1,1,1,1,Peak_Fre_10,21609533,observed
1,1,2,3,5,Peak_Fre_2,21609533,observed
1,1,1,1,2.900000000000002,Peak_Fre_5,21609533,observed
