Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1952,134,319,269,554.1000000000001,4,1259.944377122383,42,0.03942652329749104,106,13200,213,100,1345,2545,113,NA,188,NA,NA,3,NA,38280,13500,24860.000000000007,NA,1,NA
1953,157,313,263,506.60000000000014,6,764.9925670291981,44,0.043323967805808154,96,3970,217,130,888.9000000000001,1740,87,NA,100,NA,NA,1,NA,38280,13500,24860.000000000007,NA,1,NA
1954,219,292,221,535.8000000000001,10,447.9955889383365,17,0.03858560794044665,88,4040,204,100,860.4,1730,104,NA,159,NA,NA,1,NA,38280,13500,24860.000000000007,NA,1,NA
1955,127,309,135,281.0000000000001,5,424.03705689047234,42,0.033426183844011144,73,2640,236,91,487,1250,145,NA,NA,NA,NA,NA,NA,38280,13500,24860.000000000007,NA,NA,NA
1956,212,286,283.5,423.6,6,1069.9675660989317,51,0.05739650703679481,196,26000,90,20,369,7900,70,83,82,83,1,6,4,38280,13500,24860.000000000007,1,1,1
1957,189,290,274,966.2000000000004,2,507.0096311745805,26,0.03514376996805112,54,4110,236,104,1399,1870,132,NA,146,NA,NA,2,NA,38280,13500,24860.000000000007,NA,1,NA
1958,139,310,248,302.6,3,455.9896919377361,4,0.04708520179372197,89,6500,221,108,1808,4415,113,NA,147,NA,NA,1,NA,38280,13500,24860.000000000007,NA,1,NA
1959,178,298,145,213.60000000000002,9,374.984054379499,40,0.033816425120772944,87,1950,211,128,506.6,1390,83,NA,NA,NA,NA,NA,NA,38280,13500,24860.000000000007,NA,NA,NA
1960,115,290,131,173.8,NA,NA,NA,0.044075113317504855,107,4200,183,73,611.2,1530,110,NA,130,NA,NA,1,NA,38280,13500,24860.000000000007,NA,1,NA
1961,183,305,146,339.80000000000024,NA,NA,NA,0.04,71,1710,234,195,301,790,39,NA,NA,NA,NA,NA,NA,38280,13500,24860.000000000007,NA,NA,NA
1962,70,300,147,200,3,229.99851652009846,27,0.04736842105263158,80,3560,220,98,924.4000000000001,2630,122,NA,NA,NA,NA,NA,NA,38280,13500,24860.000000000007,NA,NA,NA
1963,110,287,230,317.3,NA,NA,NA,0.04979846010927241,87,6650,200,196,498,997,4,123,67,67,1,5,3,38280,13500,24860.000000000007,1,2,2
1964,100,324,138.5,335.9000000000003,7,487.9856365505873,10,0.031696437541441455,95,2300,229,198,443,750,31,NA,NA,NA,NA,NA,NA,38280,13500,24860.000000000007,NA,NA,NA
1965,222,283,322.5,649.3000000000002,2,435.9856040527133,32,0.04950980392156863,193,19500,90,32,504.8,803.5,58,83,81,82,1,7,4,38280,13500,24860.000000000007,1,1,1
1966,111,295,123,148,3,923.9426952247633,44,0.035181632526765275,70,2640,225,86,608,2130,139,NA,NA,NA,NA,NA,NA,38280,13500,24860.000000000007,NA,NA,NA
1967,144,319,271.5,393.50000000000006,NA,NA,NA,0.04262295081967213,54,4360,265,225,547,2110,40,NA,NA,NA,NA,NA,NA,38280,13500,24860.000000000007,NA,NA,NA
1968,174,286,197.5,745.7,5,824.9841190323872,2,0.04518728222996515,135,5440,151,54,407.50000000000006,924,97,NA,NA,NA,NA,NA,NA,38280,13500,24860.000000000007,NA,NA,NA
1969,126,307,262,343.5,3,745.9939551888029,11,0.03870967741935484,80,7440,227,133,1184,3610,94,NA,114,112,NA,4,1,38280,13500,24860.000000000007,NA,2,1
1970,121,285,180,307,3,429.99988684598054,5,0.042735042735042736,168,20600,117,50,489.8,2820,67,NA,107,NA,NA,8,NA,38280,13500,24860.000000000007,NA,3,NA
1971,157,316,294,460.4000000000001,5,550.9886672862085,23,0.04113110539845758,85,5400,231,191,805,2000,40,NA,176,NA,NA,1,NA,38280,13500,24860.000000000007,NA,1,NA
1972,132,298,209.5,647.8000000000001,4,640.9804737578427,42,0.037102473498233215,106,4590,192,85,662.5999999999999,2020,107,NA,NA,NA,NA,NA,NA,38280,13500,24860.000000000007,NA,NA,NA
1973,90,307,206.5,361.0000000000001,5,943.9902513532952,10,0.035164835164835165,77,4650,230,166,666,2065,64,NA,NA,NA,NA,NA,NA,38280,13500,24860.000000000007,NA,NA,NA
1974,183,304,311,639.2,5,1219.979709568303,22,0.05016722408026756,119,14000,185,154,1300,2410,31,NA,144,NA,NA,5,NA,38280,13500,24860.000000000007,NA,4,NA
1975,56,312,283.5,345.5,2,655.9854014983401,52,0.04143126177024482,65,5260,247,126,1195,2490,121,NA,NA,NA,NA,NA,NA,38280,13500,24860.000000000007,NA,NA,NA
1976,101,339,144,176,NA,NA,NA,0.03225806451612903,121,1120,218,216,340.5,528,2,NA,NA,NA,NA,NA,NA,38280,13500,24860.000000000007,NA,NA,NA
1977,94,341,113,188.60000000000002,7,340.9976407081648,44,0.02114687122191187,99,502,242,168,166,240,74,NA,NA,NA,NA,NA,NA,38280,13500,24860.000000000007,NA,NA,NA
1978,184,312,219,383.80000000000007,5,149.99874075645306,29,0.03844658079771016,82,4250,230,161,1330,2820,69,NA,NA,NA,NA,NA,NA,38280,13500,24860.000000000007,NA,NA,NA
1979,166,288,280,484,3,414.0033786558346,51,0.037463976945244955,54,3700,234,104,908.5,1760,130,NA,NA,NA,NA,NA,NA,38280,13500,24860.000000000007,NA,NA,NA
1980,123,300,229,290.2,2,836.9887348999215,19,0.03757567809761109,152,7790,148,60,1069,1790,88,NA,121.5,104,NA,6,1,38280,13500,24860.000000000007,NA,2,1
1981,105,298,135,344.6,4,361.99359368110726,38,0.03454926624737946,88,2040,210,153,391.4,982,57,NA,NA,NA,NA,NA,NA,38280,13500,24860.000000000007,NA,NA,NA
1982,108,302,369,703.1999999999998,2,383.0120084967096,10,0.03535353535353535,100,7320,202,165,1438,3110,37,NA,135.5,109,NA,11,2,38280,13500,24860.000000000007,NA,4,2
1983,81,316,432,555,2,3719.9234097101184,25,0.03712105790611005,59,7220,257,213,1290,3720,44,NA,157,NA,NA,5,NA,38280,13500,24860.000000000007,NA,2,NA
1984,109,286,275,387.2,NA,NA,NA,0.03544124071647008,196,17000,90,59,773.2,3530,31,NA,85,NA,NA,3,NA,38280,13500,24860.000000000007,NA,1,NA
1985,197,287,232,1052.0000000000002,2,511.9925318327152,10,0.03225806451612903,87,3440,200,171,479,842,29,NA,NA,NA,NA,NA,NA,38280,13500,24860.000000000007,NA,NA,NA
1986,258,226,347.5,1310,3,358.9986834503913,22,0.04985542604138429,79,12900,147,29,1294,3790,118,139,147.5,148.5,2,9,3,38280,13500,24860.000000000007,1,2,2
