agency_cd,site_id,station_nm,site_tp_cd,lat,lon,coord_acy_cd,datum,elev_m,alt_acy_va,alt_datum_cd,huc8,interval,parm_cd,stat_cd,ts_id,date_begin,date_end,count_nu,geometry
USGS,09423350,CARUTHERS C NR IVANPAH CA,ST,35.24498915,-115.2988759,F,NAD83, 5640, 20,NGVD29,15030102,dv,00060,00003,7194,1963-10-01,2020-11-15,20654,"c(-115.2988759, 35.24498915)"
USGS,09424050,CHEMEHUEVI WASH TRIB NR NEEDLES CA,ST,34.5083432,-114.6035739,F,NAD83, 1600, 20,NGVD29,15030101,dv,00060,00003,7195,1959-12-01,1968-09-29,2129,"c(-114.6035739, 34.5083432)"
USGS,09424150,"COLORADO RIVER AQUEDUCT NEAR PARKER DAM, AZ-CA",ST,34.31612564,-114.1571702,T,NAD83, 452,4.3,NAVD88,15030101,dv,00060,00003,217314,1981-10-01,2020-10-31,14276,"c(-114.1571702, 34.31612564)"
USGS,09424170,GENE WASH BL GENE WASH RES N PARKER DAM AZ-CAL,ST,34.30001466,-114.1632813,T,NAD83,NA,NA,NA,15030101,dv,00060,00003,5388,1965-10-01,1973-09-29,2921,"c(-114.1632813, 34.30001466)"
USGS,09427520,"COLORADO RIVER BELOW PARKER DAM, AZ-CA",ST,34.29557035,-114.140225,T,NAD83, 300.54, 20,NGVD29,15030104,dv,00060,00003,5403,1934-11-16,2020-11-15,31370,"c(-114.140225, 34.29557035)"
USGS,09427600,DESILT WASH NEAR PARKER DAM-ARIZ.-CALIF,ST,34.2916814,-114.1577255,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5404,1965-10-01,1973-11-12,2876,"c(-114.1577255, 34.2916814)"
USGS,09427800,"EUREKA WASH NEAR PARKER DAM, AZ-CA",ST,34.27918159,-114.1480029,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5405,1965-10-01,1973-09-29,2886,"c(-114.1480029, 34.27918159)"
USGS,09428200,"COPPER BASIN WASH BELOW COPPER BASIN RESERVOIR,",ST,34.25418165,-114.1980043,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5406,1965-10-01,1973-11-12,2965,"c(-114.1980043, 34.25418165)"
USGS,09428530,ARCH C NR EARP CA,ST,34.1652933,-114.3730098,F,NAD83, 600, 20,NGVD29,15030104,dv,00060,00003,7196,1960-10-01,1971-09-29,4016,"c(-114.3730098, 34.1652933)"
USGS,09429000,"PALO VERDE CANAL NEAR BLYTHE, CA",ST-CA,33.7319659,-114.5118999,T,NAD83, 200, 20,NAVD88,15030104,dv,00060,00003,212695,1950-10-01,2020-11-15,25614,"c(-114.5118999, 33.7319659)"
USGS,09429003,PALO VERDE CANAL GATE OPENINGS,ST-CA,33.7316881,-114.5127333,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5415,1987-10-01,2001-04-04,4184,"c(-114.5127333, 33.7316881)"
USGS,09429010,"COLORADO RIVER AT PALO VERDE DAM, CA-AZ",ST,33.7319659,-114.5118999,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5416,1969-04-01,1991-07-09,7776,"c(-114.5118999, 33.7319659)"
USGS,09429100,"COLORADO RIVER BELOW PALO VERDE DAM, AZ-CA",ST,33.71946626,-114.4980105,T,NAD83, 260.,4.3,NAVD88,15030104,dv,00060,00003,5420,1956-03-24,2020-11-15,16512,"c(-114.4980105, 33.71946626)"
USGS,09429130,"P.V.I.D. OLIVE LAKE DRAIN NEAR BLYTHE, CA",ST-DCH,33.6839115,-114.5377335,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5421,1979-10-01,2020-10-31,14642,"c(-114.5377335, 33.6839115)"
USGS,09429155,"PVID F-CANAL SPILL NEAR BLYTHE, CA",ST-CA,33.57474765,-114.5463436,T,NAD83, 265.,4.3,NAVD88,15030104,dv,00060,00003,5422,1968-01-01,2020-11-15,18948,"c(-114.5463436, 33.57474765)"
USGS,09429160,"PVID D-10-11-2 SPILL NR BLYTHE, CA",ST,33.53502644,-114.5605103,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5423,1979-10-01,2020-10-31,14642,"c(-114.5605103, 33.53502644)"
USGS,09429170,"PVID D-10-11-5 SPILL NR BLYTHE, CA",ST,33.50919375,-114.5774549,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5424,1979-10-01,2020-10-31,14642,"c(-114.5774549, 33.50919375)"
USGS,09429180,"PVID D23 SPILL NEAR BLYTHE, CA",ST,33.4916942,-114.6035666,T,NAD83, 230, 20,NAVD88,15030104,dv,00060,00003,5425,1968-01-01,2020-11-15,18948,"c(-114.6035666, 33.4916942)"
USGS,09429190,"P.V.I.D. D-23-1 NEAR BLYTHE, CA",ST,33.43391809,-114.6294005,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5426,1979-10-01,2020-10-31,14642,"c(-114.6294005, 33.43391809)"
USGS,09429200,"PVID C CANAL SPILL NEAR BLYTHE, CA",ST-CA,33.42780713,-114.6732907,T,NAD83, 230, 20,NAVD88,15030104,dv,00060,00003,5427,1967-12-01,2020-11-15,18979,"c(-114.6732907, 33.42780713)"
USGS,09429210,"P.V.I.D. C-28 UPPER SPILL NEAR BLYTHE, CA",ST,33.39697468,-114.72357,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5428,1979-10-01,2017-05-31,13393,"c(-114.72357, 33.39697468)"
USGS,09429210,"P.V.I.D. C-28 UPPER SPILL NEAR BLYTHE, CA",ST,33.39697468,-114.72357,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,217607,2017-06-01,2020-10-31,1249,"c(-114.72357, 33.39697468)"
USGS,09429220,"PALO VERDE OUTFALL DRAIN NEAR PALO VERDE, CA",ST-DCH,33.36142018,-114.7230144,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5429,1968-03-01,2020-10-31,18507,"c(-114.7230144, 33.36142018)"
USGS,09429225,"PVID ANDERSON DRAIN NR PALO VERDE, CA.",ST,33.3564203,-114.7185698,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5430,1980-10-01,1984-05-31,1339,"c(-114.7185698, 33.3564203)"
USGS,09429230,"PVID C28 LOWER SPILL NEAR BLYTHE, CA.",ST,33.3511427,-114.7141253,T,NAD83,NA,NA,NA,15030104,dv,00060,00003,5431,1967-08-01,2020-10-31,19086,"c(-114.7141253, 33.3511427)"
USGS,09429490,"COLORADO RIVER ABOVE IMPERIAL DAM, AZ-CA",ST,32.8849361,-114.468111,5,NAD83,NA,NA,NA,15030104,dv,00060,00003,213326,1976-10-01,2020-11-15,16117,"c(-114.468111, 32.8849361)"
USGS,09429500,"COLORADO RIVER BELOW IMPERIAL DAM, AZ-CA",ST,32.86758333,-114.472111,T,NAD83, 130.,  1,NGVD29,15030107,dv,00060,00003,5437,1960-10-01,2018-11-30,21245,"c(-114.472111, 32.86758333)"
USGS,09429500,"COLORADO RIVER BELOW IMPERIAL DAM, AZ-CA",ST,32.86758333,-114.472111,T,NAD83, 130.,  1,NGVD29,15030107,dv,00060,00003,213060,1960-10-01,2018-11-30,21245,"c(-114.472111, 32.86758333)"
USGS,09429500,"COLORADO RIVER BELOW IMPERIAL DAM, AZ-CA",ST,32.86758333,-114.472111,T,NAD83, 130.,  1,NGVD29,15030107,dv,00060,00003,244106,2018-11-29,2020-11-15,718,"c(-114.472111, 32.86758333)"
USGS,09429600,"COLORADO RIVER BELOW LAGUNA DAM, AZ-CA",ST,32.8122666,-114.5149494,T,NAD83, 120.81, 20,NGVD29,15030107,dv,00060,00003,5438,1971-12-16,2020-11-15,17868,"c(-114.5149494, 32.8122666)"
USGS,09521100,"COLORADO R BLW YUMA MAIN CANAL WW AT YUMA, AZ",ST,32.73171354,-114.6327306,T,NAD83, 101.99, 20,NGVD29,15030107,dv,00060,00003,5814,1963-10-01,2020-11-15,20866,"c(-114.6327306, 32.73171354)"
USGS,09523000,"ALL-AMERICAN CANAL NR IMPERIAL DAM, CA-AZ",ST-CA,32.8714319,-114.480504,T,NAD83, 150., 20,NGVD29,15030107,dv,00060,00003,5839,1939-10-01,2020-11-15,29632,"c(-114.480504, 32.8714319)"
USGS,09523200,"RESERVATION MAIN CANAL NEAR YUMA, AZ",ST-CA,32.8180998,-114.5146716,T,NAD83, 180., 10,NGVD29,15030107,dv,00060,00003,210423,1974-10-01,2020-11-16,16813,"c(-114.5146716, 32.8180998)"
USGS,09523202,RESERVATION MAIN CANAL GATE OPENING,ST-CA,32.8180998,-114.5146716,T,NAD83,NA,NA,NA,15030107,dv,00060,00003,5842,1987-10-01,2003-06-30,5658,"c(-114.5146716, 32.8180998)"
USGS,09523400,"TITSINK CANAL NEAR YUMA, AZ",ST-CA,32.82448865,-114.5418948,T,NAD83, 145.,2.5,NGVD29,15030107,dv,00060,00003,5843,1966-10-01,2020-11-15,19405,"c(-114.5418948, 32.82448865)"
USGS,09523600,"YAQUI CANAL NEAR YUMA, AZ",ST-CA,32.80865585,-114.5882852,T,NAD83, 155.,2.5,NGVD29,15030107,dv,00060,00003,5844,1966-10-01,2020-11-15,19040,"c(-114.5882852, 32.80865585)"
USGS,09523800,"PONTIAC CANAL NEAR YUMA, AZ",ST-CA,32.79365629,-114.6146748,T,NAD83, 155.,2.5,NGVD29,15030107,dv,00060,00003,5845,1966-10-01,2020-11-15,19405,"c(-114.6146748, 32.79365629)"
USGS,09523900,"WALAPAI CANAL NR YUMA, AZ",ST-CA,32.77726787,-114.6357865,T,NAD83,NA,NA,NA,15030107,dv,00060,00003,5846,1966-10-01,1997-09-30,11323,"c(-114.6357865, 32.77726787)"
USGS,09524000,"YUMA MAIN CANAL AT SIPHON DROP P.P. NR YUMA, AZ",ST-CA,32.7767123,-114.6355087,T,NAD83, 155.,2.5,NGVD29,15030107,dv,00060,00003,5847,1938-10-01,2020-11-15,29996,"c(-114.6355087, 32.7767123)"
USGS,09524500,DIV. FROM YUMA MAIN CANAL BETWEEN SDPP AND YMCWW,ST-CA,32.7750457,-114.6341198,T,NAD83,NA,NA,NA,15030107,dv,00060,00003,5850,1979-10-01,2017-09-30,13331,"c(-114.6341198, 32.7750457)"
USGS,09524700,"YUMA MAIN CANAL ABOVE WASTEWAY NR WINTERHAVEN, CA",ST-CA,32.73408333,-114.6230556,5,NAD83, 127., 15,NGVD29,15030107,dv,00060,00003,5851,2015-04-09,2020-11-15,2048,"c(-114.6230556, 32.73408333)"
USGS,09525000,"YUMA MAIN CANAL WASTEWAY AT YUMA, AZ",ST-CA,32.7333801,-114.623008,T,NAD83, 122.51, 20,NGVD29,15030107,dv,00060,00003,210424,1930-10-01,2020-11-16,32920,"c(-114.623008, 32.7333801)"
USGS,09526200,"YPSILANTI CANAL NEAR WINTERHAVEN, CA",ST-CA,32.76837927,-114.6555093,S,NAD83, 133., 20,NGVD29,15030107,dv,00060,00003,5856,1995-01-01,2020-11-15,9086,"c(-114.6555093, 32.76837927)"
USGS,09526500,ALL-AMERICAN CANAL ABOVE PILOT KNOB WW CALIF,ST-CA,32.75004657,-114.706344,T,NAD83,NA,NA,NA,15030107,dv,00060,00003,5857,1938-10-01,1965-06-30,9770,"c(-114.706344, 32.75004657)"
USGS,09527000,"PILOT KNOB POWERPLANT AND WASTEWAY NR P.K., CA",ST,32.737547,-114.7163443,T,NAD83, 150., 20,NGVD29,15030107,dv,00060,00003,5858,1939-04-26,2020-09-30,28648,"c(-114.7163443, 32.737547)"
USGS,09527500,"ALL-AMERICAN CANAL BLW PILOT KNOB WASTEWAY, CA",ST-CA,32.73532488,-114.7238446,T,NAD83, 150., 10,NGVD29,15030107,dv,00060,00003,5859,1961-10-01,2020-09-30,21550,"c(-114.7238446, 32.73532488)"
USGS,09527590,COACHELLA CANAL ABOVE ALL-AMERICAN CANAL DIVERSION,ST-CA,32.71416667,-114.9438889,S,NAD83, 161, 10,NGVD29,15030107,dv,00060,00003,5860,2003-10-01,2020-11-15,5899,"c(-114.9438889, 32.71416667)"
USGS,09527594,"COACHELLA CANAL NEAR NILAND, CA",ST,33.2562222,-115.4511667,5,NAD83, 91., 4.,NAVD88,18100204,dv,00060,00003,5861,2009-10-17,2020-11-15,4048,"c(-115.4511667, 33.2562222)"
USGS,09527597,"COACHELLA CANAL NEAR DESERT BEACH, CA",ST,33.53808109,-115.9186083,S,NAD83, 70,  5,NGVD29,18100204,dv,00060,00003,5862,2009-10-24,2020-11-15,4041,"c(-115.9186083, 33.53808109)"
USGS,09527600,ALL-AMERICAN CNL BLW DR0P 1 POWERPLANT NR CALEXICO,ST,32.70532655,-114.968023,S,NAD83, 150, 10,NGVD29,18100204,dv,00060,00003,5863,2006-09-22,2011-09-29,1834,"c(-114.968023, 32.70532655)"
USGS,09527630,"BROCK RESERVOIR INLET NEAR CALEXICO, CA",ST-CA,32.7094932,-115.0254425,5,NAD83, 160, 15,NGVD29,18100204,dv,00060,00003,5864,2013-11-06,2020-11-15,2531,"c(-115.0254425, 32.7094932)"
USGS,09527660,"BROCK RESERVOIR OUTLET NEAR CALEXICO, CA",ST-CA,32.70557669,-115.0344429,5,NAD83, 110, 26,NGVD29,18100204,dv,00060,00003,5865,2013-10-23,2020-11-15,2581,"c(-115.0344429, 32.70557669)"
USGS,09527700,ALL-AMERICAN CANAL BELOW DROP 2 RESERVOIR OUTLET,ST-CA,32.70425,-115.0481139,S,NAD83, 126.,  5,NGVD29,18100204,dv,00060,00003,5866,2011-10-26,2020-11-15,3309,"c(-115.0481139, 32.70425)"
USGS,09529600,"RESERVATION DRAIN NO. 7 NR BARD, CA",ST,32.81559999,-114.5477283,T,NAD83,NA,NA,NA,15030107,dv,00060,00003,5891,1979-10-01,2017-09-30,13394,"c(-114.5477283, 32.81559999)"
USGS,09529700,"RESERVATION DRAIN NO. 6 NR. BARD, CA",ST,32.80421147,-114.5763403,T,NAD83,NA,NA,NA,15030107,dv,00060,00003,5892,1979-10-01,2017-09-30,13394,"c(-114.5763403, 32.80421147)"
USGS,09529800,"RESERVATION DRAIN NO. 2 NR BARD, CA",ST,32.79643395,-114.5985632,T,NAD83,NA,NA,NA,15030107,dv,00060,00003,5893,1979-10-01,2017-09-30,13394,"c(-114.5985632, 32.79643395)"
USGS,09529900,"RESERVATION DRAIN NO. 3 NR BARD, CA",ST,32.7747679,-114.6335642,T,NAD83,NA,NA,NA,15030107,dv,00060,00003,5894,1979-10-01,2017-09-30,13394,"c(-114.6335642, 32.7747679)"
USGS,09530000,"RESERVATION MAIN DRAIN NO. 4 NEAR YUMA, AZ",ST,32.73726888,-114.621897,T,NAD83, 127.,2.5,NGVD29,15030107,dv,00060,00003,5895,1966-10-01,2020-11-15,19405,"c(-114.621897, 32.73726888)"
USGS,09530400,"RESERVATION DRAIN NO. 11 NR WINTERHAVEN, CA",ST,32.7564352,-114.6860657,T,NAD83,NA,NA,NA,15030107,dv,00060,00003,5899,1979-10-01,2017-09-30,13394,"c(-114.6860657, 32.7564352)"
USGS,09530500,"DRAIN 8-B NEAR WINTERHAVEN, CA",ST,32.74615776,-114.6943992,T,NAD83, 118.,2.5,NGVD29,15030107,dv,00060,00003,5900,1979-10-01,2020-11-15,14657,"c(-114.6943992, 32.74615776)"
USGS,10250600,WILDROSE C NR WILDROSE STATION CA,ST,36.26494685,-117.1786704,F,NAD83,NA,NA,NA,18090204,dv,00060,00003,7197,1960-10-01,1975-09-29,5477,"c(-117.1786704, 36.26494685)"
USGS,10251000,BIG DIP C NR STOVEPIPE WELLS CA,ST,36.9179936,-117.2939587,F,NAD83,NA,NA,NA,18090203,dv,00060,00003,7199,1963-04-01,1969-09-29,2374,"c(-117.2939587, 36.9179936)"
